"V1","bird","sex","tissue","treatment","group","study","sextissue","samples","hiloPRL","external"
"blu119.w84.x_female_hypothalamus_m.inc.d8","blu119.w84.x","female","hypothalamus","early","female.hypothalamus.early","charcterization","female_hypothalamus","blu119.w84.x_female_hypothalamus_m.inc.d8","lo","chicks"
"blu119.w84.x_female_pituitary_m.inc.d8","blu119.w84.x","female","pituitary","early","female.pituitary.early","charcterization","female_pituitary","blu119.w84.x_female_pituitary_m.inc.d8","lo","chicks"
"blu121.w91.x_male_gonad_inc.d17","blu121.w91.x","male","gonads","inc.d17","male.gonads.inc.d17","charcterization","male_gonads","blu121.w91.x_male_gonad_inc.d17","hi","eggs"
"blu121.w91.x_male_hypothalamus_inc.d17","blu121.w91.x","male","hypothalamus","inc.d17","male.hypothalamus.inc.d17","charcterization","male_hypothalamus","blu121.w91.x_male_hypothalamus_inc.d17","hi","eggs"
"blu121.w91.x_male_pituitary_inc.d17","blu121.w91.x","male","pituitary","inc.d17","male.pituitary.inc.d17","charcterization","male_pituitary","blu121.w91.x_male_pituitary_inc.d17","hi","eggs"
"blu124.w180.x_female_gonad_hatch","blu124.w180.x","female","gonads","hatch","female.gonads.hatch","charcterization","female_gonads","blu124.w180.x_female_gonad_hatch","hi","chicks"
"blu124.w180.x_female_hypothalamus_hatch","blu124.w180.x","female","hypothalamus","hatch","female.hypothalamus.hatch","charcterization","female_hypothalamus","blu124.w180.x_female_hypothalamus_hatch","hi","chicks"
"blu124.w180.x_female_pituitary_hatch","blu124.w180.x","female","pituitary","hatch","female.pituitary.hatch","charcterization","female_pituitary","blu124.w180.x_female_pituitary_hatch","hi","chicks"
"blu33.y88.x_male_gonad_bldg","blu33.y88.x","male","gonads","bldg","male.gonads.bldg","charcterization","male_gonads","blu33.y88.x_male_gonad_bldg","lo","nest"
"blu33.y88.x_male_hypothalamus_bldg","blu33.y88.x","male","hypothalamus","bldg","male.hypothalamus.bldg","charcterization","male_hypothalamus","blu33.y88.x_male_hypothalamus_bldg","lo","nest"
"blu33.y88.x_male_pituitary_bldg","blu33.y88.x","male","pituitary","bldg","male.pituitary.bldg","charcterization","male_pituitary","blu33.y88.x_male_pituitary_bldg","lo","nest"
"blu36.w16_female_gonad_n9","blu36.w16","female","gonads","n9","female.gonads.n9","charcterization","female_gonads","blu36.w16_female_gonad_n9","hi","chicks"
"blu36.w16_female_hypothalamus_n9","blu36.w16","female","hypothalamus","n9","female.hypothalamus.n9","charcterization","female_hypothalamus","blu36.w16_female_hypothalamus_n9","hi","chicks"
"blu36.w16_female_pituitary_n9","blu36.w16","female","pituitary","n9","female.pituitary.n9","charcterization","female_pituitary","blu36.w16_female_pituitary_n9","hi","chicks"
"blu37.r65.x_male_gonad_n5","blu37.r65.x","male","gonads","n5","male.gonads.n5","charcterization","male_gonads","blu37.r65.x_male_gonad_n5","hi","chicks"
"blu37.r65.x_male_hypothalamus_n5","blu37.r65.x","male","hypothalamus","n5","male.hypothalamus.n5","charcterization","male_hypothalamus","blu37.r65.x_male_hypothalamus_n5","hi","chicks"
"blu37.r65.x_male_pituitary_n5","blu37.r65.x","male","pituitary","n5","male.pituitary.n5","charcterization","male_pituitary","blu37.r65.x_male_pituitary_n5","hi","chicks"
"blu38.g135.x_female_gonad_bldg","blu38.g135.x","female","gonads","bldg","female.gonads.bldg","charcterization","female_gonads","blu38.g135.x_female_gonad_bldg","lo","nest"
"blu38.g135.x_female_hypothalamus_bldg","blu38.g135.x","female","hypothalamus","bldg","female.hypothalamus.bldg","charcterization","female_hypothalamus","blu38.g135.x_female_hypothalamus_bldg","lo","nest"
"blu38.g135.x_female_pituitary_bldg","blu38.g135.x","female","pituitary","bldg","female.pituitary.bldg","charcterization","female_pituitary","blu38.g135.x_female_pituitary_bldg","lo","nest"
"blu39.o26.x_female_gonad_inc.d3","blu39.o26.x","female","gonads","inc.d3","female.gonads.inc.d3","charcterization","female_gonads","blu39.o26.x_female_gonad_inc.d3","lo","eggs"
"blu39.o26.x_female_hypothalamus_inc.d3.NYNO","blu39.o26.x","female","hypothalamus","inc.d3","female.hypothalamus.inc.d3","charcterization","female_hypothalamus","blu39.o26.x_female_hypothalamus_inc.d3.NYNO","lo","eggs"
"blu39.o26.x_female_pituitary_inc.d3.NYNO","blu39.o26.x","female","pituitary","inc.d3","female.pituitary.inc.d3","charcterization","female_pituitary","blu39.o26.x_female_pituitary_inc.d3.NYNO","lo","eggs"
"blu41.y100.x_male_gonad_n5","blu41.y100.x","male","gonads","n5","male.gonads.n5","charcterization","male_gonads","blu41.y100.x_male_gonad_n5","hi","chicks"
"blu41.y100.x_male_hypothalamus_n5.NYNO","blu41.y100.x","male","hypothalamus","n5","male.hypothalamus.n5","charcterization","male_hypothalamus","blu41.y100.x_male_hypothalamus_n5.NYNO","hi","chicks"
"blu41.y100.x_male_pituitary_n5","blu41.y100.x","male","pituitary","n5","male.pituitary.n5","charcterization","male_pituitary","blu41.y100.x_male_pituitary_n5","hi","chicks"
"blu44.y102_female_gonad_extend","blu44.y102","female","gonads","extend","female.gonads.extend","manipulation","female_gonads","blu44.y102_female_gonad_extend","hi","chicks"
"blu44.y102_female_hypothalamus_extend","blu44.y102","female","hypothalamus","extend","female.hypothalamus.extend","manipulation","female_hypothalamus","blu44.y102_female_hypothalamus_extend","hi","chicks"
"blu44.y102_female_pituitary_extend","blu44.y102","female","pituitary","extend","female.pituitary.extend","manipulation","female_pituitary","blu44.y102_female_pituitary_extend","hi","chicks"
"blu47.y96.x_female_gonad_inc.d9","blu47.y96.x","female","gonads","inc.d9","female.gonads.inc.d9","charcterization","female_gonads","blu47.y96.x_female_gonad_inc.d9","lo","eggs"
"blu47.y96.x_female_hypothalamus_inc.d9","blu47.y96.x","female","hypothalamus","inc.d9","female.hypothalamus.inc.d9","charcterization","female_hypothalamus","blu47.y96.x_female_hypothalamus_inc.d9","lo","eggs"
"blu47.y96.x_female_pituitary_inc.d9","blu47.y96.x","female","pituitary","inc.d9","female.pituitary.inc.d9","charcterization","female_pituitary","blu47.y96.x_female_pituitary_inc.d9","lo","eggs"
"blu55.g51_female_gonad_n5","blu55.g51","female","gonads","n5","female.gonads.n5","charcterization","female_gonads","blu55.g51_female_gonad_n5","hi","chicks"
"blu55.g51_female_hypothalamus_n5","blu55.g51","female","hypothalamus","n5","female.hypothalamus.n5","charcterization","female_hypothalamus","blu55.g51_female_hypothalamus_n5","hi","chicks"
"blu55.g51_female_pituitary_n5","blu55.g51","female","pituitary","n5","female.pituitary.n5","charcterization","female_pituitary","blu55.g51_female_pituitary_n5","hi","chicks"
"blu56.o53_female_gonad_m.inc.d3","blu56.o53","female","gonads","m.inc.d3","female.gonads.m.inc.d3","manipulation","female_gonads","blu56.o53_female_gonad_m.inc.d3","lo","nest"
"blu56.o53_female_hypothalamus_m.inc.d3","blu56.o53","female","hypothalamus","m.inc.d3","female.hypothalamus.m.inc.d3","manipulation","female_hypothalamus","blu56.o53_female_hypothalamus_m.inc.d3","lo","nest"
"blu56.o53_female_pituitary_m.inc.d3","blu56.o53","female","pituitary","m.inc.d3","female.pituitary.m.inc.d3","manipulation","female_pituitary","blu56.o53_female_pituitary_m.inc.d3","lo","nest"
"blu63.g62_female_gonad_m.inc.d9","blu63.g62","female","gonads","m.inc.d9","female.gonads.m.inc.d9","manipulation","female_gonads","blu63.g62_female_gonad_m.inc.d9","lo","nest"
"blu63.g62_female_hypothalamus_m.inc.d9","blu63.g62","female","hypothalamus","m.inc.d9","female.hypothalamus.m.inc.d9","manipulation","female_hypothalamus","blu63.g62_female_hypothalamus_m.inc.d9","lo","nest"
