"","gene","name"
"81","ABRAXAS2","abraxas 2, BRISC complex subunit"
"82","ABT1","activator of basal transcription 1"
"83","ABT1P1","activator of basal transcription 1 pseudogene 1"
"84","ACACB","acetyl-CoA carboxylase beta"
"85","ACAD","acyl-Coenzyme A dehydrogenase, multiple (chr X)"
"86","ACAD8","acyl-CoA dehydrogenase family member 8"
"87","ACADM","acyl-CoA dehydrogenase medium chain"
"88","ACADVL","acyl-CoA dehydrogenase very long chain"
"89","ACAP1","ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"
"90","ACAP2-IT1","ACAP2 intronic transcript 1"
"91","ACBD3-AS1","ACBD3 antisense RNA 1"
"92","ACCSL","1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like"
"93","ACE3P","angiotensin I converting enzyme 3, pseudogene"
"94","ACER2P1","ACER2 pseudogene 1"
"95","ACIN1","apoptotic chromatin condensation inducer 1"
"96","ACKR1","atypical chemokine receptor 1 (Duffy blood group)"
"97","ACKR3","atypical chemokine receptor 3"
"98","ACKR4P1","ACKR4 pseudogene 1"
"99","ACLS","acrocallosal syndrome"
"100","ACMG","acromegaly"
"101","ACNATP","acyl-CoA:amino acid N-acyltransferase pseudogene"
"102","ACOD1","aconitate decarboxylase 1"
"103","ACOT1","acyl-CoA thioesterase 1"
"104","ACOT2","acyl-CoA thioesterase 2"
"105","ACOT6","acyl-CoA thioesterase 6"
"106","ACOXL","acyl-CoA oxidase like"
"107","ACOXL-AS1","ACOXL antisense RNA 1"
"108","ACP3","acid phosphatase 3"
"109","ACP4","acid phosphatase 4"
"110","ACP7","acid phosphatase 7, tartrate resistant (putative)"
"111","ACRP1","ACR pseudogene 1"
"112","ACRV1","acrosomal vesicle protein 1"
"113","ACSL3-AS1","ACSL3 antisense RNA 1"
"114","ACSL6-AS1","ACSL6 antisense RNA 1"
"115","ACSM1","acyl-CoA synthetase medium chain family member 1"
"116","ACSM2A","acyl-CoA synthetase medium chain family member 2A"
"117","ACSM2B","acyl-CoA synthetase medium chain family member 2B"
"118","ACSM5P1","acyl-CoA synthetase medium chain family member 5 pseudogene 1"
"119","ACSM6","acyl-CoA synthetase medium chain family member 6"
"120","ACTA1","actin alpha 1, skeletal muscle"
"121","ACTA2-AS1","ACTA2 antisense RNA 1"
"122","ACTB","actin beta"
"123","ACTBL2","actin beta like 2"
"124","ACTBP1","ACTB pseudogene 1"
"125","ACTBP2","ACTB pseudogene 2"
"126","ACTBP3","ACTB pseudogene 3"
"127","ACTBP4","ACTB pseudogene 4"
"128","ACTBP5","actin, beta pseudogene 5"
"129","ACTBP6","ACTB pseudogene 6"
"130","ACTBP7","ACTB pseudogene 7"
"131","ACTBP8","ACTB pseudogene 8"
"132","ACTBP9","ACTB pseudogene 9"
"133","ACTBP10","ACTB pseudogene 10"
"134","ACTBP11","ACTB pseudogene 11"
"135","ACTBP12","ACTB pseudogene 12"
"136","ACTBP13","ACTB pseudogene 13"
"137","ACTBP14","ACTB pseudogene 14"
"138","ACTC1","actin alpha cardiac muscle 1"
"139","ACTE1P","actin epsilon 1, pseudogene"
"140","ACTG1","actin gamma 1"
"141","ACTG1P1","actin gamma 1 pseudogene 1"
"142","ACTG1P2","actin gamma 1 pseudogene 2"
"143","ACTG1P3","actin gamma 1 pseudogene 3"
"144","ACTG1P4","actin gamma 1 pseudogene 4"
"145","ACTG1P6","actin gamma 1 pseudogene 6"
"146","ACTG1P7","actin gamma 1 pseudogene 7"
"147","ACTG1P8","actin gamma 1 pseudogene 8"
"148","ACTG1P9","actin gamma 1 pseudogene 9"
"149","ACTG1P10","actin gamma 1 pseudogene 10"
"150","ACTG1P11","actin gamma 1 pseudogene 11"
"151","ACTG1P12","actin gamma 1 pseudogene 12"
"152","ACTG1P13","actin gamma 1 pseudogene 13"
"153","ACTG1P14","actin gamma 1 pseudogene 14"
"154","ACTG1P15","actin gamma 1 pseudogene 15"
"155","ACTG1P16","actin gamma 1 pseudogene 16"
"156","ACTG1P17","actin gamma 1 pseudogene 17"
"157","ACTG1P18","actin gamma 1 pseudogene 18"
"158","ACTG1P19","actin gamma 1 pseudogene 19"
"159","ACTG1P20","actin gamma 1 pseudogene 20"
"160","ACTG1P21","actin gamma 1 pseudogene 21"
"161","ACTG1P22","actin gamma 1 pseudogene 22"
"162","ACTG1P23","actin gamma 1 pseudogene 23"
"163","ACTG1P24","actin gamma 1 pseudogene 24"
"164","ACTG2","actin gamma 2, smooth muscle"
"165","ACTL4","actin-like 4"
"166","ACTL5","actin-like 5"
"167","ACTL6B","actin like 6B"
"168","ACTL7A","actin like 7A"
"169","ACTL7B","actin like 7B"
"170","ACTL8","actin like 8"
"171","ACTL9","actin like 9"
"172","ACTL10","actin like 10"
"173","ACTN1-AS1","ACTN1 antisense RNA 1"
"174","ACTN3","actinin alpha 3 (gene/pseudogene)"
"175","ACTN4P1","actinin alpha 4 pseudogene 1"
"176","ACTN4P2","actinin alpha 4 pseudogene 2"
"177","ACTP1","actin family pseudogene 1"
"178","ACTR1AP1","ACTR1A pseudogene 1"
"179","ACTR1B","actin related protein 1B"
"180","ACTR3-AS1","ACTR3 antisense RNA 1"
"181","ACTR3B","actin related protein 3B"
"182","ACTR3BP1","ACTR3B pseudogene 1"
"183","ACTR3BP2","ACTR3B pseudogene 2"
"184","ACTR3BP3","ACTR3B pseudogene 3"
"185","ACTR3BP4","ACTR3B pseudogene 4"
"186","ACTR3BP5","ACTR3B pseudogene 5"
"187","ACTR3BP6","ACTR3B pseudogene 6"
"188","ACTR3C","actin related protein 3C"
"189","ACTR3P1","ACTR3 pseudogene 1"
"190","ACTR3P2","ACTR3 pseudogene 2"
"191","ACTR3P3","ACTR3 pseudogene 3"
"192","ACTR6P1","ACTR6 pseudogene 1"
"193","ACTRT1","actin related protein T1"
"194","ACTRT2","actin related protein T2"
"195","ACTRT3","actin related protein T3"
"196","ACVR1C","activin A receptor type 1C"
"197","ACVR2B-AS1","ACVR2B antisense RNA 1"
"198","ACY3","aminoacylase 3"
"199","AD5","Alzheimer disease 5"
"200","ADA2","adenosine deaminase 2"
"201","ADAD1P1","adenosine deaminase domain containing 1 pseudogene 1"
"202","ADAD1P2","adenosine deaminase domain containing 1 pseudogene 2"
"203","ADAD2","adenosine deaminase domain containing 2"
"204","ADAM1A","ADAM metallopeptidase domain 1A (pseudogene)"
"205","ADAM1B","ADAM metallopeptidase domain 1B (pseudogene)"
"206","ADAM2","ADAM metallopeptidase domain 2"
"207","ADAM3A","ADAM metallopeptidase domain 3A (pseudogene)"
"208","ADAM3B","ADAM metallopeptidase domain 3B (pseudogene)"
"209","ADAM6","ADAM metallopeptidase domain 6 (pseudogene)"
"210","ADAM7","ADAM metallopeptidase domain 7"
"211","ADAM8","ADAM metallopeptidase domain 8"
"212","ADAM12-OT1","ADAM12 overlapping transcript 1 (non-protein coding)"
"213","ADAM18","ADAM metallopeptidase domain 18"
"214","ADAM20P1","ADAM metallopeptidase domain 20 pseudogene 1"
"215","ADAM20P2","ADAM metallopeptidase domain 20 pseudogene 2"
"216","ADAM20P3","ADAM metallopeptidase domain 20 pseudogene 3"
"217","ADAM21","ADAM metallopeptidase domain 21"
"218","ADAM21P1","ADAM metallopeptidase domain 21 pseudogene 1"
"219","ADAM24P","ADAM metallopeptidase domain 24, pseudogene"
"220","ADAM28","ADAM metallopeptidase domain 28"
"221","ADAM29","ADAM metallopeptidase domain 29"
"222","ADAM30","ADAM metallopeptidase domain 30"
"223","ADAM32","ADAM metallopeptidase domain 32"
"224","ADAMDEC1","ADAM like decysin 1"
"225","ADAMTS4","ADAM metallopeptidase with thrombospondin type 1 motif 4"
"226","ADAMTS7P1","ADAMTS7 pseudogene 1"
"227","ADAMTS7P3","ADAMTS7 pseudogene 3"
"228","ADAMTS7P4","ADAMTS7 pseudogene 4"
"229","ADAMTS9-AS1","ADAMTS9 antisense RNA 1"
"230","ADAMTS9-AS2","ADAMTS9 antisense RNA 2"
"231","ADAMTS10","ADAM metallopeptidase with thrombospondin type 1 motif 10"
"232","ADAMTS12","ADAM metallopeptidase with thrombospondin type 1 motif 12"
"233","ADAMTS14","ADAM metallopeptidase with thrombospondin type 1 motif 14"
"234","ADAMTS16","ADAM metallopeptidase with thrombospondin type 1 motif 16"
"235","ADAMTS19-AS1","ADAMTS19 antisense RNA 1"
"236","ADAMTS20","ADAM metallopeptidase with thrombospondin type 1 motif 20"
"237","ADAMTSL4","ADAMTS like 4"
"238","ADAMTSL4-AS1","ADAMTSL4 antisense RNA 1"
"239","ADAMTSL4-AS2","ADAMTSL4 antisense RNA 2"
"240","ADARB2-AS1","ADARB2 antisense RNA 1"
"241","ADAT3","adenosine deaminase tRNA specific 3"
"242","ADCK5","aarF domain containing kinase 5"
"243","ADCP1","adenosine deaminase complexing protein 1"
"244","ADCY2","adenylate cyclase 2"
"245","ADCY4","adenylate cyclase 4"
"246","ADCY6","adenylate cyclase 6"
"247","ADCY6-DT","ADCY6 divergent transcript"
"248","ADCY10","adenylate cyclase 10"
"249","ADCY10P1","ADCY10 pseudogene 1"
"250","ADD3-AS1","ADD3 antisense RNA 1"
"251","ADFN","albinism-deafness syndrome"
"252","ADGRA1","adhesion G protein-coupled receptor A1"
"253","ADGRA1-AS1","ADGRA1 antisense RNA 1"
"254","ADGRA2","adhesion G protein-coupled receptor A2"
"255","ADGRA3","adhesion G protein-coupled receptor A3"
"256","ADGRB1","adhesion G protein-coupled receptor B1"
"257","ADGRB2","adhesion G protein-coupled receptor B2"
"258","ADGRB3","adhesion G protein-coupled receptor B3"
"259","ADGRD1-AS1","ADGRD1 antisense RNA 1"
"260","ADGRE1","adhesion G protein-coupled receptor E1"
"261","ADGRE2","adhesion G protein-coupled receptor E2"
"262","ADGRE3","adhesion G protein-coupled receptor E3"
"263","ADGRE4P","adhesion G protein-coupled receptor E4, pseudogene"
"264","ADGRE5","adhesion G protein-coupled receptor E5"
"265","ADGRF1","adhesion G protein-coupled receptor F1"
"266","ADGRF2","adhesion G protein-coupled receptor F2"
"267","ADGRF3","adhesion G protein-coupled receptor F3"
"268","ADGRF5-AS1","ADGRF5 antisense RNA 1"
"269","ADGRF5P1","adhesion G protein-coupled receptor F5 pseudogene 1"
"270","ADGRF5P2","adhesion G protein-coupled receptor F5 pseudogene 2"
"271","ADGRG1","adhesion G protein-coupled receptor G1"
"272","ADGRG2","adhesion G protein-coupled receptor G2"
"273","ADGRG4","adhesion G protein-coupled receptor G4"
"274","ADGRG5","adhesion G protein-coupled receptor G5"
"275","ADGRG6","adhesion G protein-coupled receptor G6"
"276","ADGRG7","adhesion G protein-coupled receptor G7"
"277","ADGRL1","adhesion G protein-coupled receptor L1"
"278","ADGRL2","adhesion G protein-coupled receptor L2"
"279","ADGRL3","adhesion G protein-coupled receptor L3"
"280","ADGRL3-AS1","ADGRL3 antisense RNA 1"
"281","ADH1A","alcohol dehydrogenase 1A (class I), alpha polypeptide"
"282","ADH1B","alcohol dehydrogenase 1B (class I), beta polypeptide"
"283","ADH4","alcohol dehydrogenase 4 (class II), pi polypeptide"
"284","ADH5P1","alcohol dehydrogenase 5 (class III), chi polypeptide, pseudogene 1"
"285","ADH5P2","ADH5 pseudogene 2"
"286","ADH5P3","ADH5 pseudogene 3"
"287","ADH5P4","ADH5 pseudogene 4"
"288","ADH5P5","ADH5 pseudogene 5"
"289","ADH6","alcohol dehydrogenase 6 (class V)"
"290","ADH7","alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide"
"291","ADI1P1","acireductone dioxygenase 1 pseudogene 1"
"292","ADI1P2","acireductone dioxygenase 1 pseudogene 2"
"293","ADI1P3","acireductone dioxygenase 1 pseudogene 3"
"294","ADIG","adipogenin"
"295","ADIPOQ-AS1","ADIPOQ antisense RNA 1"
"296","ADIPOR1P1","adiponectin receptor 1 pseudogene 1"
"297","ADIPOR1P2","adiponectin receptor 1 pseudogene 2"
"298","ADIRF-AS1","ADIRF antisense RNA 1"
"299","ADM2","adrenomedullin 2"
"300","ADM5","adrenomedullin 5 (putative)"
"301","ADNP-AS1","ADNP antisense RNA 1"
"302","ADORA2A-AS1","ADORA2A antisense RNA 1"
"303","ADORA2BP1","adenosine A2b receptor pseudogene 1"
"304","ADORA2L1","adenosine A2 receptor-like 1"
"305","ADORA2L2","adenosine A2 receptor-like 2"
"306","ADPGK-AS1","ADPGK antisense RNA 1"
"307","ADPRS","ADP-ribosylserine hydrolase"
"308","ADRB1","adrenoceptor beta 1"
"309","ADRB3","adrenoceptor beta 3"
"310","ADSS1","adenylosuccinate synthase 1"
"311","ADSS2","adenylosuccinate synthase 2"
"312","ADT","ADT unknown"
"313","AF8T","AF8 temperature sensitivity complementing"
"314","AFA","ankyloblepharon filiforme adnatum"
"315","AFAP1-AS1","AFAP1 antisense RNA 1"
"316","AFD1","acrofacial dysostosis 1, Nager type"
"317","AFDN","afadin, adherens junction formation factor"
"318","AFDN-DT","AFDN divergent transcript"
"319","AFF1-AS1","AFF1 antisense RNA 1"
"320","AFF2-IT1","AFF2 intronic transcript 1"
"321","AFG1L","AFG1 like ATPase"
"322","AFG3L1P","AFG3 like matrix AAA peptidase subunit 1, pseudogene"
"323","AFG3L2P1","AFG3 like AAA ATPase 2 pseudogene 1"
"324","AFM","afamin"
"325","AGAP1","ArfGAP with GTPase domain, ankyrin repeat and PH domain 1"
"326","AGAP1-IT1","AGAP1 intronic transcript 1"
"327","AGAP2","ArfGAP with GTPase domain, ankyrin repeat and PH domain 2"
"328","AGAP2-AS1","AGAP2 antisense RNA 1"
"329","AGAP4","ArfGAP with GTPase domain, ankyrin repeat and PH domain 4"
"330","AGAP5","ArfGAP with GTPase domain, ankyrin repeat and PH domain 5"
"331","AGAP6","ArfGAP with GTPase domain, ankyrin repeat and PH domain 6"
"332","AGAP7P","ArfGAP with GTPase domain, ankyrin repeat and PH domain 7, pseudogene"
"333","AGAP9","ArfGAP with GTPase domain, ankyrin repeat and PH domain 9"
"334","AGAP10P","ArfGAP with GTPase domain, ankyrin repeat and PH domain 10, pseudogene"
"335","AGAP11","ArfGAP with GTPase domain, ankyrin repeat and PH domain 11"
"336","AGAP12P","ArfGAP with GTPase domain, ankyrin repeat and PH domain 12, pseudogene"
"337","AGAP13P","ArfGAP with GTPase domain, ankyrin repeat and PH domain 13, pseudogene"
"338","AGAP14P","ArfGAP with GTPase domain, ankyrin repeat and PH domain 14, pseudogene"
"339","AGBL1-AS1","AGBL1 antisense RNA 1"
"340","AGBL4-AS1","AGBL4 antisense RNA 1"
"341","AGBL4-IT1","AGBL4 intronic transcript 1"
"342","AGBL5-AS1","AGBL5 antisense RNA 1"
"343","AGBL5-IT1","AGBL5 intronic transcript 1"
"344","AGER","advanced glycosylation end-product specific receptor"
"345","AGFG2","ArfGAP with FG repeats 2"
"346","AGGF1P1","angiogenic factor with G-patch and FHA domains 1 pseudogene 1"
"347","AGGF1P2","angiogenic factor with G-patch and FHA domains 1 pseudogene 2"
"348","AGGF1P3","angiogenic factor with G-patch and FHA domains 1 pseudogene 3"
"349","AGGF1P4","angiogenic factor with G-patch and FHA domains 1 pseudogene 4"
"350","AGGF1P5","angiogenic factor with G-patch and FHA domains 1 pseudogene 5"
"351","AGGF1P6","angiogenic factor with G-patch and FHA domains 1 pseudogene 6"
"352","AGGF1P7","angiogenic factor with G-patch and FHA domains 1 pseudogene 7"
"353","AGGF1P8","angiogenic factor with G-patch and FHA domains 1 pseudogene 8"
"354","AGGF1P9","angiogenic factor with G-patch and FHA domains 1 pseudogene 9"
"355","AGGF1P10","angiogenic factor with G-patch and FHA domains 1 pseudogene 10"
"356","AGKP1","acylglycerol kinase pseudogene 1"
"357","AGMAT","agmatinase"
"358","AGMX2","agammaglobulinemia, X-linked 2 (with growth hormone deficiency)"
"359","AGO2","argonaute RISC catalytic component 2"
"360","AGO4","argonaute RISC component 4"
"361","AGPAT4-IT1","AGPAT4 intronic transcript 1"
"362","AGPAT5P1","1-acylglycerol-3-phosphate O-acyltransferase 5 pseudogene 1"
"363","AGTRL2","angiotensin II receptor-like 2"
"364","AHCTF1P1","AT-hook containing transcription factor 1 pseudogene 1"
"365","AHCYL2","adenosylhomocysteinase like 2"
"366","AHCYP1","adenosylhomocysteinase pseudogene 1"
"367","AHCYP2","adenosylhomocysteinase pseudogene 2"
"368","AHCYP3","adenosylhomocysteinase pseudogene 3"
"369","AHCYP4","adenosylhomocysteinase pseudogene 4"
"370","AHCYP5","adenosylhomocysteinase pseudogene 5"
"371","AHCYP6","adenosylhomocysteinase pseudogene 6"
"372","AHCYP7","adenosylhomocysteinase pseudogene 7"
"373","AHCYP8","adenosylhomocysteinase pseudogene 8"
"374","AHNAK","AHNAK nucleoprotein"
"375","AHSA2P","activator of HSP90 ATPase homolog 2, pseudogene"
"376","AHSP","alpha hemoglobin stabilizing protein"
"377","AIC","Aicardi syndrome"
"378","AIDAP1","AIDA pseudogene 1"
"379","AIDAP2","AIDA pseudogene 2"
"380","AIDAP3","AIDA pseudogene 3"
"381","AIF1","allograft inflammatory factor 1"
"382","AIF1L","allograft inflammatory factor 1 like"
"383","AIFM1P1","AIFM1 pseudogene 1"
"384","AIG1P1","androgen induced 1 pseudogene 1"
"385","AIH3","amelogenesis imperfecta 3, hypomaturation or hypoplastic type"
"386","AIM2","absent in melanoma 2"
"387","AIMP1P1","aminoacyl tRNA synthetase complex interacting multifunctional protein 1 pseudogene 1"
"388","AIMP1P2","aminoacyl tRNA synthetase complex interacting multifunctional protein 1 pseudogene 2"
"389","AIRE","autoimmune regulator"
"390","AIRN","antisense of IGF2R non-protein coding RNA"
"391","AIS1","autoimmune susceptibility 1"
"392","AIS2","autoimmune susceptibility 2"
"393","AIS3","autoimmune susceptibility 3 (vitiligo specific)"
"394","AJM1","apical junction component 1 homolog"
"395","AJUBA","ajuba LIM protein"
"396","AK2P1","adenylate kinase 2 pseudogene 1"
"397","AK2P2","adenylate kinase 2 pseudogene 2"
"398","AK3P2","adenylate kinase 3 pseudogene 2"
"399","AK3P3","adenylate kinase 3 pseudogene 3"
"400","AK3P4","adenylate kinase 3 pseudogene 4"
"401","AK3P5","adenylate kinase 3 pseudogene 5"
"402","AK3P6","adenylate kinase 3 pseudogene 6"
"403","AK4P1","adenylate kinase 4 pseudogene 1"
"404","AK4P2","adenylate kinase 4 pseudogene 2"
"405","AK4P3","adenylate kinase 4 pseudogene 3"
"406","AK4P4","adenylate kinase 4 pseudogene 4"
"407","AK4P5","adenylate kinase 4 pseudogene 5"
"408","AK4P6","adenylate kinase 4 pseudogene 6"
"409","AK6P1","adenylate kinase 6 pseudogene 1"
"410","AK6P2","adenylate kinase 6 pseudogene 2"
"411","AK9","adenylate kinase 9"
"412","AKAIN1","A-kinase anchor inhibitor 1"
"413","AKAP3","A-kinase anchoring protein 3"
"414","AKAP4","A-kinase anchoring protein 4"
"415","AKAP8P1","A-kinase anchoring protein 8 pseudogene 1"
"416","AKAP11-IT1","AKPA11 intronic transcript 1 (non-protein coding)"
"417","AKAP14","A-kinase anchoring protein 14"
"418","AKAP17BP","A-kinase anchoring protein 17B, pseudogene"
"419","AKIRIN1","akirin 1"
"420","AKIRIN1P1","akirin 1 pseudogene 1"
"421","AKIRIN1P2","akirin 1 pseudogene 2"
"422","AKIRIN2-AS1","AKIRIN2 antisense RNA 1"
"423","AKIRIN2P1","akirin 2 pseudogene 1"
"424","AKR1B1P1","aldehyde reductase family 1 member B1 pseudogene 1"
"425","AKR1B1P2","aldo-keto reductase family 1 member B1 pseudogene 2"
"426","AKR1B1P3","aldo-keto reductase family 1 member B1 pseudogene 3"
"427","AKR1B1P4","aldo-keto reductase family 1 member B1 pseudogene 4"
"428","AKR1B1P5","aldo-keto reductase family 1 member B1 pseudogene 5"
"429","AKR1B1P6","aldo-keto reductase family 1 member B1 pseudogene 6"
"430","AKR1B1P7","aldo-keto reductase family 1 member B1 pseudogene 7"
"431","AKR1B1P8","aldo-keto reductase family 1 member B1 pseudogene 8"
"432","AKR1B10","aldo-keto reductase family 1 member B10"
"433","AKR1B10P1","aldo-keto reductase family 1 member B10 pseudogene 1"
"434","AKR1B10P2","aldo-keto reductase family 1 member B10 pseudogene 2"
"435","AKR1B15","aldo-keto reductase family 1 member B15"
"436","AKR1C1","aldo-keto reductase family 1 member C1"
"437","AKR1C2","aldo-keto reductase family 1 member C2"
"438","AKR1C3","aldo-keto reductase family 1 member C3"
"439","AKR1C4","aldo-keto reductase family 1 member C4"
"440","AKR1C5P","aldo-keto reductase family 1 member C5, pseudogene"
"441","AKR1C6P","aldo-keto reductase family 1 member C6, pseudogene"
"442","AKR1C7P","aldo-keto reductase family 1 member C7, pseudogene"
"443","AKR1C8P","aldo-keto reductase family 1 member C8, pseudogene"
"444","AKR1D1P1","aldo-keto reductase family 1 member D1 pseudogene 1"
"445","AKR1E2","aldo-keto reductase family 1 member E2"
"446","AKR7A2P1","aldo-keto reductase family 7 member A2 pseudogene 1"
"447","AKR7A3","aldo-keto reductase family 7 member A3"
"448","AKR7L","aldo-keto reductase family 7 like (gene/pseudogene)"
"449","AKT1S1","AKT1 substrate 1"
"450","AKT3-IT1","AKT3 intronic transcript 1"
"451","ALAS2","5'-aminolevulinate synthase 2"
"452","ALDH1A3","aldehyde dehydrogenase 1 family member A3"
"453","ALDH1B1","aldehyde dehydrogenase 1 family member B1"
"454","ALDH1L1","aldehyde dehydrogenase 1 family member L1"
"455","ALDH1L1-AS1","ALDH1L1 antisense RNA 1"
"456","ALDH1L1-AS2","ALDH1L1 antisense RNA 2"
"457","ALDH2","aldehyde dehydrogenase 2 family member"
"458","ALDH3A1","aldehyde dehydrogenase 3 family member A1"
"459","ALDH3B1","aldehyde dehydrogenase 3 family member B1"
"460","ALDH3B2","aldehyde dehydrogenase 3 family member B2"
"461","ALDH7A1P1","aldehyde dehydrogenase 7 family member A1 pseudogene 1"
"462","ALDH7A1P2","aldehyde dehydrogenase 7 family member A1 pseudogene 2"
"463","ALDH7A1P3","aldehyde dehydrogenase 7 family member A1 pseudogene 3"
"464","ALDH7A1P4","aldehyde dehydrogenase 7 family member A1 pseudogene 4"
"465","ALDH16A1","aldehyde dehydrogenase 16 family member A1"
"466","ALDOA","aldolase, fructose-bisphosphate A"
"467","ALDOAP1","ALDOA pseudogene 1"
"468","ALDOAP2","ALDOA pseudogene 2"
"469","ALDRL2","aldehyde reductase (aldose reductase)-like 2"
"470","ALDRL5","aldehyde reductase (aldose reductase)-like 5"
"471","ALFN1","activator of liver function 1 (hepatic phenotype restoration inducing sequence)"
"472","ALG1L","ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase like"
"473","ALG1L2","ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase like 2"
"474","ALG1L3P","ALG1 like 3, pseudogene"
"475","ALG1L5P","ALG1 like 5, pseudogene"
"476","ALG1L6P","ALG1 like 6, pseudogene"
"477","ALG1L7P","ALG1 like 7, pseudogene"
"478","ALG1L8P","ALG1 like 8, pseudogene"
"479","ALG1L9P","ALG1 like 9, pseudogene"
"480","ALG1L10P","ALG1 like 10, pseudogene"
"481","ALG1L11P","ALG1 like 11, pseudogene"
"482","ALG1L12P","ALG1 like 12, pseudogene"
