"","V1","bird","sex","tissue","treatment","external","internal","group","study"
"91","blu103.x_female_gonad_hatch.NYNO","blu103.x","female","gonads","hatch","chicks","late","female.gonads.hatch","charcterization"
"92","blu103.x_female_hypothalamus_hatch","blu103.x","female","hypothalamus","hatch","chicks","late","female.hypothalamus.hatch","charcterization"
"93","blu103.x_female_pituitary_hatch.NYNO","blu103.x","female","pituitary","hatch","chicks","late","female.pituitary.hatch","charcterization"
"94","blu104.w120.x_male_gonad_hatch","blu104.w120.x","male","gonads","hatch","chicks","late","male.gonads.hatch","charcterization"
"95","blu104.w120.x_male_hypothalamus_hatch","blu104.w120.x","male","hypothalamus","hatch","chicks","late","male.hypothalamus.hatch","charcterization"
"96","blu104.w120.x_male_pituitary_hatch.NYNO","blu104.w120.x","male","pituitary","hatch","chicks","late","male.pituitary.hatch","charcterization"
"97","blu108.w40.o158_male_gonad_inc.d9","blu108.w40.o158","male","gonads","m.inc.d9","nest","early","male.gonads.m.inc.d9","manipulation"
"98","blu108.w40.o158_male_hypothalamus_inc.d9","blu108.w40.o158","male","hypothalamus","m.inc.d9","nest","early","male.hypothalamus.m.inc.d9","manipulation"
"99","blu108.w40.o158_male_pituitary_inc.d9","blu108.w40.o158","male","pituitary","m.inc.d9","nest","early","male.pituitary.m.inc.d9","manipulation"
"100","blu111.w113.x_male_gonad_inc.d3","blu111.w113.x","male","gonads","inc.d3","eggs","early","male.gonads.inc.d3","charcterization"
"101","blu111.w113.x_male_hypothalamus_inc.d3","blu111.w113.x","male","hypothalamus","inc.d3","eggs","early","male.hypothalamus.inc.d3","charcterization"
"102","blu111.w113.x_male_pituitary_inc.d3","blu111.w113.x","male","pituitary","inc.d3","eggs","early","male.pituitary.inc.d3","charcterization"
"103","blu113.w124.x_male_gonad_inc.d17","blu113.w124.x","male","gonads","inc.d17","eggs","late","male.gonads.inc.d17","charcterization"
"104","blu113.w124.x_male_hypothalamus_inc.d17","blu113.w124.x","male","hypothalamus","inc.d17","eggs","late","male.hypothalamus.inc.d17","charcterization"
"105","blu113.w124.x_male_pituitary_inc.d17.NYNO","blu113.w124.x","male","pituitary","inc.d17","eggs","late","male.pituitary.inc.d17","charcterization"
"106","blu114.r38.w198_male_gonad_bldg","blu114.r38.w198","male","gonads","bldg","nest","early","male.gonads.bldg","charcterization"
"107","blu114.r38.w198_male_hypothalamus_bldg","blu114.r38.w198","male","hypothalamus","bldg","nest","early","male.hypothalamus.bldg","charcterization"
"108","blu114.r38.w198_male_pituitary_bldg","blu114.r38.w198","male","pituitary","bldg","nest","early","male.pituitary.bldg","charcterization"
"109","blu115.y150.x_female_gonad_inc.prolong","blu115.y150.x","female","gonads","prolong","eggs","late","female.gonads.prolong","manipulation"
"110","blu115.y150.x_female_hypothalamus_inc.prolong","blu115.y150.x","female","hypothalamus","prolong","eggs","late","female.hypothalamus.prolong","manipulation"
"111","blu115.y150.x_female_pituitary_inc.prolong","blu115.y150.x","female","pituitary","prolong","eggs","late","female.pituitary.prolong","manipulation"
"112","blu119.w84.x_female_gonad_m.inc.d8","blu119.w84.x","male","gonads","early","chicks","early","male.gonads.early","charcterization"
"113","blu119.w84.x_female_hypothalamus_m.inc.d8","blu119.w84.x","male","hypothalamus","early","chicks","early","male.hypothalamus.early","charcterization"
"114","blu119.w84.x_female_pituitary_m.inc.d8","blu119.w84.x","male","pituitary","early","chicks","early","male.pituitary.early","charcterization"
"115","blu121.w91.x_male_gonad_inc.d17","blu121.w91.x","male","gonads","inc.d17","eggs","late","male.gonads.inc.d17","charcterization"
"116","blu121.w91.x_male_hypothalamus_inc.d17","blu121.w91.x","male","hypothalamus","inc.d17","eggs","late","male.hypothalamus.inc.d17","charcterization"
"117","blu121.w91.x_male_pituitary_inc.d17","blu121.w91.x","male","pituitary","inc.d17","eggs","late","male.pituitary.inc.d17","charcterization"
"118","blu124.w180.x_female_gonad_hatch","blu124.w180.x","female","gonads","hatch","chicks","late","female.gonads.hatch","charcterization"
"119","blu124.w180.x_female_hypothalamus_hatch","blu124.w180.x","female","hypothalamus","hatch","chicks","late","female.hypothalamus.hatch","charcterization"
"120","blu124.w180.x_female_pituitary_hatch","blu124.w180.x","female","pituitary","hatch","chicks","late","female.pituitary.hatch","charcterization"
"121","blu33.y88.x_male_gonad_bldg","blu33.y88.x","male","gonads","bldg","nest","early","male.gonads.bldg","charcterization"
"122","blu33.y88.x_male_hypothalamus_bldg","blu33.y88.x","male","hypothalamus","bldg","nest","early","male.hypothalamus.bldg","charcterization"
"123","blu33.y88.x_male_pituitary_bldg","blu33.y88.x","male","pituitary","bldg","nest","early","male.pituitary.bldg","charcterization"
"124","blu36.w16_female_gonad_n9","blu36.w16","female","gonads","n9","chicks","late","female.gonads.n9","charcterization"
"125","blu36.w16_female_hypothalamus_n9","blu36.w16","female","hypothalamus","n9","chicks","late","female.hypothalamus.n9","charcterization"
"126","blu36.w16_female_pituitary_n9","blu36.w16","female","pituitary","n9","chicks","late","female.pituitary.n9","charcterization"
"127","blu37.r65.x_male_gonad_n5","blu37.r65.x","male","gonads","n5","chicks","late","male.gonads.n5","charcterization"
"128","blu37.r65.x_male_hypothalamus_n5","blu37.r65.x","male","hypothalamus","n5","chicks","late","male.hypothalamus.n5","charcterization"
"129","blu37.r65.x_male_pituitary_n5","blu37.r65.x","male","pituitary","n5","chicks","late","male.pituitary.n5","charcterization"
"130","blu38.g135.x_female_gonad_bldg","blu38.g135.x","female","gonads","bldg","nest","early","female.gonads.bldg","charcterization"
"131","blu38.g135.x_female_hypothalamus_bldg","blu38.g135.x","female","hypothalamus","bldg","nest","early","female.hypothalamus.bldg","charcterization"
"132","blu38.g135.x_female_pituitary_bldg","blu38.g135.x","female","pituitary","bldg","nest","early","female.pituitary.bldg","charcterization"
"133","blu39.o26.x_female_gonad_inc.d3","blu39.o26.x","female","gonads","inc.d3","eggs","early","female.gonads.inc.d3","charcterization"
"134","blu39.o26.x_female_hypothalamus_inc.d3.NYNO","blu39.o26.x","female","hypothalamus","inc.d3","eggs","early","female.hypothalamus.inc.d3","charcterization"
"135","blu39.o26.x_female_pituitary_inc.d3.NYNO","blu39.o26.x","female","pituitary","inc.d3","eggs","early","female.pituitary.inc.d3","charcterization"
"136","blu41.y100.x_male_gonad_n5","blu41.y100.x","male","gonads","n5","chicks","late","male.gonads.n5","charcterization"
"137","blu41.y100.x_male_hypothalamus_n5.NYNO","blu41.y100.x","male","hypothalamus","n5","chicks","late","male.hypothalamus.n5","charcterization"
"138","blu41.y100.x_male_pituitary_n5","blu41.y100.x","male","pituitary","n5","chicks","late","male.pituitary.n5","charcterization"
"139","blu44.y102_female_gonad_extend","blu44.y102","female","gonads","extend","chicks","late","female.gonads.extend","manipulation"
"140","blu44.y102_female_hypothalamus_extend","blu44.y102","female","hypothalamus","extend","chicks","late","female.hypothalamus.extend","manipulation"
"141","blu44.y102_female_pituitary_extend","blu44.y102","female","pituitary","extend","chicks","late","female.pituitary.extend","manipulation"
"142","blu47.y96.x_female_gonad_inc.d9","blu47.y96.x","female","gonads","inc.d9","eggs","early","female.gonads.inc.d9","charcterization"
"143","blu47.y96.x_female_hypothalamus_inc.d9","blu47.y96.x","female","hypothalamus","inc.d9","eggs","early","female.hypothalamus.inc.d9","charcterization"
"144","blu47.y96.x_female_pituitary_inc.d9","blu47.y96.x","female","pituitary","inc.d9","eggs","early","female.pituitary.inc.d9","charcterization"
"145","blu55.g51_female_gonad_n5","blu55.g51","female","gonads","n5","chicks","late","female.gonads.n5","charcterization"
"146","blu55.g51_female_hypothalamus_n5","blu55.g51","female","hypothalamus","n5","chicks","late","female.hypothalamus.n5","charcterization"
"147","blu55.g51_female_pituitary_n5","blu55.g51","female","pituitary","n5","chicks","late","female.pituitary.n5","charcterization"
"148","blu56.o53_female_gonad_m.inc.d3","blu56.o53","female","gonads","m.inc.d3","nest","early","female.gonads.m.inc.d3","manipulation"
"149","blu56.o53_female_hypothalamus_m.inc.d3","blu56.o53","female","hypothalamus","m.inc.d3","nest","early","female.hypothalamus.m.inc.d3","manipulation"
"150","blu56.o53_female_pituitary_m.inc.d3","blu56.o53","female","pituitary","m.inc.d3","nest","early","female.pituitary.m.inc.d3","manipulation"
"151","blu63.g62_female_gonad_m.inc.d9","blu63.g62","female","gonads","m.inc.d9","nest","early","female.gonads.m.inc.d9","manipulation"
"152","blu63.g62_female_hypothalamus_m.inc.d9","blu63.g62","female","hypothalamus","m.inc.d9","nest","early","female.hypothalamus.m.inc.d9","manipulation"
"153","blu63.g62_female_pituitary_m.inc.d9","blu63.g62","female","pituitary","m.inc.d9","nest","early","female.pituitary.m.inc.d9","manipulation"
"154","blu80.r97_female_gonad_m.inc.d8","blu80.r97","female","gonads","early","chicks","early","female.gonads.early","charcterization"
"155","blu80.r97_female_hypothalamus_m.inc.d8","blu80.r97","female","hypothalamus","early","chicks","early","female.hypothalamus.early","charcterization"
"156","blu80.r97_female_pituitary_m.inc.d8","blu80.r97","female","pituitary","early","chicks","early","female.pituitary.early","charcterization"
"157","blu81.r88_male_gonad_n9","blu81.r88","male","gonads","n9","chicks","late","male.gonads.n9","charcterization"
"158","blu81.r88_male_hypothalamus_n9","blu81.r88","male","hypothalamus","n9","chicks","late","male.hypothalamus.n9","charcterization"
"159","blu81.r88_male_pituitary_n9","blu81.r88","male","pituitary","n9","chicks","late","male.pituitary.n9","charcterization"
"160","blu84.x_male_gonad_extend.hatch","blu84.x","male","gonads","extend","chicks","late","male.gonads.extend","manipulation"
"161","blu84.x_male_hypothalamus_extend.hatch","blu84.x","male","hypothalamus","extend","chicks","late","male.hypothalamus.extend","manipulation"
"162","blu84.x_male_pituitary_extend.hatch","blu84.x","male","pituitary","extend","chicks","late","male.pituitary.extend","manipulation"
"163","d.r.blk.s159_female_gonad_m.inc.d9","d.r.blk.s159","female","gonads","m.inc.d9","nest","early","female.gonads.m.inc.d9","manipulation"
"164","d.r.blk.s159_female_hypothalamus_m.inc.d9","d.r.blk.s159","female","hypothalamus","m.inc.d9","nest","early","female.hypothalamus.m.inc.d9","manipulation"
"165","d.r.blk.s159_female_pituitary_m.inc.d9","d.r.blk.s159","female","pituitary","m.inc.d9","nest","early","female.pituitary.m.inc.d9","manipulation"
"166","d.s008.y.blk_male_gonad_n5","d.s008.y.blk","male","gonads","n5","chicks","late","male.gonads.n5","charcterization"
"167","d.s008.y.blk_male_hypothalamus_n5","d.s008.y.blk","male","hypothalamus","n5","chicks","late","male.hypothalamus.n5","charcterization"
"168","d.s008.y.blk_male_pituitary_n5","d.s008.y.blk","male","pituitary","n5","chicks","late","male.pituitary.n5","charcterization"
"169","d.s047.blk.o_male_gonad_n5","d.s047.blk.o","male","gonads","n5","chicks","late","male.gonads.n5","charcterization"
"170","d.s047.blk.o_male_hypothalamus_n5","d.s047.blk.o","male","hypothalamus","n5","chicks","late","male.hypothalamus.n5","charcterization"
"171","d.s047.blk.o_male_pituitary_n5","d.s047.blk.o","male","pituitary","n5","chicks","late","male.pituitary.n5","charcterization"
"172","d.s110.g.blk_male_gonad_m.inc.d3","d.s110.g.blk","male","gonads","m.inc.d3","nest","early","male.gonads.m.inc.d3","manipulation"
"173","d.s110.g.blk_male_hypothalamus_m.inc.d3","d.s110.g.blk","male","hypothalamus","m.inc.d3","nest","early","male.hypothalamus.m.inc.d3","manipulation"
"174","d.s110.g.blk_male_pituitary_m.inc.d3","d.s110.g.blk","male","pituitary","m.inc.d3","nest","early","male.pituitary.m.inc.d3","manipulation"
"175","d.s112.blk.w_female_gonad_m.inc.d17","d.s112.blk.w","female","gonads","m.inc.d17","nest","late","female.gonads.m.inc.d17","manipulation"
"176","d.s112.blk.w_female_hypothalamus_m.inc.d17","d.s112.blk.w","female","hypothalamus","m.inc.d17","nest","late","female.hypothalamus.m.inc.d17","manipulation"
"177","d.s112.blk.w_female_pituitary_m.inc.d17","d.s112.blk.w","female","pituitary","m.inc.d17","nest","late","female.pituitary.m.inc.d17","manipulation"
"178","d.s177.blk.r_female_gonad_m.inc.d3","d.s177.blk.r","female","gonads","m.inc.d3","nest","early","female.gonads.m.inc.d3","manipulation"
"179","d.s177.blk.r_female_hypothalamus_m.inc.d3","d.s177.blk.r","female","hypothalamus","m.inc.d3","nest","early","female.hypothalamus.m.inc.d3","manipulation"
"180","d.s177.blk.r_female_pituitary_m.inc.d3","d.s177.blk.r","female","pituitary","m.inc.d3","nest","early","female.pituitary.m.inc.d3","manipulation"
"181","g.blk.s004.pk_female_gonad_lay","g.blk.s004.pk","female","gonads","lay","eggs","early","female.gonads.lay","charcterization"
"182","g.blk.s004.pk_female_hypothalamus_lay","g.blk.s004.pk","female","hypothalamus","lay","eggs","early","female.hypothalamus.lay","charcterization"
"183","g.blk.s004.pk_female_pituitary_lay","g.blk.s004.pk","female","pituitary","lay","eggs","early","female.pituitary.lay","charcterization"
"184","g.blk.s041.r_male_gonad_m.inc.d3","g.blk.s041.r","male","gonads","m.inc.d3","nest","early","male.gonads.m.inc.d3","manipulation"
"185","g.blk.s041.r_male_hypothalamus_m.inc.d3","g.blk.s041.r","male","hypothalamus","m.inc.d3","nest","early","male.hypothalamus.m.inc.d3","manipulation"
"186","g.blk.s041.r_male_pituitary_m.inc.d3","g.blk.s041.r","male","pituitary","m.inc.d3","nest","early","male.pituitary.m.inc.d3","manipulation"
"187","g.o.y.s037_male_gonad_m.inc.d17","g.o.y.s037","male","gonads","m.inc.d17","nest","late","male.gonads.m.inc.d17","manipulation"
"188","g.o.y.s037_male_hypothalamus_m.inc.d17","g.o.y.s037","male","hypothalamus","m.inc.d17","nest","late","male.hypothalamus.m.inc.d17","manipulation"
"189","g.o.y.s037_male_pituitary_m.inc.d17","g.o.y.s037","male","pituitary","m.inc.d17","nest","late","male.pituitary.m.inc.d17","manipulation"
"190","g.s.blk.d_male_gonad_n9","g.s.blk.d","male","gonads","n9","chicks","late","male.gonads.n9","charcterization"
"191","g.s.blk.d_male_hypothalamus_n9","g.s.blk.d","male","hypothalamus","n9","chicks","late","male.hypothalamus.n9","charcterization"
"192","g.s.blk.d_male_pituitary_n9","g.s.blk.d","male","pituitary","n9","chicks","late","male.pituitary.n9","charcterization"
"193","g.s.blk.y_male_gonad_lay","g.s.blk.y","male","gonads","lay","eggs","early","male.gonads.lay","charcterization"
"194","g.s.blk.y_male_hypothalamus_lay","g.s.blk.y","male","hypothalamus","lay","eggs","early","male.hypothalamus.lay","charcterization"
"195","g.s.blk.y_male_pituitary_lay","g.s.blk.y","male","pituitary","lay","eggs","early","male.pituitary.lay","charcterization"
"196","g.s043.pu.blk_male_gonad_lay","g.s043.pu.blk","male","gonads","lay","eggs","early","male.gonads.lay","charcterization"
"197","g.s043.pu.blk_male_hypothalamus_lay","g.s043.pu.blk","male","hypothalamus","lay","eggs","early","male.hypothalamus.lay","charcterization"
"198","g.s043.pu.blk_male_pituitary_lay","g.s043.pu.blk","male","pituitary","lay","eggs","early","male.pituitary.lay","charcterization"
"199","g.s075.pk.pu_male_gonad_m.hatch","g.s075.pk.pu","male","gonads","m.n2","nest","late","male.gonads.m.n2","manipulation"
"200","g.s075.pk.pu_male_hypothalamus_m.hatch","g.s075.pk.pu","male","hypothalamus","m.n2","nest","late","male.hypothalamus.m.n2","manipulation"
"201","g.s075.pk.pu_male_pituitary_m.hatch","g.s075.pk.pu","male","pituitary","m.n2","nest","late","male.pituitary.m.n2","manipulation"
"202","g.s076.pk.r_female_gonad_m.hatch","g.s076.pk.r","female","gonads","m.n2","nest","late","female.gonads.m.n2","manipulation"
"203","g.s076.pk.r_female_hypothalamus_m.hatch","g.s076.pk.r","female","hypothalamus","m.n2","nest","late","female.hypothalamus.m.n2","manipulation"
"204","g.s076.pk.r_female_pituitary_m.hatch","g.s076.pk.r","female","pituitary","m.n2","nest","late","female.pituitary.m.n2","manipulation"
"205","g.s078.blk.o_female_gonad_lay","g.s078.blk.o","female","gonads","lay","eggs","early","female.gonads.lay","charcterization"
"206","g.s078.blk.o_female_hypothalamus_lay","g.s078.blk.o","female","hypothalamus","lay","eggs","early","female.hypothalamus.lay","charcterization"
"207","g.s078.blk.o_female_pituitary_lay","g.s078.blk.o","female","pituitary","lay","eggs","early","female.pituitary.lay","charcterization"
"208","g.s111.r.blk_male_gonad_m.inc.d8","g.s111.r.blk","male","gonads","early","chicks","early","male.gonads.early","charcterization"
"209","g.s111.r.blk_male_hypothalamus_m.inc.d8","g.s111.r.blk","male","hypothalamus","early","chicks","early","male.hypothalamus.early","charcterization"
"210","g.s111.r.blk_male_pituitary_m.inc.d8","g.s111.r.blk","male","pituitary","early","chicks","early","male.pituitary.early","charcterization"
