"","bird","horm.id","rnaseq.id","sex","tissue","treatment","external","internal","group"
"81","r.r.x.atlas","r/r-x","r.r.x.ATLAS_female_hypothalamus_control","female","hypothalamus","control","control","control","female.hypothalamus.control"
"82","r.r.x.atlas","r/r-x","r.r.x.ATLAS_female_pituitary_control","female","pituitary","control","control","control","female.pituitary.control"
"83","r6.x",NA,"r6.x_female_gonad_control.NYNO","female","gonads","control","control","control","female.gonads.control"
"84","r6.x",NA,"r6.x_female_hypothalamus_control.NYNO","female","hypothalamus","control","control","control","female.hypothalamus.control"
"85","r6.x",NA,"r6.x_female_pituitary_control","female","pituitary","control","control","control","female.pituitary.control"
"86","s.x.atlas","s-x","s.x.ATLAS_female_gonad_control","female","gonads","control","control","control","female.gonads.control"
"87","s.x.atlas","s-x","s.x.ATLAS_female_hypothalamus_control","female","hypothalamus","control","control","control","female.hypothalamus.control"
"88","s.x.atlas","s-x","s.x.ATLAS_female_pituitary_control","female","pituitary","control","control","control","female.pituitary.control"
"89","w191.r1","w191-r1","w191.r1_female_gonad_control","female","gonads","control","control","control","female.gonads.control"
"90","w191.r1","w191-r1","w191.r1_female_hypothalamus_control","female","hypothalamus","control","control","control","female.hypothalamus.control"
"91","w191.r1","w191-r1","w191.r1_female_pituitary_control","female","pituitary","control","control","control","female.pituitary.control"
"92","x.g.g.atlas","x-g/g_f","x.g.g.ATLAS_female_gonad_control","female","gonads","control","control","control","female.gonads.control"
"93","x.g.g.atlas","x-g/g_f","x.g.g.ATLAS_male_gonad_control","male","gonads","control","control","control","male.gonads.control"
"94","x.g.g.atlas","x-g/g_f","x.g.g.ATLAS_male_hypothalamus_control","male","hypothalamus","control","control","control","male.hypothalamus.control"
"95","x.g.g.atlas","x-g/g_f","x.g.g.ATLAS_male_pituitary_control","male","pituitary","control","control","control","male.pituitary.control"
"96","l.blu13","blu13-x","L.Blu13_male_gonad_control.NYNO","male","gonads","control","control","control","male.gonads.control"
"97","l.blu13","blu13-x","L.Blu13_male_hypothalamus_control.NYNO","male","hypothalamus","control","control","control","male.hypothalamus.control"
"98","l.blu13","blu13-x","L.Blu13_male_pituitary_control.NYNO","male","pituitary","control","control","control","male.pituitary.control"
"99","l.g107","g107-x","L.G107_male_gonad_control","male","gonads","control","control","control","male.gonads.control"
"100","l.g107","g107-x","L.G107_male_hypothalamus_control","male","hypothalamus","control","control","control","male.hypothalamus.control"
"101","l.g107","g107-x","L.G107_male_pituitary_control","male","pituitary","control","control","control","male.pituitary.control"
"102","l.r3","r3-x","L.R3_male_gonad_control.NYNO","male","gonads","control","control","control","male.gonads.control"
"103","l.r3","r3-x","L.R3_male_hypothalamus_control","male","hypothalamus","control","control","control","male.hypothalamus.control"
"104","l.r3","r3-x","L.R3_male_pituitary_control.NYNO","male","pituitary","control","control","control","male.pituitary.control"
"105","l.r8","r8-x","L.R8_male_gonad_control","male","gonads","control","control","control","male.gonads.control"
"106","l.r8","r8-x","L.R8_male_hypothalamus_control","male","hypothalamus","control","control","control","male.hypothalamus.control"
"107","l.r8","r8-x","L.R8_male_pituitary_control","male","pituitary","control","control","control","male.pituitary.control"
"108","l.w33","w33-x","L.W33_male_gonad_control","male","gonads","control","control","control","male.gonads.control"
"109","l.w33","w33-x","L.W33_male_hypothalamus_control.NYNO","male","hypothalamus","control","control","control","male.hypothalamus.control"
"110","l.w33","w33-x","L.W33_male_pituitary_control","male","pituitary","control","control","control","male.pituitary.control"
"111","l.w3","w3-x","L.W3_male_gonad_control.NYNO","male","gonads","control","control","control","male.gonads.control"
"112","l.w3","w3-x","L.W3_male_hypothalamus_control","male","hypothalamus","control","control","control","male.hypothalamus.control"
"113","l.w3","w3-x","L.W3_male_pituitary_control","male","pituitary","control","control","control","male.pituitary.control"
"114","l.w4","w4-x","L.W4_male_gonad_control.NYNO","male","gonads","control","control","control","male.gonads.control"
"115","l.w4","w4-x","L.W4_male_hypothalamus_control","male","hypothalamus","control","control","control","male.hypothalamus.control"
"116","l.w4","w4-x","L.W4_male_pituitary_control","male","pituitary","control","control","control","male.pituitary.control"
"117","r.y108.w29","x-y108/w29","R.Y108.W29_male_gonad_control","male","gonads","control","control","control","male.gonads.control"
"118","r.y108.w29","x-y108/w29","R.Y108.W29_male_hypothalamus_control.NYNO","male","hypothalamus","control","control","control","male.hypothalamus.control"
"119","r.y108.w29","x-y108/w29","R.Y108.W29_male_pituitary_control","male","pituitary","control","control","control","male.pituitary.control"
"120","x.blk.blk.atlas","x-blk/blk","x.blk.blk.ATLAS_male_gonad_control","male","gonads","control","control","control","male.gonads.control"
"121","x.blk.blk.atlas","x-blk/blk","x.blk.blk.ATLAS_male_hypothalamus_control","male","hypothalamus","control","control","control","male.hypothalamus.control"
"122","x.blk.blk.atlas","x-blk/blk","x.blk.blk.ATLAS_male_pituitary_control","male","pituitary","control","control","control","male.pituitary.control"
"123","x.blu.o.atlas","x-blu/o","x.blu.o.ATLAS_male_pituitary_control","male","pituitary","control","control","control","male.pituitary.control"
"124","x.g.atlas","x-g","x.g.ATLAS_male_gonad_control","male","gonads","control","control","control","male.gonads.control"
"125","x.g.atlas","x-g","x.g.ATLAS_male_hypothalamus_control","male","hypothalamus","control","control","control","male.hypothalamus.control"
"126","x.g.atlas","x-g","x.g.ATLAS_male_pituitary_control","male","pituitary","control","control","control","male.pituitary.control"
"127","x.g.g.atlas","x-g/g","x.g.g.ATLAS_female_gonad_control","female","gonads","control","control","control","female.gonads.control"
"128","x.g.g.atlas","x-g/g","x.g.g.ATLAS_male_gonad_control","male","gonads","control","control","control","male.gonads.control"
"129","x.g.g.atlas","x-g/g","x.g.g.ATLAS_male_hypothalamus_control","male","hypothalamus","control","control","control","male.hypothalamus.control"
"130","x.g.g.atlas","x-g/g","x.g.g.ATLAS_male_pituitary_control","male","pituitary","control","control","control","male.pituitary.control"
"131","x.g.g.g.atlas","x-g/g/g","x.g.g.g.ATLAS_male_gonad_control","male","gonads","control","control","control","male.gonads.control"
"132","x.g.g.g.atlas","x-g/g/g","x.g.g.g.ATLAS_male_pituitary_control","male","pituitary","control","control","control","male.pituitary.control"
"133","x.y.s.atlas",NA,"x.y.s.ATLAS_male_gonad_control","male","gonads","control","control","control","male.gonads.control"
"134","x.y.s.atlas",NA,"x.y.s.ATLAS_male_pituitary_control","male","pituitary","control","control","control","male.pituitary.control"
"135","blk.y.l.s109","blk/y-l/s","blk.y.l.s109_female_gonad_m.inc.d8","female","gonads","early","chicks","early","female.gonads.early"
"136","blk.y.l.s109","blk/y-l/s","blk.y.l.s109_female_hypothalamus_m.inc.d8","female","hypothalamus","early","chicks","early","female.hypothalamus.early"
"137","blk.y.l.s109","blk/y-l/s","blk.y.l.s109_female_pituitary_m.inc.d8","female","pituitary","early","chicks","early","female.pituitary.early"
"138","blu119.w84.x","blu119/w84-x","blu119.w84.x_female_gonad_m.inc.d8","male","gonads","early","chicks","early","male.gonads.early"
"139","blu119.w84.x","blu119/w84-x","blu119.w84.x_female_hypothalamus_m.inc.d8","male","hypothalamus","early","chicks","early","male.hypothalamus.early"
"140","blu119.w84.x","blu119/w84-x","blu119.w84.x_female_pituitary_m.inc.d8","male","pituitary","early","chicks","early","male.pituitary.early"
"141","blu80.r97","blu80-r97","blu80.r97_female_gonad_m.inc.d8","female","gonads","early","chicks","early","female.gonads.early"
"142","blu80.r97","blu80-r97","blu80.r97_female_hypothalamus_m.inc.d8","female","hypothalamus","early","chicks","early","female.hypothalamus.early"
"143","blu80.r97","blu80-r97","blu80.r97_female_pituitary_m.inc.d8","female","pituitary","early","chicks","early","female.pituitary.early"
"144","p.g.blk.s040",NA,"p.g.blk.s040_female_gonad_m.inc.d8","female","gonads","early","chicks","early","female.gonads.early"
"145","p.g.blk.s040",NA,"p.g.blk.s040_female_hypothalamus_m.inc.d8","female","hypothalamus","early","chicks","early","female.hypothalamus.early"
"146","p.g.blk.s040",NA,"p.g.blk.s040_female_pituitary_m.inc.d8","female","pituitary","early","chicks","early","female.pituitary.early"
"147","pk.s055.d.l","pk/s-d/l","pk.s055.d.l_female_gonad_m.inc.d8","female","gonads","early","chicks","early","female.gonads.early"
"148","pk.s055.d.l","pk/s-d/l","pk.s055.d.l_female_hypothalamus_m.inc.d8","female","hypothalamus","early","chicks","early","female.hypothalamus.early"
"149","pk.s055.d.l","pk/s-d/l","pk.s055.d.l_female_pituitary_m.inc.d8","female","pituitary","early","chicks","early","female.pituitary.early"
"150","s002.x","s002-x","s002.x_female_gonad_m.inc.d8","female","gonads","early","chicks","early","female.gonads.early"
"151","s002.x","s002-x","s002.x_female_hypothalamus_m.inc.d8","female","hypothalamus","early","chicks","early","female.hypothalamus.early"
"152","s002.x","s002-x","s002.x_female_pituitary_m.inc.d8","female","pituitary","early","chicks","early","female.pituitary.early"
"153","s091.blk.r.g","s/blk-r/g","s091.blk.r.g_female_gonad_m.inc.d8","female","gonads","early","chicks","early","female.gonads.early"
"154","s091.blk.r.g","s/blk-r/g","s091.blk.r.g_female_hypothalamus_m.inc.d8","female","hypothalamus","early","chicks","early","female.hypothalamus.early"
"155","s091.blk.r.g","s/blk-r/g","s091.blk.r.g_female_pituitary_m.inc.d8","female","pituitary","early","chicks","early","female.pituitary.early"
"156","x.g26","x-g26","x.g26_female_gonad_m.inc.d8","female","gonads","early","chicks","early","female.gonads.early"
"157","x.g26","x-g26","x.g26_female_hypothalamus_m.inc.d8","female","hypothalamus","early","chicks","early","female.hypothalamus.early"
"158","x.g26","x-g26","x.g26_female_pituitary_m.inc.d8","female","pituitary","early","chicks","early","female.pituitary.early"
"159","x.s188","x-s188","x.s188_female_gonad_m.inc.d8","female","gonads","early","chicks","early","female.gonads.early"
"160","x.s188","x-s188","x.s188_female_hypothalamus_m.inc.d8","female","hypothalamus","early","chicks","early","female.hypothalamus.early"
"161","x.s188","x-s188","x.s188_female_pituitary_m.inc.d8","female","pituitary","early","chicks","early","female.pituitary.early"
"162","x.y5","x-y5","x.y5_female_gonad_m.inc.d8","female","gonads","early","chicks","early","female.gonads.early"
"163","x.y5","x-y5","x.y5_female_hypothalamus_m.inc.d8","female","hypothalamus","early","chicks","early","female.hypothalamus.early"
"164","x.y5","x-y5","x.y5_female_pituitary_m.inc.d8","female","pituitary","early","chicks","early","female.pituitary.early"
"165","g.s111.r.blk","g/s-r/blk","g.s111.r.blk_male_gonad_m.inc.d8","male","gonads","early","chicks","early","male.gonads.early"
"166","g.s111.r.blk","g/s-r/blk","g.s111.r.blk_male_hypothalamus_m.inc.d8","male","hypothalamus","early","chicks","early","male.hypothalamus.early"
"167","g.s111.r.blk","g/s-r/blk","g.s111.r.blk_male_pituitary_m.inc.d8","male","pituitary","early","chicks","early","male.pituitary.early"
"168","g.s179.o.pk","g/s-o/pk","g.s179.o.pk_male_gonad_m.inc.d8","male","gonads","early","chicks","early","male.gonads.early"
"169","g.s179.o.pk","g/s-o/pk","g.s179.o.pk_male_hypothalamus_m.inc.d8","male","hypothalamus","early","chicks","early","male.hypothalamus.early"
"170","g.s179.o.pk","g/s-o/pk","g.s179.o.pk_male_pituitary_m.inc.d8","male","pituitary","early","chicks","early","male.pituitary.early"
"171","g137.r24.w5","g137-r24/w5","g137.r24.w5_male_gonad_m.inc.d8","male","gonads","early","chicks","early","male.gonads.early"
"172","g137.r24.w5","g137-r24/w5","g137.r24.w5_male_hypothalamus_m.inc.d8","male","hypothalamus","early","chicks","early","male.hypothalamus.early"
"173","g137.r24.w5","g137-r24/w5","g137.r24.w5_male_pituitary_m.inc.d8","male","pituitary","early","chicks","early","male.pituitary.early"
"174","pu.blk.s102.y","pu/blk-s/y","pu.blk.s102.y_male_gonad_m.inc.d8","male","gonads","early","chicks","early","male.gonads.early"
"175","pu.blk.s102.y","pu/blk-s/y","pu.blk.s102.y_male_hypothalamus_m.inc.d8","male","hypothalamus","early","chicks","early","male.hypothalamus.early"
"176","pu.blk.s102.y","pu/blk-s/y","pu.blk.s102.y_male_pituitary_m.inc.d8","male","pituitary","early","chicks","early","male.pituitary.early"
"177","r.s058.d.l","r/s-d/l","r.s058.d.l_male_gonad_m.inc.d8","male","gonads","early","chicks","early","male.gonads.early"
"178","r.s058.d.l","r/s-d/l","r.s058.d.l_male_hypothalamus_m.inc.d8","male","hypothalamus","early","chicks","early","male.hypothalamus.early"
"179","r.s058.d.l","r/s-d/l","r.s058.d.l_male_pituitary_m.inc.d8","male","pituitary","early","chicks","early","male.pituitary.early"
"180","r4.x","r4-x","r4.x_male_gonad_m.inc.d8","male","gonads","early","chicks","early","male.gonads.early"
"181","r4.x","r4-x","r4.x_male_hypothalamus_m.inc.d8","male","hypothalamus","early","chicks","early","male.hypothalamus.early"
"182","r4.x","r4-x","r4.x_male_pituitary_m.inc.d8","male","pituitary","early","chicks","early","male.pituitary.early"
"183","s044.blk.d.r","s/blk-d/r","s044.blk.d.r_male_gonad_m.inc.d8","male","gonads","early","chicks","early","male.gonads.early"
"184","s044.blk.d.r","s/blk-d/r","s044.blk.d.r_male_hypothalamus_m.inc.d8","male","hypothalamus","early","chicks","early","male.hypothalamus.early"
"185","s044.blk.d.r","s/blk-d/r","s044.blk.d.r_male_pituitary_m.inc.d8","male","pituitary","early","chicks","early","male.pituitary.early"
"186","s067.o.l.y","s/o-l/y","s067.o.l.y_male_gonad_m.inc.d8","male","gonads","early","chicks","early","male.gonads.early"
"187","s067.o.l.y","s/o-l/y","s067.o.l.y_male_hypothalamus_m.inc.d8","male","hypothalamus","early","chicks","early","male.hypothalamus.early"
"188","s067.o.l.y","s/o-l/y","s067.o.l.y_male_pituitary_m.inc.d8","male","pituitary","early","chicks","early","male.pituitary.early"
"189","x.y51","x-y51","x.y51_male_gonad_m.inc.d8","male","gonads","early","chicks","early","male.gonads.early"
"190","x.y51","x-y51","x.y51_male_hypothalamus_m.inc.d8","male","hypothalamus","early","chicks","early","male.hypothalamus.early"
"191","x.y51","x-y51","x.y51_male_pituitary_m.inc.d8","male","pituitary","early","chicks","early","male.pituitary.early"
"192","y55.x","y55-x","y55.x_male_gonad_m.inc.d8","male","gonads","early","chicks","early","male.gonads.early"
"193","y55.x","y55-x","y55.x_male_hypothalamus_m.inc.d8","male","hypothalamus","early","chicks","early","male.hypothalamus.early"
"194","y55.x","y55-x","y55.x_male_pituitary_m.inc.d8","male","pituitary","early","chicks","early","male.pituitary.early"
"195","blk19.x","blk19-x","blk19.x_female_gonad_extend","female","gonads","extend","chicks","late","female.gonads.extend"
"196","blk19.x","blk19-x","blk19.x_female_hypothalamus_extend","female","hypothalamus","extend","chicks","late","female.hypothalamus.extend"
"197","blk19.x","blk19-x","blk19.x_female_pituitary_extend","female","pituitary","extend","chicks","late","female.pituitary.extend"
"198","blu44.y102","blu44-y102","blu44.y102_female_gonad_extend","female","gonads","extend","chicks","late","female.gonads.extend"
"199","blu44.y102","blu44-y102","blu44.y102_female_hypothalamus_extend","female","hypothalamus","extend","chicks","late","female.hypothalamus.extend"
"200","blu44.y102","blu44-y102","blu44.y102_female_pituitary_extend","female","pituitary","extend","chicks","late","female.pituitary.extend"
"201","g17.w108.x","g17/w108-x","g17.w108.x_female_gonad_extend","female","gonads","extend","chicks","late","female.gonads.extend"
"202","g17.w108.x","g17/w108-x","g17.w108.x_female_hypothalamus_extend","female","hypothalamus","extend","chicks","late","female.hypothalamus.extend"
"203","g17.w108.x","g17/w108-x","g17.w108.x_female_pituitary_extend","female","pituitary","extend","chicks","late","female.pituitary.extend"
"204","g22.blu118","g22-blu118","g22.blu118_female_gonad_extend","female","gonads","extend","chicks","late","female.gonads.extend"
"205","g22.blu118","g22-blu118","g22.blu118_female_hypothalamus_extend","female","hypothalamus","extend","chicks","late","female.hypothalamus.extend"
"206","g22.blu118","g22-blu118","g22.blu118_female_pituitary_extend","female","pituitary","extend","chicks","late","female.pituitary.extend"
"207","r.s131.o.d","r/s-o/d","r.s131.o.d_female_gonad_extend","female","gonads","extend","chicks","late","female.gonads.extend"
"208","r.s131.o.d","r/s-o/d","r.s131.o.d_female_hypothalamus_extend","female","hypothalamus","extend","chicks","late","female.hypothalamus.extend"
"209","r.s131.o.d","r/s-o/d","r.s131.o.d_female_pituitary_extend","female","pituitary","extend","chicks","late","female.pituitary.extend"
"210","s089.blk.pk.pu","s/blk-pk/pu","s089.blk.pk.pu_female_gonad_extend","female","gonads","extend","chicks","late","female.gonads.extend"
"211","s089.blk.pk.pu","s/blk-pk/pu","s089.blk.pk.pu_female_hypothalamus_extend","female","hypothalamus","extend","chicks","late","female.hypothalamus.extend"
"212","s089.blk.pk.pu","s/blk-pk/pu","s089.blk.pk.pu_female_pituitary_extend","female","pituitary","extend","chicks","late","female.pituitary.extend"
"213","s137.g.blk.y","s/g-blk/y","s137.g.blk.y_female_gonad_extend","female","gonads","extend","chicks","late","female.gonads.extend"
"214","s137.g.blk.y","s/g-blk/y","s137.g.blk.y_female_hypothalamus_extend","female","hypothalamus","extend","chicks","late","female.hypothalamus.extend"
"215","s137.g.blk.y","s/g-blk/y","s137.g.blk.y_female_pituitary_extend","female","pituitary","extend","chicks","late","female.pituitary.extend"
"216","s186.l.o.pk","s/l-o/pk","s186.l.o.pk_female_gonad_extend","female","gonads","extend","chicks","late","female.gonads.extend"
