"","V1","bird","sex","tissue","treatment","group","study"
"blk21.x_female_pituitary_hatch","blk21.x_female_pituitary_hatch","blk21.x","female","pituitary","hatch","female.pituitary.hatch","charcterization"
"blk4.x_female_gonad_n9","blk4.x_female_gonad_n9","blk4.x","female","gonad","n9","female.gonad.n9","charcterization"
"blk4.x_female_hypothalamus_n9","blk4.x_female_hypothalamus_n9","blk4.x","female","hypothalamus","n9","female.hypothalamus.n9","charcterization"
"blk4.x_female_pituitary_n9","blk4.x_female_pituitary_n9","blk4.x","female","pituitary","n9","female.pituitary.n9","charcterization"
"blu.o.x.ATLAS_female_gonad_control","blu.o.x.ATLAS_female_gonad_control","blu.o.x.ATLAS","female","gonad","control","female.gonad.control","charcterization"
"blu.o.x.ATLAS_female_hypothalamus_control","blu.o.x.ATLAS_female_hypothalamus_control","blu.o.x.ATLAS","female","hypothalamus","control","female.hypothalamus.control","charcterization"
"blu.o.x.ATLAS_female_pituitary_control","blu.o.x.ATLAS_female_pituitary_control","blu.o.x.ATLAS","female","pituitary","control","female.pituitary.control","charcterization"
"blu103.x_female_gonad_hatch.NYNO","blu103.x_female_gonad_hatch.NYNO","blu103.x","female","gonad","hatch","female.gonad.hatch","charcterization"
"blu103.x_female_hypothalamus_hatch","blu103.x_female_hypothalamus_hatch","blu103.x","female","hypothalamus","hatch","female.hypothalamus.hatch","charcterization"
"blu103.x_female_pituitary_hatch.NYNO","blu103.x_female_pituitary_hatch.NYNO","blu103.x","female","pituitary","hatch","female.pituitary.hatch","charcterization"
"blu104.w120.x_male_gonad_hatch","blu104.w120.x_male_gonad_hatch","blu104.w120.x","male","gonad","hatch","male.gonad.hatch","charcterization"
"blu104.w120.x_male_hypothalamus_hatch","blu104.w120.x_male_hypothalamus_hatch","blu104.w120.x","male","hypothalamus","hatch","male.hypothalamus.hatch","charcterization"
"blu104.w120.x_male_pituitary_hatch.NYNO","blu104.w120.x_male_pituitary_hatch.NYNO","blu104.w120.x","male","pituitary","hatch","male.pituitary.hatch","charcterization"
"blu108.w40.o158_male_gonad_inc.d9","blu108.w40.o158_male_gonad_inc.d9","blu108.w40.o158","male","gonad","inc.d9","male.gonad.inc.d9","charcterization"
"blu108.w40.o158_male_hypothalamus_inc.d9","blu108.w40.o158_male_hypothalamus_inc.d9","blu108.w40.o158","male","hypothalamus","inc.d9","male.hypothalamus.inc.d9","charcterization"
"blu108.w40.o158_male_pituitary_inc.d9","blu108.w40.o158_male_pituitary_inc.d9","blu108.w40.o158","male","pituitary","inc.d9","male.pituitary.inc.d9","charcterization"
"blu111.w113.x_male_gonad_inc.d3","blu111.w113.x_male_gonad_inc.d3","blu111.w113.x","male","gonad","inc.d3","male.gonad.inc.d3","charcterization"
"blu111.w113.x_male_hypothalamus_inc.d3","blu111.w113.x_male_hypothalamus_inc.d3","blu111.w113.x","male","hypothalamus","inc.d3","male.hypothalamus.inc.d3","charcterization"
"blu111.w113.x_male_pituitary_inc.d3","blu111.w113.x_male_pituitary_inc.d3","blu111.w113.x","male","pituitary","inc.d3","male.pituitary.inc.d3","charcterization"
"blu113.w124.x_male_gonad_inc.d17","blu113.w124.x_male_gonad_inc.d17","blu113.w124.x","male","gonad","inc.d17","male.gonad.inc.d17","charcterization"
"blu113.w124.x_male_hypothalamus_inc.d17","blu113.w124.x_male_hypothalamus_inc.d17","blu113.w124.x","male","hypothalamus","inc.d17","male.hypothalamus.inc.d17","charcterization"
"blu113.w124.x_male_pituitary_inc.d17.NYNO","blu113.w124.x_male_pituitary_inc.d17.NYNO","blu113.w124.x","male","pituitary","inc.d17","male.pituitary.inc.d17","charcterization"
"blu114.r38.w198_male_gonad_bldg","blu114.r38.w198_male_gonad_bldg","blu114.r38.w198","male","gonad","bldg","male.gonad.bldg","charcterization"
"blu114.r38.w198_male_hypothalamus_bldg","blu114.r38.w198_male_hypothalamus_bldg","blu114.r38.w198","male","hypothalamus","bldg","male.hypothalamus.bldg","charcterization"
"blu114.r38.w198_male_pituitary_bldg","blu114.r38.w198_male_pituitary_bldg","blu114.r38.w198","male","pituitary","bldg","male.pituitary.bldg","charcterization"
"blu121.w91.x_male_gonad_inc.d17","blu121.w91.x_male_gonad_inc.d17","blu121.w91.x","male","gonad","inc.d17","male.gonad.inc.d17","charcterization"
"blu121.w91.x_male_hypothalamus_inc.d17","blu121.w91.x_male_hypothalamus_inc.d17","blu121.w91.x","male","hypothalamus","inc.d17","male.hypothalamus.inc.d17","charcterization"
"blu121.w91.x_male_pituitary_inc.d17","blu121.w91.x_male_pituitary_inc.d17","blu121.w91.x","male","pituitary","inc.d17","male.pituitary.inc.d17","charcterization"
"blu124.w180.x_female_gonad_hatch","blu124.w180.x_female_gonad_hatch","blu124.w180.x","female","gonad","hatch","female.gonad.hatch","charcterization"
"blu124.w180.x_female_hypothalamus_hatch","blu124.w180.x_female_hypothalamus_hatch","blu124.w180.x","female","hypothalamus","hatch","female.hypothalamus.hatch","charcterization"
"blu124.w180.x_female_pituitary_hatch","blu124.w180.x_female_pituitary_hatch","blu124.w180.x","female","pituitary","hatch","female.pituitary.hatch","charcterization"
"blu33.y88.x_male_gonad_bldg","blu33.y88.x_male_gonad_bldg","blu33.y88.x","male","gonad","bldg","male.gonad.bldg","charcterization"
"blu33.y88.x_male_hypothalamus_bldg","blu33.y88.x_male_hypothalamus_bldg","blu33.y88.x","male","hypothalamus","bldg","male.hypothalamus.bldg","charcterization"
"blu33.y88.x_male_pituitary_bldg","blu33.y88.x_male_pituitary_bldg","blu33.y88.x","male","pituitary","bldg","male.pituitary.bldg","charcterization"
"blu36.w16_female_gonad_n9","blu36.w16_female_gonad_n9","blu36.w16","female","gonad","n9","female.gonad.n9","charcterization"
"blu36.w16_female_hypothalamus_n9","blu36.w16_female_hypothalamus_n9","blu36.w16","female","hypothalamus","n9","female.hypothalamus.n9","charcterization"
"blu36.w16_female_pituitary_n9","blu36.w16_female_pituitary_n9","blu36.w16","female","pituitary","n9","female.pituitary.n9","charcterization"
"blu37.r65.x_male_gonad_n5","blu37.r65.x_male_gonad_n5","blu37.r65.x","male","gonad","n5","male.gonad.n5","charcterization"
"blu37.r65.x_male_hypothalamus_n5","blu37.r65.x_male_hypothalamus_n5","blu37.r65.x","male","hypothalamus","n5","male.hypothalamus.n5","charcterization"
"blu37.r65.x_male_pituitary_n5","blu37.r65.x_male_pituitary_n5","blu37.r65.x","male","pituitary","n5","male.pituitary.n5","charcterization"
"blu38.g135.x_female_gonad_bldg","blu38.g135.x_female_gonad_bldg","blu38.g135.x","female","gonad","bldg","female.gonad.bldg","charcterization"
"blu38.g135.x_female_hypothalamus_bldg","blu38.g135.x_female_hypothalamus_bldg","blu38.g135.x","female","hypothalamus","bldg","female.hypothalamus.bldg","charcterization"
"blu38.g135.x_female_pituitary_bldg","blu38.g135.x_female_pituitary_bldg","blu38.g135.x","female","pituitary","bldg","female.pituitary.bldg","charcterization"
"blu39.o26.x_female_gonad_inc.d3","blu39.o26.x_female_gonad_inc.d3","blu39.o26.x","female","gonad","inc.d3","female.gonad.inc.d3","charcterization"
"blu39.o26.x_female_hypothalamus_inc.d3.NYNO","blu39.o26.x_female_hypothalamus_inc.d3.NYNO","blu39.o26.x","female","hypothalamus","inc.d3","female.hypothalamus.inc.d3","charcterization"
"blu39.o26.x_female_pituitary_inc.d3.NYNO","blu39.o26.x_female_pituitary_inc.d3.NYNO","blu39.o26.x","female","pituitary","inc.d3","female.pituitary.inc.d3","charcterization"
"blu41.y100.x_male_gonad_n5","blu41.y100.x_male_gonad_n5","blu41.y100.x","male","gonad","n5","male.gonad.n5","charcterization"
"blu41.y100.x_male_hypothalamus_n5.NYNO","blu41.y100.x_male_hypothalamus_n5.NYNO","blu41.y100.x","male","hypothalamus","n5","male.hypothalamus.n5","charcterization"
"blu41.y100.x_male_pituitary_n5","blu41.y100.x_male_pituitary_n5","blu41.y100.x","male","pituitary","n5","male.pituitary.n5","charcterization"
"blu47.y96.x_female_gonad_inc.d9","blu47.y96.x_female_gonad_inc.d9","blu47.y96.x","female","gonad","inc.d9","female.gonad.inc.d9","charcterization"
"blu47.y96.x_female_hypothalamus_inc.d9","blu47.y96.x_female_hypothalamus_inc.d9","blu47.y96.x","female","hypothalamus","inc.d9","female.hypothalamus.inc.d9","charcterization"
"blu47.y96.x_female_pituitary_inc.d9","blu47.y96.x_female_pituitary_inc.d9","blu47.y96.x","female","pituitary","inc.d9","female.pituitary.inc.d9","charcterization"
"blu55.g51_female_gonad_n5","blu55.g51_female_gonad_n5","blu55.g51","female","gonad","n5","female.gonad.n5","charcterization"
"blu55.g51_female_hypothalamus_n5","blu55.g51_female_hypothalamus_n5","blu55.g51","female","hypothalamus","n5","female.hypothalamus.n5","charcterization"
"blu55.g51_female_pituitary_n5","blu55.g51_female_pituitary_n5","blu55.g51","female","pituitary","n5","female.pituitary.n5","charcterization"
"blu81.r88_male_gonad_n9","blu81.r88_male_gonad_n9","blu81.r88","male","gonad","n9","male.gonad.n9","charcterization"
"blu81.r88_male_hypothalamus_n9","blu81.r88_male_hypothalamus_n9","blu81.r88","male","hypothalamus","n9","male.hypothalamus.n9","charcterization"
"blu81.r88_male_pituitary_n9","blu81.r88_male_pituitary_n9","blu81.r88","male","pituitary","n9","male.pituitary.n9","charcterization"
"d.s008.y.blk_male_gonad_n5","d.s008.y.blk_male_gonad_n5","d.s008.y.blk","male","gonad","n5","male.gonad.n5","charcterization"
"d.s008.y.blk_male_hypothalamus_n5","d.s008.y.blk_male_hypothalamus_n5","d.s008.y.blk","male","hypothalamus","n5","male.hypothalamus.n5","charcterization"
"d.s008.y.blk_male_pituitary_n5","d.s008.y.blk_male_pituitary_n5","d.s008.y.blk","male","pituitary","n5","male.pituitary.n5","charcterization"
"d.s047.blk.o_male_gonad_n5","d.s047.blk.o_male_gonad_n5","d.s047.blk.o","male","gonad","n5","male.gonad.n5","charcterization"
"d.s047.blk.o_male_hypothalamus_n5","d.s047.blk.o_male_hypothalamus_n5","d.s047.blk.o","male","hypothalamus","n5","male.hypothalamus.n5","charcterization"
"d.s047.blk.o_male_pituitary_n5","d.s047.blk.o_male_pituitary_n5","d.s047.blk.o","male","pituitary","n5","male.pituitary.n5","charcterization"
"g.blk.s004.pk_female_gonad_lay","g.blk.s004.pk_female_gonad_lay","g.blk.s004.pk","female","gonad","lay","female.gonad.lay","charcterization"
"g.blk.s004.pk_female_hypothalamus_lay","g.blk.s004.pk_female_hypothalamus_lay","g.blk.s004.pk","female","hypothalamus","lay","female.hypothalamus.lay","charcterization"
"g.blk.s004.pk_female_pituitary_lay","g.blk.s004.pk_female_pituitary_lay","g.blk.s004.pk","female","pituitary","lay","female.pituitary.lay","charcterization"
"g.s.blk.d_male_gonad_n9","g.s.blk.d_male_gonad_n9","g.s.blk.d","male","gonad","n9","male.gonad.n9","charcterization"
"g.s.blk.d_male_hypothalamus_n9","g.s.blk.d_male_hypothalamus_n9","g.s.blk.d","male","hypothalamus","n9","male.hypothalamus.n9","charcterization"
"g.s.blk.d_male_pituitary_n9","g.s.blk.d_male_pituitary_n9","g.s.blk.d","male","pituitary","n9","male.pituitary.n9","charcterization"
"g.s.blk.y_male_gonad_lay","g.s.blk.y_male_gonad_lay","g.s.blk.y","male","gonad","lay","male.gonad.lay","charcterization"
"g.s.blk.y_male_hypothalamus_lay","g.s.blk.y_male_hypothalamus_lay","g.s.blk.y","male","hypothalamus","lay","male.hypothalamus.lay","charcterization"
"g.s.blk.y_male_pituitary_lay","g.s.blk.y_male_pituitary_lay","g.s.blk.y","male","pituitary","lay","male.pituitary.lay","charcterization"
"g.s043.pu.blk_male_gonad_lay","g.s043.pu.blk_male_gonad_lay","g.s043.pu.blk","male","gonad","lay","male.gonad.lay","charcterization"
"g.s043.pu.blk_male_hypothalamus_lay","g.s043.pu.blk_male_hypothalamus_lay","g.s043.pu.blk","male","hypothalamus","lay","male.hypothalamus.lay","charcterization"
"g.s043.pu.blk_male_pituitary_lay","g.s043.pu.blk_male_pituitary_lay","g.s043.pu.blk","male","pituitary","lay","male.pituitary.lay","charcterization"
"g.s078.blk.o_female_gonad_lay","g.s078.blk.o_female_gonad_lay","g.s078.blk.o","female","gonad","lay","female.gonad.lay","charcterization"
"g.s078.blk.o_female_hypothalamus_lay","g.s078.blk.o_female_hypothalamus_lay","g.s078.blk.o","female","hypothalamus","lay","female.hypothalamus.lay","charcterization"
"g.s078.blk.o_female_pituitary_lay","g.s078.blk.o_female_pituitary_lay","g.s078.blk.o","female","pituitary","lay","female.pituitary.lay","charcterization"
"g.x.ATLAS_female_gonad_control","g.x.ATLAS_female_gonad_control","g.x.ATLAS","female","gonad","control","female.gonad.control","charcterization"
"g104.w82.x_male_gonad_bldg","g104.w82.x_male_gonad_bldg","g104.w82.x","male","gonad","bldg","male.gonad.bldg","charcterization"
"g104.w82.x_male_hypothalamus_bldg","g104.w82.x_male_hypothalamus_bldg","g104.w82.x","male","hypothalamus","bldg","male.hypothalamus.bldg","charcterization"
"g104.w82.x_male_pituitary_bldg","g104.w82.x_male_pituitary_bldg","g104.w82.x","male","pituitary","bldg","male.pituitary.bldg","charcterization"
"g114.w83.x_male_gonad_hatch.NYNO","g114.w83.x_male_gonad_hatch.NYNO","g114.w83.x","male","gonad","hatch","male.gonad.hatch","charcterization"
"g114.w83.x_male_hypothalamus_hatch","g114.w83.x_male_hypothalamus_hatch","g114.w83.x","male","hypothalamus","hatch","male.hypothalamus.hatch","charcterization"
"g114.w83.x_male_pituitary_hatch.NYNO","g114.w83.x_male_pituitary_hatch.NYNO","g114.w83.x","male","pituitary","hatch","male.pituitary.hatch","charcterization"
"g130.y81.x_male_gonad_inc.d17","g130.y81.x_male_gonad_inc.d17","g130.y81.x","male","gonad","inc.d17","male.gonad.inc.d17","charcterization"
"g130.y81.x_male_hypothalamus_inc.d17","g130.y81.x_male_hypothalamus_inc.d17","g130.y81.x","male","hypothalamus","inc.d17","male.hypothalamus.inc.d17","charcterization"
"g130.y81.x_male_pituitary_inc.d17","g130.y81.x_male_pituitary_inc.d17","g130.y81.x","male","pituitary","inc.d17","male.pituitary.inc.d17","charcterization"
"g141.blu27.x_female_gonad_bldg","g141.blu27.x_female_gonad_bldg","g141.blu27.x","female","gonad","bldg","female.gonad.bldg","charcterization"
"g141.blu27.x_female_hypothalamus_bldg","g141.blu27.x_female_hypothalamus_bldg","g141.blu27.x","female","hypothalamus","bldg","female.hypothalamus.bldg","charcterization"
"g141.blu27.x_female_pituitary_bldg","g141.blu27.x_female_pituitary_bldg","g141.blu27.x","female","pituitary","bldg","female.pituitary.bldg","charcterization"
"g142.r40.x_female_gonad_inc.d17","g142.r40.x_female_gonad_inc.d17","g142.r40.x","female","gonad","inc.d17","female.gonad.inc.d17","charcterization"
"g142.r40.x_female_hypothalamus_inc.d17","g142.r40.x_female_hypothalamus_inc.d17","g142.r40.x","female","hypothalamus","inc.d17","female.hypothalamus.inc.d17","charcterization"
"g142.r40.x_female_pituitary_inc.d17","g142.r40.x_female_pituitary_inc.d17","g142.r40.x","female","pituitary","inc.d17","female.pituitary.inc.d17","charcterization"
"g143.blu32.x_male_gonad_inc.d17","g143.blu32.x_male_gonad_inc.d17","g143.blu32.x","male","gonad","inc.d17","male.gonad.inc.d17","charcterization"
"g143.blu32.x_male_hypothalamus_inc.d17","g143.blu32.x_male_hypothalamus_inc.d17","g143.blu32.x","male","hypothalamus","inc.d17","male.hypothalamus.inc.d17","charcterization"
"g143.blu32.x_male_pituitary_inc.d17","g143.blu32.x_male_pituitary_inc.d17","g143.blu32.x","male","pituitary","inc.d17","male.pituitary.inc.d17","charcterization"
"g146.blu51_male_gonad_inc.d3","g146.blu51_male_gonad_inc.d3","g146.blu51","male","gonad","inc.d3","male.gonad.inc.d3","charcterization"
"g146.blu51_male_hypothalamus_inc.d3.NYNO","g146.blu51_male_hypothalamus_inc.d3.NYNO","g146.blu51","male","hypothalamus","inc.d3","male.hypothalamus.inc.d3","charcterization"
"g146.blu51_male_pituitary_inc.d3","g146.blu51_male_pituitary_inc.d3","g146.blu51","male","pituitary","inc.d3","male.pituitary.inc.d3","charcterization"
"g20.w106.x_male_gonad_inc.d3","g20.w106.x_male_gonad_inc.d3","g20.w106.x","male","gonad","inc.d3","male.gonad.inc.d3","charcterization"
"g20.w106.x_male_hypothalamus_inc.d3","g20.w106.x_male_hypothalamus_inc.d3","g20.w106.x","male","hypothalamus","inc.d3","male.hypothalamus.inc.d3","charcterization"
"g20.w106.x_male_pituitary_inc.d3","g20.w106.x_male_pituitary_inc.d3","g20.w106.x","male","pituitary","inc.d3","male.pituitary.inc.d3","charcterization"
"g52.blu58_male_gonad_bldg","g52.blu58_male_gonad_bldg","g52.blu58","male","gonad","bldg","male.gonad.bldg","charcterization"
"g52.blu58_male_hypothalamus_bldg","g52.blu58_male_hypothalamus_bldg","g52.blu58","male","hypothalamus","bldg","male.hypothalamus.bldg","charcterization"
"g52.blu58_male_pituitary_bldg","g52.blu58_male_pituitary_bldg","g52.blu58","male","pituitary","bldg","male.pituitary.bldg","charcterization"
"g53.y84_male_gonad_hatch","g53.y84_male_gonad_hatch","g53.y84","male","gonad","hatch","male.gonad.hatch","charcterization"
"g53.y84_male_hypothalamus_hatch","g53.y84_male_hypothalamus_hatch","g53.y84","male","hypothalamus","hatch","male.hypothalamus.hatch","charcterization"
"g53.y84_male_pituitary_hatch","g53.y84_male_pituitary_hatch","g53.y84","male","pituitary","hatch","male.pituitary.hatch","charcterization"
"g6.w197.x_female_gonad_inc.d3","g6.w197.x_female_gonad_inc.d3","g6.w197.x","female","gonad","inc.d3","female.gonad.inc.d3","charcterization"
"g6.w197.x_female_hypothalamus_inc.d3","g6.w197.x_female_hypothalamus_inc.d3","g6.w197.x","female","hypothalamus","inc.d3","female.hypothalamus.inc.d3","charcterization"
"g6.w197.x_female_pituitary_inc.d3","g6.w197.x_female_pituitary_inc.d3","g6.w197.x","female","pituitary","inc.d3","female.pituitary.inc.d3","charcterization"
"g75.x_female_gonad_inc.d9","g75.x_female_gonad_inc.d9","g75.x","female","gonad","inc.d9","female.gonad.inc.d9","charcterization"
"g75.x_female_hypothalamus_inc.d9","g75.x_female_hypothalamus_inc.d9","g75.x","female","hypothalamus","inc.d9","female.hypothalamus.inc.d9","charcterization"
"g75.x_female_pituitary_inc.d9","g75.x_female_pituitary_inc.d9","g75.x","female","pituitary","inc.d9","female.pituitary.inc.d9","charcterization"
"l.s120.y.blk_female_gonad_bldg","l.s120.y.blk_female_gonad_bldg","l.s120.y.blk","female","gonad","bldg","female.gonad.bldg","charcterization"
"l.s120.y.blk_female_hypothalamus_bldg","l.s120.y.blk_female_hypothalamus_bldg","l.s120.y.blk","female","hypothalamus","bldg","female.hypothalamus.bldg","charcterization"
"l.s120.y.blk_female_pituitary_bldg","l.s120.y.blk_female_pituitary_bldg","l.s120.y.blk","female","pituitary","bldg","female.pituitary.bldg","charcterization"
"o.s.w.r_male_gonad_lay","o.s.w.r_male_gonad_lay","o.s.w.r","male","gonad","lay","male.gonad.lay","charcterization"
"o.s.w.r_male_hypothalamus_lay","o.s.w.r_male_hypothalamus_lay","o.s.w.r","male","hypothalamus","lay","male.hypothalamus.lay","charcterization"
"o.s.w.r_male_pituitary_lay","o.s.w.r_male_pituitary_lay","o.s.w.r","male","pituitary","lay","male.pituitary.lay","charcterization"
"o152.o120.w42_male_gonad_n5","o152.o120.w42_male_gonad_n5","o152.o120.w42","male","gonad","n5","male.gonad.n5","charcterization"
"o152.o120.w42_male_hypothalamus_n5","o152.o120.w42_male_hypothalamus_n5","o152.o120.w42","male","hypothalamus","n5","male.hypothalamus.n5","charcterization"
"o152.o120.w42_male_pituitary_n5","o152.o120.w42_male_pituitary_n5","o152.o120.w42","male","pituitary","n5","male.pituitary.n5","charcterization"
"o156.w80.x_female_gonad_inc.d3","o156.w80.x_female_gonad_inc.d3","o156.w80.x","female","gonad","inc.d3","female.gonad.inc.d3","charcterization"
"o156.w80.x_female_hypothalamus_inc.d3","o156.w80.x_female_hypothalamus_inc.d3","o156.w80.x","female","hypothalamus","inc.d3","female.hypothalamus.inc.d3","charcterization"
"o156.w80.x_female_pituitary_inc.d3","o156.w80.x_female_pituitary_inc.d3","o156.w80.x","female","pituitary","inc.d3","female.pituitary.inc.d3","charcterization"
"o165.w122.x_female_gonad_inc.d3.NYNO","o165.w122.x_female_gonad_inc.d3.NYNO","o165.w122.x","female","gonad","inc.d3","female.gonad.inc.d3","charcterization"
