"","group","results","genes","n"
"11","FP","hatch_m.n2(-); inc.d17_m.inc.d17(-); inc.d3_m.inc.d3(-)","ANGPTL4; DLK1; ECEL1; LOC100859314; NHP2; SLC12A4",6
"12","FG","hatch_m.n2(+); inc.d17_m.inc.d17(+)","B4GALNT4; GMNC; LOC101749287; PPAT; PSD2",5
"13","MP","hatch_m.n2(+); inc.d3_m.inc.d3(+)","ALK; ASIC4; LOC429032; LPAR1; TRPV6",5
"14","FH","inc.d17_m.inc.d17(+); inc.d3_m.inc.d3(+)","ANXA5; ATP2B4; LOC100857380; LOC107055658",4
"15","FP","inc.d17_m.inc.d17(-); inc.d3_m.inc.d3(-)","CAMKV; LOC420160; OSTN; SLC25A34",4
"16","MP","hatch_m.n2(+); inc.d9_m.inc.d9(+)","CNTN2; GRIN1; NPDC1; PTHLH",4
"17","FG","hatch_m.n2(-); inc.d17_m.inc.d17(-)","CCL20; LOC417459; OLFM4",3
"18","FH","hatch_m.n2(-); inc.d17_m.inc.d17(-); inc.d9_m.inc.d9(+)","GDPD2; PAX7; RLN1",3
"19","FH","hatch_m.n2(-); inc.d3_m.inc.d3(-)","ALDH1A1; GRASP; INCENP",3
"20","FH","hatch_m.n2(-); inc.d9_m.inc.d9(+)","BAIAP2L2; PDE6H; RGR",3
"21","FH","hatch_m.n2(+); inc.d17_m.inc.d17(+); inc.d3_m.inc.d3(+)","EGR1; LOC107049603; LOC420300",3
"22","FP","hatch_m.n2(+); inc.d17_m.inc.d17(+); inc.d3_m.inc.d3(+)","CNTFR; LGALS1; SEBOX",3
"23","FP","hatch_m.n2(+); inc.d17_m.inc.d17(+); inc.d3_m.inc.d3(+); inc.d9_m.inc.d9(+)","SARM1; SSTR3; VTN",3
"24","FP","hatch_m.n2(+); inc.d3_m.inc.d3(-)","CARTPT; CCK; OTOF",3
"25","MP","hatch_m.n2(-); inc.d9_m.inc.d9(+)","LOC101748788; PHGDH; SLC13A3",3
"26","FG","hatch_m.n2(+); inc.d17_m.inc.d17(+); inc.d3_m.inc.d3(+)","NRG2; PI15",2
"27","FP","hatch_m.n2(-); inc.d17_m.inc.d17(-); inc.d9_m.inc.d9(-)","FAM132A; PDK4",2
"28","FP","hatch_m.n2(-); inc.d3_m.inc.d3(-)","C17ORF89; KIAA1614",2
"29","FP","hatch_m.n2(+); inc.d3_m.inc.d3(+)","AQP2; TRPV3",2
"30","FP","hatch_m.n2(+); inc.d9_m.inc.d9(+)","CDKN1A; CEBPA",2
"31","MH","hatch_m.n2(-); inc.d17_m.inc.d17(+)","MYOZ1; TPH1",2
"32","MP","hatch_m.n2(+); inc.d17_m.inc.d17(+)","CAPN13; LOC107051128",2
"33","MP","hatch_m.n2(+); inc.d17_m.inc.d17(+); inc.d9_m.inc.d9(+)","ABCA4; NETO2",2
"34","FG","hatch_m.n2(-); inc.d3_m.inc.d3(-)","TCERG1L",1
"35","FG","hatch_m.n2(-); inc.d9_m.inc.d9(-)","TNFSF10",1
"36","FG","hatch_m.n2(+); inc.d3_m.inc.d3(+)","LOC107053414",1
"37","FG","hatch_m.n2(+); inc.d9_m.inc.d9(+)","PHGDH",1
"38","FG","inc.d17_m.inc.d17(-); inc.d3_m.inc.d3(-)","MGP",1
"39","FG","inc.d17_m.inc.d17(+); inc.d3_m.inc.d3(-); inc.d9_m.inc.d9(+)","COL10A1",1
"40","FG","inc.d17_m.inc.d17(+); inc.d3_m.inc.d3(+)","MYO7A",1
"41","FH","hatch_m.n2(-); inc.d17_m.inc.d17(+)","OASL",1
"42","FH","hatch_m.n2(+); inc.d17_m.inc.d17(+); inc.d9_m.inc.d9(+)","LOC772158",1
"43","FH","hatch_m.n2(+); inc.d3_m.inc.d3(+)","HSP25",1
"44","FP","hatch_m.n2(-); inc.d17_m.inc.d17(+)","IFI6",1
"45","FP","hatch_m.n2(-); inc.d9_m.inc.d9(-)","APCDD1L",1
"46","FP","hatch_m.n2(+); inc.d3_m.inc.d3(-); inc.d9_m.inc.d9(+)","VIP",1
"47","FP","hatch_m.n2(+); inc.d3_m.inc.d3(+); inc.d9_m.inc.d9(+)","KIF12",1
"48","FP","inc.d17_m.inc.d17(-); inc.d3_m.inc.d3(-); inc.d9_m.inc.d9(+)","PHGDH",1
"49","FP","inc.d17_m.inc.d17(-); inc.d3_m.inc.d3(+)","SPP1",1
"50","MH","hatch_m.n2(+); inc.d17_m.inc.d17(-)","RAB6A",1
"51","MP","hatch_m.n2(+); inc.d17_m.inc.d17(-)","AGT",1
"52","MP","hatch_m.n2(+); inc.d17_m.inc.d17(-); inc.d9_m.inc.d9(+)","SLC6A11",1
"53","MP","hatch_m.n2(+); inc.d3_m.inc.d3(+); inc.d9_m.inc.d9(+)","KRT14",1
