gene,control_m.inc.d3,control_m.inc.d9,control_m.inc.d17,control_m.n2,control_early,control_prolong,control_extend
NPFFR1,FG(-); FH(-); MG(-); MP(-),FH(-),FG(-); FH(-); FP(-); MP(-),FG(-); FH(-); FP(-); MP(-),FG(-); FH(-); FP(-),FH(-); FP(-); MG(-); MP(-),FH(-); FP(-); MG(-); MP(-)
NPVF,FH(-); FP(-); MH(-),FH(-); FP(-); MH(-),FH(-); FP(-); MH(-),FH(-); MH(-),FH(-); FP(-); MH(-),FH(-); FP(-); MH(-),FH(-); FP(-); MH(-)
NPY,FP(-); MG(-); MH(-); MP(-),MH(-); MP(+),FP(-); MH(-),FP(-); MG(-); MH(-),FP(-); MH(-); MP(+),FG(-); FP(-); MH(-); MP(-),FG(-); FP(-); MH(-)
NR3C2,FH(+); MP(+),FH(+),FH(+); MP(+),FH(+),FH(+); MH(+),FH(+),FH(+); MH(+); MP(+)
OXT,FP(-); MP(-),FP(-),FP(-),FP(-); MH(-); MP(-),FP(-),FP(-),FP(-); MP(-)
POMC,FH(-); MG(-); MH(-); MP(-),FH(-); MG(-); MH(-); MP(-),FH(-); MG(-); MH(-); MP(-),FH(-); MG(-); MH(-); MP(-),FH(-); MG(-); MH(-); MP(-),FH(-); MG(-); MH(-); MP(-),FH(-); MG(-); MH(-); MP(-)
PRL,FG(+); FH(-); FP(-); MH(-); MP(-),FH(-); FP(-); MG(-); MH(-); MP(-),FH(-); MG(-); MH(-); MP(+),FG(+); FH(-); FP(+); MG(-); MH(-); MP(+),FH(-); FP(-); MH(-); MP(-),FG(+); FH(-); FP(+); MG(-); MH(-); MP(+),FG(+); FH(-); FP(+); MH(-); MP(+)
PRLH,FH(-); FP(-); MP(-),FH(-),FH(-),FH(-),FH(-); FP(-); MH(-),FH(-); FP(-),FG(-); FH(-); FP(-); MH(-)
PRLHR,FG(-); FH(-); MH(-),FH(-); MH(-),FG(-); FH(-); MH(-),FG(-); FH(-); MH(-),FG(-); MH(-),FH(-); FP(-); MG(+); MH(-); MP(-),FG(-); MH(-)
SERPINA4,FH(+),FH(+),FH(+),FH(+),FH(+),FH(+); MG(+); MP(-),FG(-); FH(+); MG(+); MP(-)
VIP,FP(-); MH(-),FH(-); MP(+),FP(-); MH(-); MP(+),MH(-); MP(+),MH(-); MP(+),MH(-),NA
VIPR1,FH(+); MH(+),FP(-); MP(-),FG(-); FH(+); MH(+),MG(-); MH(+),MH(+),MH(+),MH(+)
