"","comparison","GO","genes"
"11","lay v inc d3","behavior, GO:0007610","PTEN"
"12","lay v inc d3","endocrine process, GO:0050886","CGA, RAB11FIP5"
"13","lay v inc d3","parental behavior, GO:0060746","PTEN"
"14","lay v inc d3","reproduction, GO:0000003","AFF4, BIRC2, CGA, ESR1, GAS8, GMCL1, MAP2K1, MDK, PACRG, PARK7, PRDX4, PTEN, SOD1, SP3, SPIRE1, TAF4, VASH2, ZBTB16, ZMIZ1"
"15","lay v inc d3","response to external stimulus, GO:0009605","ADH5, AHCY, ANKHD1, ARF1, BSG, BSG, CDS2, CNTN4, CNTN5, EIF4G1, EIF4G1, EP300, ESR1, FKBP5, HNRNPA0, HPSE, HSP90B1, HSPA5, KREMEN1, LARP1, MAP2K1, MDK, NDUFC2, NFASC, NFASC, PARK7, PDIA3, POLR3D, PSMA1, PTEN, RAB11FIP5, REEP6, RPL24, RPL30, RPL39, RRAGC, SEMA4D, SEMA4D, SEMA6A, SOD1, SOD2, SORL1, VPS35, WNK1, WNK1, WNK1, XBP1"
"16","lay v inc d3","system development, GO:0048731","ASTN1, BIRC2, BSG, BSG, C2CD3, CAPRIN1, CGA, CLEC3B, CLUAP1, CNTN4, CNTN5, CTNNBL1, DAAM2, DAGLB, GAS8, JAK1, KANK1, KREMEN1, LSM1, MANF, MAP2K1, MBNL1, MBNL1, MDK, NUP93, PDCL3, PDE3B, PLP1, PLP1, PPIB, PRDX4, PRELID1, PTEN, RGCC, RITA1, RPL22, RPL24, RPL38, RPS7, RPS14, SEMA4D, SEMA4D, SEMA6A, TMPRSS13, TRPC4AP, UFC1, VASH2, VPS35, XBP1, ZBTB16, ZMIZ1"
"17","inc d9 v inc d17","behavior, GO:0007610","PRL"
"18","inc d9 v inc d17","endocrine process, GO:0050886","ATP6AP2, CRY1, SMAD4, TMF1"
"19","inc d9 v inc d17","parental behavior, GO:0060746","PRL"
"20","inc d9 v inc d17","reproduction, GO:0000003","ACSBG2, ACTR2, ACTR3, ACVR1B, ADA, AFF4, AKAP9, ANTXR1, APP, ARID1A, ARID4B, ARID5B, ARNT, ASH1L, ASPM, ATAT1, ATM, ATP8B3, ATR, ATRX, AURKA, BBS1, BCL2L1, BRIP1, BUB1, BUB1B, BUB3, CACNA1H, CADM1, CALCA, CALCA, CBS, CCNB3, CCNE2, CCT2, CCT4, CDC20, CDC25A, CDH1, CKS2, CLGN, CLIC4, CREM, CREM, CREM, CXCL12, DLD, DNAJB6, DNMT3A, E2F7, EIF2S2, EIF4H, EIF4H, EME1, EPAS1, ESPL1, EXO1, FANCC, FANCD2, FANCL, FBXO5, FKBP4, GATA2, GATA2, GGT5, GLI2, GOLGA3, GORASP2, GPX4, HDAC4, HEY1, HMGB2, HNF4A, HOOK1, ID4, ITGA3, ITGB4, JAG2, KATNAL1, KIF18A, KLHDC3, LAMB1, LGR4, LGR5, LLGL2, MASTL, MCM8, MKI67, MND1, MSH2, MYBL1, NCAPD3, NCAPH, NCAPH2, NCOA1, NDC1, NEK2, NOG, NOTCH2, NPHP4, NSUN2, NUF2, PAFAH1B2, PGM3, PLCB1, PLCD1, PLK1, PLK4, PRDX3, PRDX4, PRL, PTGDS, PTTG1, PYGO2, RACGAP1, RAD21, RAD54B, RBBP8, RBM15, RFX2, RFX2, RHOBTB3, RPA1, SOD1, SOX2, SP1, SPATA5, SPATA5, SPIRE2, SPIRE2, ST14, STAT5B, STXBP1, STXBP1, SYDE1, TCP1, TFEB, THBD, TMF1, TNK2, TOP2A, TRIP13, TSNAX, TTK, UBE2A, VDAC2, WDR77, WEE2, WIPF3, WNT3"
"21","inc d9 v inc d17","response to external stimulus, GO:0009605","ABCC8, ABCC9, ABCC9, ABCF3, ABR, ACTR2, ACTR3, ADA, ADAM17, ADAR, ADSL, AGBL4, AGBL4, AGBL5, AGRN, AJAP1, ALAD, AOC3, APBB1, APP, ARF1, ASH1L, ASPH, ASPH, ATG5, ATM, BAIAP2L1, BCKDHB, BCL2L1, BNIP3L, CADM1, CALCA, CALCA, CASK, CASK, CBS, CCL28, CD109, CDH4, CDH4, CDK5, CDK5R1, CDK19, CEBPG, CELSR3, CHID1, CNN2, CNPY3, CNTF, COL1A1, COTL1, CRADD, CRTC1, CRY1, CTR9, CXADR, CXADR, CXCL12, DAG1, DAPK3, DBN1, DDX1, DMTN, DPYD, DSCAML1, DUSP3, DUSP10, EFNB1, EIF2AK1, EIF2AK3, EIF2AK4, EIF2S1, ELMOD2, EP300, EPHA2, EPHA3, EPHB2, EPRS, ERCC6, FAM107A, FANCD2, FFAR4, G3BP2, GABARAPL1, GAS2L3, GCH1, GGT5, GLI2, GNB1, GPC3, GPX4, GRIN2B, HMGB1, HMGB2, HMGB3, HSP90B1, HSPA5, IFNGR1, IL12RB2, IPO7, IRAK4, KARS, LAMB2, LAMP2, LDHA, LGALS8, LGALS8, LGMN, LGR4, LPL, LPO, LPO, LPO, LRAT, MAP2K2, MAPKBP1, MGLL, MSTN, MTMR3, MTMR3, MYC, MYO18A, MYO18A, MYOT, NAALADL2, NCOA1, NDUFC2, NEO1, NEO1, NEXN, NEXN, NFASC, NFASC, NFE2L1, NLRC5, NOG, NOTCH2, NPRL2, NR1H3, NRP1, NTN1, NTN3, NUCB2, OTOF, PARVA, PBK, PDIA3, PDK4, PIK3C2B, PLD1, POLR3F, PPP1CB, PRDX3, PRL, PRLH, PROC, PROS1, PSMA1, PTGFR, PYGL, RAB1A, RAB32, RB1, RBM4B, RBM14, REST, RGMA, RHOBTB3, RNF165, RNF166, RPL30, RRAGC, RTN4, SCARB1, SEMA4C, SFPQ, SIK1, SLC9A1, SLC16A1, SLC17A5, SLC37A4, SLC37A4, SLITRK6, SMAD4, SMO, SOD1, SOX2, SRF, STAT2, STAT5B, STXBP1, STXBP1, TBC1D23, TCF3, TCF3, TFEB, THBD, THBS4, TMF1, TRIM24, TRIM35, TRIM59, TRPV4, TUSC2, UACA, UFL1, UNC5A, UPF1, USP14, VANGL2, WDR24, WIPI1, WNT3, WRNIP1, XBP1, XRCC6, ZYX"
"22","inc d9 v inc d17","system development, GO:0048731","ABCA2, ABCC8, ABR, ACP6, ACTN2, ACTR2, ACTR3, ACVR1B, ACVRL1, ADA, ASH1L, ASPM, ASTN1, ATAD5, ATAT1, ATG5, ATM, BCL2L1, BCL11A, BICC1, BICC1, BLOC1S2, BRCA1, BRCA1, BRIP1, BSN, BTBD2, CACNA1C, CACNA1C, CACNA1C, CACYBP, CADM1, CAPN1, CASK, CASK, CBFA2T2, CBLN2, CBLN2, CBS, CCM2, CD109, CD164, CDC20, CDK1, CDK5, CDK5R1, CDK6, CDON, CEBPG, CELSR2, CELSR3, CENPF, CERS1, CLCN2, CLDN5, CLEC3B, CLIC4, CNN2, CNTF, COL1A1, COL20A1, COPS2, CPE, CREB3L1, CRTC1, CSMD3, CSPG4, CTDSP1, CTNNA1, CTNNBIP1, CTNND2, CTNND2, CTR9, CUX1, CUX2, CXADR, CXADR, CXCL12, DAG1, DBN1, DCTN1, DCX, DDRGK1, DGUOK, DGUOK, FOXI1, FRAS1, FZD1, GATA2, GATA2, GFRA1, GLG1, GLI2, GNB1, GOLGA4, GPC3, GPD2, GRIN2B, GRIP1, GRIP2, GRXCR1, IL1RAPL1, ILK, IMPAD1, INA, INPPL1, ITGA3, ITGB4, JAG2, JAK1, KAZN, KAZN, KCNA2, KCNAB2, KDM4C, KIF3C, KIF18A, KMT2A, LAMA4, LAMB1, LAMB2, LBH, LGR4, LGR5, LHFPL4, LIMK1, LLGL2, LLPH, LOXL3, LRFN3, LRRC7, LRRK1, LRRTM3, LRRTM4, LSM1, MAD1L1, MAD1L1, MAEA, MANF, MAP1S, MAP2K2, MAP4, MAP4, MAP4, MARK2, MBD5, MBD5, MCM2, MDM4, MDM4, NKX2-2, NPHP4, NRBP2, NRP1, NSUN2, NTN1, NTN3, NUMA1, NUS1, NXN, OLFM1, ORAI1, OSR2, PAFAH1B2, PAK4, PARVA, PAX7, PAXBP1, PAXBP1, PCID2, PDLIM7, PEX2, PGM3, PHEX, PHF14, PHGDH, PHLDB1, PIK3R3, PLCB1, PLCD1, PLK4, PLS3, POFUT2, POU3F2, POU3F3, PPIB, PRDX3, PRDX4, PRICKLE2, PRKCB, PSD, PSMA6, PTBP1, RAI1, RANBP1, RAP1A, RAP1GAP2, RARB, RARB, RASGRF1, RB1, RBFOX1, RBFOX1, RBFOX2, RBFOX2, RBM15, RBM47, RET, RGCC, RGMA, RGS6, RHOBTB3, RIPK3, RNF165, ROBO4, ROGDI, RPA1, RPGR, RPGRIP1L, RPL22, RXRA, SDF4, SDK2, SEC63, SEMA4C, SENP1, SERPINH1, SETDB1, SEZ6, SHOX2, SHROOM4, SIK1, SIK3, SIN3B, SLC7A11, SLC9A1, SLC11A2, SLC35D1, SLC37A4, SLC37A4, SLITRK6, SMAD4, SMARCA4, SMARCD1, SMO, SMPD3, SMYD1, SOX2, TBC1D23, TBCE, TBX20, TCF3, TCF3, TFEB, TGFBR2, THBS4, THOC1, THOC2, TLX2, TMEM30A, TMEM100, TMF1, TMOD3, TMPRSS13, TNIK, TOB2, TOP2A, TRPV4, TTC3, TTC3, TTC9, TUSC2, UCHL1, UCHL5, UFC1, UFL1, UFM1, UNC5A, USP1, USP19, USP21, UST, VANGL2, WASF2, WDR36, WDR60, WDR77, WEE1, WFS1, WNT3, WWTR1, XBP1, XRCC6, ZBTB7A, ZFYVE27, ZNRF3"
"23","inc d17 v hatch","reproduction, GO:0000003","TTK"
"24","inc d17 v hatch","response to external stimulus, GO:0009605","IVNS1ABP"
"25","hatch v n5","behavior, GO:0007610","PRL"
"26","hatch v n5","endocrine process, GO:0050886","ATP6AP2, AVPR2, CRY2, FOXL2, RHOA"
"27","hatch v n5","parental behavior, GO:0060746","PRL"
"28","hatch v n5","reproduction, GO:0000003","ABL2, ACSBG2, ACTR2, AFF4, ALMS1, APP, ASH1L, AURKA, BIRC2, BPTF, BPTF, BPTF, BPTF, BUB1, BUB1B, CACNA1H, CBS, CCNB3, CCT2, CCT4, CD44, CDC20, CDC25A, CDK2, CEBPA, CKS2, CREM, CREM, CREM, EIF2S2, EIF4H, EIF4H, EME1, FANCC, FNDC3A, FOXL2, GORASP2, GPX4, HMGB2, JMJD1C, MKI67, MND1, MYBL1, NCAPH, NCOA1, NCOA6, NSUN2, NUF2, PARK7, PKD1, PLCD4, PLK1, PRDX3, PRDX4, PRL, PTTG1, RACGAP1, RAD1, RBM15, RHOBTB3, SPATA5, SPATA5, TCF7L2, TCF7L2, TCF7L2, TCF7L2, TCF7L2, TCP1, UBE2A, VDAC2, WDR66, WDR77"
"29","hatch v n5","response to external stimulus, GO:0009605","ABCC8, ABCC9, ABCC9, ABL2, ACTR2, AJAP1, AMOT, ANKHD1, APP, AQP2, ARF1, ARF6, ASH1L, ATF4, BCKDHB, BECN1, BHLHA15, BHLHA15, BNIP3L, CBS, CCDC80, CCK, CD44, CEBPA, CEBPG, CHGA, CNTN4, CRY2, DDIT3, DMD, DUSP3, DUSP10, EIF2AK1, EIF2AK3, EIF2B1, EIF2S1, EP300, EPHA3, EPHA7, EPHA7, EPHB2, FBXO9, FFAR4, FOLR1, FOXP1, FOXP1, GABARAPL1, GLI3, GPX4, HMGB2, HMGB3, HSP90B1, HSPA5, KARS, KCNB1, LAMP2, LDHA, MAPKBP1, MVK, MYBBP1A, MYC, NCOA1, NDUFC2, NEO1, NEO1, NOCT, NR4A3, NUCB2, PARK7, PARVA, PBK, PDE4D, PDK4, PKD1, PLD1, PLXNA1, PLXNB2, POLR3D, PPP1CB, PRDX3, PRKAA2, PRL, PROC, PSMA1, PTCH1, PTCH1, PTPRF, RAB1A, RAB32, REST, RHOA, RHOBTB3, RPL30, SCT, SEMA6A, SLC16A1, SLC17A5, SNX3, SORL1, TBL2, TCF3, TCF3, TCF7L2, TCF7L2, TCF7L2, TCF7L2, TCF7L2, TRIB1, TRIM35, UFL1, VAMP4, VIL1, WIPI1, WRN, WRN, XBP1"
"30","hatch v n5","system development, GO:0048731","ABCC8, ABL2, ACTR2, ASH1L, ASXL1, ATF4, BCL11A, BECN1, BICC1, BICC1, BIN1, BIRC2, BMP3, BPTF, BPTF, BPTF, BPTF, BRCA1, BRCA1, C2CD3, CACNA1C, CACNA1C, CACNA1C, CAPRIN2, CBLN2, CBLN2, CBS, CCK, CD44, CD164, CDC20, CDK1, CDK6, CEBPA, CEBPG, CNTN4, CREB3L1, CRYBB2, CTNNA1, CTSK, CUX2, DAGLB, DDIT3, DDRGK1, DGUOK, DGUOK, DLG5, DLG5, FGF13, FOXP1, FOXP1, GLI3, GPC1, GPSM1, GRIP2, INA, JAK1, JMJD1C, JMJD8, KANK1, KCNA2, KDM4C, KMT2A, LAMA5, LAMA5, LBH, LHX6, LSM1, MAEA, MAFF, MANF, MBD5, MBD5, MCM2, MCM3AP, NPTX1, NR4A3, NSMF, NSUN2, NUS1, OLFM1, PARVA, PAXIP1, PCDH17, PCDH19, PDCD10, PDS5A, PIK3R3, PKD1, PLD4, PLS3, PLXNA1, PLXNB2, POLB, POU3F3, PPIB, PRDX3, PRDX4, PRELID1, PSMA6, PTCH1, PTCH1, RANBP1, RASGRF1, RBM15, RHOA, RHOBTB3, RIPK3, RIT2, RXRG, SCN8A, SCN8A, SCT, SCYL1, SDCBP, SDF4, SDK1, SEC63, SEMA6A, SERP1, SIPA1L1, SKI, SLITRK3, SMTNL1, TCF3, TCF3, TCF7L2, TCF7L2, TCF7L2, TCF7L2, TCF7L2, TIAM2, TMEM100, TMOD3, TMPRSS13, TNRC6C, UCHL1, UFC1, UFL1, UFM1, UNK, UNK, USP1, WDR77, XBP1, ZFPM1"
"31","n5 v n9","reproduction, GO:0000003","AREG, RACGAP1"
"32","n5 v n9","response to external stimulus, GO:0009605","ANGPTL4, MTUS1, MTUS1, SARM1"
"33","n5 v n9","system development, GO:0048731","CARD10, INSIG1, NSMF, SARM1, VTN"
