"","comparisons","genes"
"17","FH+ hatch_n5; MH- inc.d9_inc.d17","AHCTF1; AK7; AKAP9; AKD1; ANKRD10; APAF1; ARNTL; ATR; ATXN7L1; C1H12ORF63; C4H4ORF50; CACNB2; CAPNS2; CEP126; CEP192; CFAP221; CLCN1; CYP2J2L6; DDX46; DNAH5; DPYD; DYNC2H1; DYTN; ELF2; EML1; ERC2; ERCC6; FAM120B; FAM13A; FAM160B1; FAM184A; FGD4; FILIP1L; GPR112; IDE; IFT80; IL17RA; KDM1B; KIAA0556; KIAA1107; KIF6; KLHL15; KLHL2; KLHL7; LOC428510; LRRK2; LYST; MCF2; MEI4; MGAT4C; MICU2; MRVI1; MYO7B; N4BP2L2; NCAPG2; NEK11; NENF; NFX1; NHEDC2; PAPOLG; PHACTR2; PHF3; PI15; PKNOX1; PLEKHH1; PPP1R12A; PPP4R4; PPP6R3; PTPRJ; PUS7; RBBP8; RBMX; RPS6KA5; SERGEF; SHC3; SNX7; SOGA3; SORBS2; SPAG17; SPATA18; SREK1; STIM2; SYNE1; TGM3; TRAPPC12; TRMT11; TTC26; TTC6; WDPCP; WDR17; WDR19; XPNPEP1; ZBTB38; ZNF236; ZNF280D; ZNF518B; ZNF711; ZNF831"
"18","FH+ hatch_n5; MH+ inc.d9_inc.d17","SLC18A3"
"19","FH+ inc.d9_inc.d17; FH- hatch_n5","ANKRD24; APBB1; ARHGEF3; CALCA; CBLN2; CDR2L; CTH; CUX1; DENND2D; DNER; FNTB; GPR37; HAPLN4; LLGL2; LOC101748212; LOC101751621; LOC107050638; LOC396224; MAU2; MLF2; NEFM; NTM; PAGR1; PANX2; PAPPA2; RALGDS; RUFY3; SAMD14; SCHIP1; SMOX; SOX10; SOX8; SYT11; SYT2; TGFB3; TMEM136-2; UGT8"
"20","FH+ inc.d9_inc.d17; FH- hatch_n5; MH+ inc.d9_inc.d17","ABHD16A; ADAM9; CMIP; CNTN2; FLII; GAA; HAPLN2; ILF2; LMF2; LOC101749352; LOC107050516; LOC107050828; LOC107057574; MFSD5; NACAD; NPEPPS; OTUB1; OTUD7B; PAQR7; SLC20A2; SLC9A3R2; SMPD1; SMTN; SORT1; ZDHHC9; ZFP91"
"21","FH+ inc.d9_inc.d17; MH+ inc.d9_inc.d17","BCAS3; EIF4G3; IGLL1; LOC107050474; MAP1S; SPPL3; YTHDF2"
"22","FH+ lay_inc.d3; FH+ hatch_n5","GABRA5; SOSTDC1"
"23","FH+ lay_inc.d3; MH- inc.d9_inc.d17","VRK1"
"24","MH- bldg_lay; MH+ hatch_n5; MH- n5_n9","TPH2"
"25","MH- hatch_n5; MH+ inc.d17_hatch","ATP2A1; NEB"
"26","MH- inc.d17_hatch; MH+ inc.d9_inc.d17","CSF3R; LOC100858707; RAB6A"
"27","MH- inc.d9_inc.d17; MH+ inc.d17_hatch","CERKL"
"28","MH+ lay_inc.d3; MH- inc.d9_inc.d17","ALPK2"
"29","FP- bldg_lay; FP- hatch_n5","CHPF; DDIT3; MAFF; MAGT1; RANGAP1; TSR1; UAP1"
"30","FP- bldg_lay; FP- inc.d9_inc.d17","ATP1A3; ID3; LAMA4; LASP1; RND2; UNC5A"
"31","FP- bldg_lay; FP- inc.d9_inc.d17; FP+ hatch_n5","COL5A1; PIK3R3"
"32","FP- bldg_lay; FP+ hatch_n5","AEBP1; CEBPA; DNAJB5; EPHA7; FHOD1; SGSM1; SIX2; SSTR3; TMEM8A"
"33","FP- bldg_lay; FP+ inc.d9_inc.d17","ARID4B; COTL1; GADD45B; IL22RA1; LOC422151; LOC422926; PPM1E; PRLH; ZC3HAV1L"
"34","FP- bldg_lay; FP+ inc.d9_inc.d17; FP- hatch_n5","ACSBG2; CHKA; COPB2; HSD17B12; HYOU1; KDELR3; MLEC; MSMO1; SRM; SURF4; TSPAN13; ZWILCH"
"35","FP- bldg_lay; FP+ inc.d9_inc.d17; FP- hatch_n5; MP- hatch_n5","HERPUD1"
"36","FP- bldg_lay; FP+ inc.d9_inc.d17; FP- hatch_n5; MP+ inc.d9_inc.d17","MARC2"
"37","FP- bldg_lay; FP+ inc.d9_inc.d17; FP- hatch_n5; MP+ inc.d9_inc.d17; MP- hatch_n5","ALG12; PYCR2"
"38","FP- bldg_lay; FP+ inc.d9_inc.d17; MP+ inc.d9_inc.d17","LOC107053040"
"39","FP- bldg_lay; FP+ lay_inc.d3","ALDH1A2; ATP6V0B; BSG; CAPG; CD34; CDKN1A; CGA; CLDND1; CORO7; CSRP1; DHRS3; DIO3; DUSP15; EGR3; FAAH2; FBXO2; FDX1L; GAL; GNRHR; HPSE; LHPP; LOC100857380; LOC100858626; LOC425531; MXRA7; MYCL; NKIRAS1; NPC2; PGD; REEP6; RITA1; RNF103; RP1-37E16.12; SIL1; SLC6A2; SUPV3L1; TSPAN1"
"40","FP- bldg_lay; FP+ lay_inc.d3; FP- hatch_n5","LOC100859104"
"41","FP- bldg_lay; FP+ lay_inc.d3; FP+ hatch_n5","KANK1; LGALS1; SGK2"
"42","FP- bldg_lay; FP+ lay_inc.d3; FP+ inc.d9_inc.d17","DUSP4; LOC771811; NAP1L1; PDIA3; VPS35"
"43","FP- bldg_lay; FP+ lay_inc.d3; FP+ inc.d9_inc.d17; FP- hatch_n5","HSPA5; P4HB; PPIB; RPS2; RPSA; SLC33A1; TMED10; XBP1"
"44","FP- bldg_lay; FP+ lay_inc.d3; FP+ inc.d9_inc.d17; FP- hatch_n5; MP- hatch_n5","ALG2; ARF1; ARF4; DERL2; DNAJB9; HM13; LMAN1; MANF; NABP1; OSTC; PSMA3; PSMD7; SEC13; SEC61A2; SLC35B1; SPCS2; SSR2; YIPF1; YIPF5"
"45","FP- bldg_lay; FP+ lay_inc.d3; FP+ inc.d9_inc.d17; FP- hatch_n5; MP- hatch_n5; MP+ inc.d17_hatch","DNAJB11; FICD"
"46","FP- bldg_lay; FP+ lay_inc.d3; FP+ inc.d9_inc.d17; FP- hatch_n5; MP+ inc.d9_inc.d17","C28H19ORF10; FKBP11"
"47","FP- bldg_lay; FP+ lay_inc.d3; FP+ inc.d9_inc.d17; FP- hatch_n5; MP+ inc.d9_inc.d17; MP- hatch_n5","ADARB1; CRELD2; HSP90B1; OAZ1; PDIA6; SDF2L1; SPCS3; SSR1; SSR3"
"48","FP- bldg_lay; FP+ lay_inc.d3; FP+ inc.d9_inc.d17; MP+ inc.d9_inc.d17","RBM25"
"49","FP- bldg_lay; FP+ lay_inc.d3; FP+ n5_n9","RASA4"
"50","FP- bldg_lay; FP+ lay_inc.d3; MP- hatch_n5","MRPL14"
"51","FP- bldg_lay; FP+ lay_inc.d3; MP- inc.d9_inc.d17","BTC"
"52","FP- bldg_lay; FP+ lay_inc.d3; MP+ n5_n9","KRT14"
"53","FP- bldg_lay; FP+ n5_n9","CARD10; CITED4; INSIG1; LOC424214; SEBOX; SPTY2D1; VTN"
"54","FP- bldg_lay; MP- bldg_lay","NEFM"
"55","FP- bldg_lay; MP- hatch_n5; MP+ n5_n9","PHLDA2"
"56","FP- bldg_lay; MP- inc.d9_inc.d17","SH3GL1; TRIM66"
"57","FP- bldg_lay; MP+ hatch_n5","LTBP2"
"58","FP- bldg_lay; MP+ inc.d9_inc.d17","PTP4A3"
"59","FP- bldg_lay; MP+ n5_n9","ABCA4; ARHGAP40; NETO2"
"60","FP- hatch_n5; FP+ inc.d17_hatch","SERPINB10"
"61","FP- hatch_n5; MP- hatch_n5","BTF3; C9ORF85; LOC107054816; LOC107056450; MOSPD1; MRPL40; MRPS28; OTOG; PSMD12; RP3-461F17.3; SDHB; SS18L2; TMBIM4; TVP23A; UNC50; VPS37A"
"62","FP- hatch_n5; MP- inc.d17_hatch; MP+ inc.d9_inc.d17","FA2H; MBP"
"63","FP- hatch_n5; MP- inc.d9_inc.d17","LOC101750188"
"64","FP- hatch_n5; MP- n5_n9","NR4A3"
"65","FP- hatch_n5; MP+ inc.d17_hatch","MYH11"
"66","FP- hatch_n5; MP+ inc.d9_inc.d17","APOD; CDH19; CHN2; ERMN; MGP; PLK3; RASGRP3; SLC6A9"
"67","FP- hatch_n5; MP+ inc.d9_inc.d17; MP- n5_n9","PDE4D"
"68","FP- hatch_n5; MP+ lay_inc.d3","BCAS2"
"69","FP- inc.d3_inc.d9; FP+ lay_inc.d3","DYL1"
"70","FP- inc.d9_inc.d17; FP+ hatch_n5","ABCG4; ACACA; ACTN4; AGAP3; AHDC1; AJAP1; ANKS1A; ANKS3; APC2; ARHGAP1; ARHGAP26; ARHGAP39; ARHGEF17; ARID1A; ARID1B; ARID3B; ATF7; ATF7IP; ATHL1; BCL11A; BCL9; BSN; BTBD7; C10H15ORF59; C26H6ORF132; C3ORF70; CACNA1H; CACNA1I; CASKIN1; CASZ1; CBFA2T2; CELSR3; CEP104; CHD4; CRB2; CUX2; CZH18ORF25; DAAM1; DAGLA; DCAF10; DHX57; DHX8; DNMT3A; DOT1L; EHBP1; EPHA3; EPS8L2; ETV3; FAIM2; FAM102A; FAM13A; FARP1; FBXL14; FCHSD2; FOXP4L; GALNT16; GLIS2; GRIP2; GTF2H4; HCN4; HIP1; HNRNPM; IGSF3; INA; IQSEC3; IVD; KANK4; KCNA2; KCNB1; KIAA0753; KIAA1147; KIAA1671; KIAA2022; LAMB1; LARGE; LHX6; LOC100857269; LOC101748568; LOC101748851; LOC101749223; LOC101749352; LOC101750600; LOC101751874; LOC107049097; LOC107050650; LOC107050785; LOC107051567; LOC107053055; LOC416924; LOC425431; LPHN3; LSAMP; MC5R; MGAT3; MLL2; MXD1; MYH1D; MYO18A; NAV1; NEDD4; NEU3; NEURL1B; NFIA; NKX2-2; NOTCH2; NR3C1; NRF1; PACS1; PBX1; PCDH19; PDZD7; PHF2; PIANP; PLD1; PLEKHO1; PLXNB2; PLXND1; POU6F1; PPAP2B; PPP6R2; PRDM11; PRKAA2; PRKCB; PROC; PTCH1; PTPN14; PTPRD; RAB36; RAB3GAP1; RAP1GAP; RAPGEFL1; RASGRF1; RBM15; RGMA; RHBDL3; RNF130; RNF145; RNF216; ROGDI; RP11-106M3.5; SBF2; SCMH1; SCRIB; SDK2; SETD2; SGSM2; SKIDA1; SLC35D1; SLC36A1; SMARCC1; SMARCD1; SMC1B; SMG5; SMG7; SOGA1; SPRED2; SRCIN1; SRRM4; SRSF3; SS18; SSTR2; SUGP1; TCERG1; TCF20; TCF3; TCF7L2; TESK1; TET3; TFIP11; TLN2; TMEM140; TMEM237; TMEM246; TMPRSS3; TNRC18; TOB2; TPRN; TRAK2; TTC28; UBTF; ULK1; VPS53; WASF2; WBP11; WNK2; WWC1; ZBTB40; ZFHX3; ZFYVE9; ZNF319; ZNF469; ZNF516; ZNF618; ZNF687; ZSWIM8"
"71","FP- inc.d9_inc.d17; FP+ hatch_n5; MP- inc.d9_inc.d17","AMFR; DGKZ; LZTR1; MN1; RAB32; RNF24; SEZ6; XRN2"
"72","FP- inc.d9_inc.d17; FP+ hatch_n5; MP+ hatch_n5","ADCY5; ARVCF; ATXN1L; BAHD1; CAPN15; CELSR2; CHD6; CTNNA1; ENC1; EPHB2; IGDCC4; KDM1A; LOC423110; MAML3; PKD1; RAI1; RAPGEF6; RNPEPL1; SRGAP3; STK36; ZHX3; ZNF608"
"73","FP- inc.d9_inc.d17; FP+ inc.d17_hatch; MP+ inc.d9_inc.d17","C5H11ORF9"
"74","FP- inc.d9_inc.d17; MP- inc.d9_inc.d17","ANKRD6; BTBD17; CDH4; DPYD; FIBIN; FZD1; INPPL1; LANCL1; LOC100859272; LOC101751319; LOC107050147; LOC769676; MDC1; OTOF; PGAP3; PRKAB2; PRPF4; PYGO2; RAB5B; SLC11A2; SLC37A4; STAT2; TAF9; TPRG1L; USP21; VAT1; ZNF513"
"75","FP- inc.d9_inc.d17; MP- inc.d9_inc.d17; MP+ hatch_n5","POLG"
"76","FP- inc.d9_inc.d17; MP+ hatch_n5","ABCA5; ALAD; CDH3; DEF6; EZH2; FBRSL1; GPR124; HIC2; KDM5A; KIF9; LOC107051499; LOC421255; MAGI3; NBEAL2; OTUB1; RP11-49K24.9; TBC1D16; WDR70"
"77","FP- lay_inc.d3; FP- hatch_n5","BIRC2"
"78","FP- lay_inc.d3; FP- hatch_n5; MP- hatch_n5","LOC107055436"
"79","FP- lay_inc.d3; FP- inc.d9_inc.d17","ACER2; ADRBK2; ARHGAP17; CNNM2; CYLD; DEAF1; DIP2B; EHHADH; EPAS1; EYA3; FAM177A1; FAM222B; FOXI1; HIPK1; KIAA1919; LOC107049744; LOC107050074; LOC107050804; LOC107050947; LOC107051165; LOC107051178; LOC107051408; LOC107051473; LOC429809; LONP2; MAST3; MDM4; MED13L; MIER1; MTMR3; MYO3AL; NAT8L; NFASC; NPEPPS; NUP88; PRICKLE2; PXN; RBFOX2; RPRD2; RRAGC; SLC8A1; UBXN6; WDR82; WWTR1; ZNF568"
"80","FP- lay_inc.d3; FP- inc.d9_inc.d17; FP+ hatch_n5","AFF1; AFF4; ANTXR1; ASCC3; ASH1L; BCORL1; BPTF; CACNA1C; CDK12; CHERP; CRTC1; DAGLB; EP300; EPB41; FBXO42; GRAMD1B; KDM4C; LOC101748353; LOC101748741; LOC101750635; LRP4; MAP2K6; MAPKBP1; MBD5; MED1; MED13; MEF2D; MLL3; MYO1D; NCOA1; NCOR1; NEO1; PHF12; PLEKHG4; SIK3; SKI; SOBP; SPEN; SUFU; TANC2; UPF1; WHSC1L1; ZBED1; ZBTB10; ZC3H6; ZMIZ1; ZNF652; ZXDC"
"81","FP- lay_inc.d3; FP- inc.d9_inc.d17; FP+ hatch_n5; MP- inc.d9_inc.d17","C20H20ORF112; HIPK3"
"82","FP- lay_inc.d3; FP- inc.d9_inc.d17; FP+ hatch_n5; MP+ hatch_n5","ARHGAP32; ARHGEF18; CCDC71; JAK1; KMT2A; NACC2; RERE; RNF169; VANGL1; WNK1"
"83","FP- lay_inc.d3; FP- inc.d9_inc.d17; MP- inc.d9_inc.d17","MSL2"
"84","FP- lay_inc.d3; FP+ hatch_n5","ALMS1; ANKHD1; BRD3; C2CD3; CADPS; CBL; CHD9; CRIM1; CRY2; DNM1; ELAVL1; FDX1; GDAP1; GPATCH8; HIPK2; IFFO2; KANSL1; KCNH8; KIAA0430; LOC107049328; LOC395991; MAPT; MFSD6; MPRIP; MTA1; NCOA6; PPM1H; PRDM2; RBL2; RP11-2C24.9; SCAF4; TAOK3; USP31; WASF3; WHSC1; ZC3H7B"
"85","FP- lay_inc.d3; FP+ hatch_n5; MP- lay_inc.d3","SEMA6A"
"86","FP- lay_inc.d3; FP+ hatch_n5; MP+ hatch_n5","C10ORF12; HECTD4; KIF13A; NF1; RASAL2; SORL1; TRRAP; UBTD2"
"87","FP- lay_inc.d3; FP+ inc.d17_hatch","ANP32E"
"88","FP- lay_inc.d3; FP+ inc.d9_inc.d17","SRD5A1; TRAPPC11"
"89","FP- lay_inc.d3; FP+ inc.d9_inc.d17; FP- hatch_n5; MP- hatch_n5","IFI30"
"90","FP- lay_inc.d3; FP+ inc.d9_inc.d17; FP- hatch_n5; MP+ inc.d9_inc.d17","ANLN"
"91","FP- lay_inc.d3; FP+ inc.d9_inc.d17; MP+ inc.d9_inc.d17","TOP2A"
"92","FP- lay_inc.d3; MP- inc.d17_hatch","SOX8; TSPAN2"
"93","FP- lay_inc.d3; MP- inc.d17_hatch; MP+ inc.d9_inc.d17","DAAM2; HEBP2; UGT8"
"94","FP- lay_inc.d3; MP- inc.d9_inc.d17","GH"
"95","FP- lay_inc.d3; MP+ hatch_n5","FKBP5; MTMR10; RP11-345J4.5; SPATA18; SSH1"
"96","FP- lay_inc.d3; MP+ inc.d9_inc.d17","CLDN11; GJC2; KIAA1462; LRRC8A; LY75"
"97","FP+ bldg_lay; FP- hatch_n5","MTBP"
"98","FP+ bldg_lay; FP- inc.d3_inc.d9","LOC107054855; REG4"
"99","FP+ bldg_lay; FP- inc.d9_inc.d17","ASB11; BCL11B; CMIP; GPR75; MAMLD1; RBFOX1; ROM1; USP3; ZNF385B"
"100","FP+ bldg_lay; FP- inc.d9_inc.d17; FP+ hatch_n5","GTF2IRD1"
"101","FP+ bldg_lay; FP- inc.d9_inc.d17; MP+ hatch_n5","ACCS"
"102","FP+ bldg_lay; FP- lay_inc.d3","ARL15; BLVRA; CABLES1; CDS2; CNTN5; COQ10B; CYB5A; DUSP16; EFCAB4B; ESR1; FAM189A1; FAM65C; GTF2A1; IKZF5; ITPR2; MADD; MT4; NAA50; NFKBIE; NT5DC3; OSBPL10; PHACTR3; SLC30A4; SLC6A1; SP3; STX2; UBASH3B; USP32; ZBTB33; ZNF706"
"103","FP+ bldg_lay; FP- lay_inc.d3; FP- hatch_n5","CNTN4"
"104","FP+ bldg_lay; FP- lay_inc.d3; FP- hatch_n5; MP- inc.d17_hatch; MP+ inc.d9_inc.d17","PLP1"
"105","FP+ bldg_lay; FP- lay_inc.d3; FP- inc.d3_inc.d9","PROCA1"
"106","FP+ bldg_lay; FP- lay_inc.d3; FP- inc.d9_inc.d17","ASTN1; GATA2; GRID2IP; SLC10A4; TBX20; ZFYVE28"
"107","FP+ bldg_lay; FP- lay_inc.d3; FP- inc.d9_inc.d17; FP+ hatch_n5","H6PD"
"108","FP+ bldg_lay; FP- lay_inc.d3; FP- inc.d9_inc.d17; FP+ hatch_n5; MP+ hatch_n5","ZCCHC14"
"109","FP+ bldg_lay; FP- lay_inc.d3; FP+ hatch_n5","CEP85L; DISP2; DOC2B; NUP153; PAPD5; SMTNL2; TAF4; TOX"
"110","FP+ bldg_lay; FP- lay_inc.d3; MP- inc.d17_hatch; MP+ inc.d9_inc.d17","LOC100859848; LOC107050516"
"111","FP+ bldg_lay; FP- lay_inc.d3; MP+ hatch_n5","ZBTB16"
"112","FP+ bldg_lay; FP+ hatch_n5","C24H11ORF63"
"113","FP+ bldg_lay; FP+ inc.d9_inc.d17","CLUL1"
"114","FP+ bldg_lay; FP+ inc.d9_inc.d17; FP- hatch_n5; MP+ inc.d9_inc.d17; MP- hatch_n5","PCNA"
"115","FP+ bldg_lay; FP+ inc.d9_inc.d17; MP+ inc.d9_inc.d17","CD24"
"116","FP+ bldg_lay; MP+ hatch_n5","CFAP57"
"117","FP+ bldg_lay; MP+ inc.d9_inc.d17","FAM126A"
"118","FP+ hatch_n5; FP- n5_n9","LOC101750367"
"119","FP+ hatch_n5; FP+ n5_n9","NSMF"
"120","FP+ hatch_n5; MP- inc.d17_hatch; MP+ inc.d9_inc.d17","LOC100859605"
"121","FP+ hatch_n5; MP- inc.d9_inc.d17","MPP7; ST8SIA3"
"122","FP+ hatch_n5; MP+ hatch_n5","CCDC108; CDHR5; GALNT10; HERC1; HYDIN; IFT140; KBTBD11; KDM2B; LOC107055769; LOC395100; MTCP1NB; PTPRF; PURG; REEP2; SETD1B"
"123","FP+ inc.d9_inc.d17; FP- hatch_n5","ACTR1A; ACTR2; ACYP2; ADSL; ADSS; ALDH18A1; ALDH6A1; ALG5; ALG8; AP1AR; AP3S1; APP; ARL6IP5; ARL8A; ATM; ATP1B3; ATP6V0D1; AZIN1; B3GALT2; BCAP29; BCCIP; BCKDHB; BOLA3; C14H16ORF88; C17H9ORF78; C1D; C1H12ORF66; C1QBP; C2H6ORF62; C2H7ORF63; C6ORF57; CAPZA1; CASK; CBS; CCNC; CD164; CDC25A; CDK5RAP3; CDK6; CEP95; CGRRF1; CHAF1B; CHCHD2; CHTF8; CKAP4; CLPTM1L; CMAS; CMPK1; CNOT11; CNPPD1; COPS5; COPS8; CPE; CPEB2; CRTAP; CTPS1; DDOST; DDX1; DDX24; DERL1; DHODH; DNAJC1; DPAGT1; DPM1; DR1; DTNBP1; DUSP3; DYNC1LI1; EDEM1; EIF1AY; EIF2AK3; EIF4H; EIF5; ELAVL2; EMC7; ENTPD6; ENTPD7; EPS8; ERO1L; ERO1LB; ESRP1; FAM114A1; FAM18B1; FAM213A; FAM98A; FBXO33; FBXW2; FFAR4; FKBP7; GABARAPL1; GAL3ST2; GALE; GARS; GCC2; GDI2; GLG1; GMNN; GNB1; GNL3; GNPNAT1; GNPTG; GOLGA2; GOLT1B; GORASP2; GPI; GPR180; GRB10; HDLBP; HMGB3; HMOX1; HNRNPAB; HSPA14; IARS; IDH3A; IFRD1; IMPA1; INPP5A; JKAMP; KIAA0101; KLHDC3; LAMP2; LAP3; LEPROTL1; LMBR1; LOC100858130; LOC107048987; LOC107049088; LOC107049885; LOC107056124; LOC419662; LOC420849; LOC422249; LOC424201; LOC427665; LRPPRC; LRRC57; LRRTM4; LYSMD3; MAD2L1BP; MAEA; MB21D2; MCM5; MCTS1; MED31; MEST; METAP1D; METTL9; MIPEP; MITD1; MND1; MRPL1; MRPS31; MTERF3; MTFR1; MTHFD2; MTMR1; MYBBP1A; NAP1L4; NARFL; NCAPH2; NCL; NCLN; NECAP1; NMD3; NOP14; NOP58; NPM3; NSUN2; NUDCD2; NUDT5; OLA1; OSBPL11; PARVA; PCSK1; PDIA4; PDK4; PGAM1; PGRMC2; PHF5A; PIN4; PITRM1; PLCB2; PLS1; PLS3; POLB; PPA2; PPIC; PRMT3; PWP2; QPCT; RAB1A; RAB2A; RAB30; RANBP1; RASSF1; RB1; REST; RFC3; RIOK1; RIPK3; RNF11; RP11-1035H13.3; RP11-196G11.1; RP11-407N17.3; RPS6KA6; RSL1D1; RTN4; RTN4IP1; RUVBL1; SDF4; SEC63; SERINC1; SERP1; SERPINB6; SETD3; SGSM3; SHPRH; SLC17A5; SLC1A4; SLC23A2; SLC25A20; SLC25A3; SLC30A7; SLC35B3; SLC41A3; SLC7A3; SLCO5A1; SLMO2; SMG8; SMIM18; SNRPA1; SNX14; SPATA5; SRP54; SRP68; SRPR; SRPRB; SRSF5A; SSR4; STRAP; STX12; TAX1BP1; TM9SF3; TMED7; TMEM100; TMEM18; TMEM180; TMEM196; TMEM241; TMEM57; TMEM59; TMEM69; TMSB4X; TOMM20; TOMM5; TRIM35; TSHB; TSTA3; TTC27; U2AF1; UBA5; UBE2D2; UBXN4; UCHL1; UCK2; UGGT1; UQCRC2; USE1; USO1; USP1; VCP; VWA9; WDR4; WDR43; WFS1; ZMYND19; ZNF830"
"124","FP+ inc.d9_inc.d17; FP- hatch_n5; FP+ inc.d17_hatch; MP+ inc.d9_inc.d17","SCG3"
"125","FP+ inc.d9_inc.d17; FP- hatch_n5; MP- hatch_n5","ABCE1; ACTR6; ALG1; ARFGAP3; ATF4; ATP6AP2; ATP6V1D; BET1; BICC1; BLMH; BNIP3L; BTF3L4; C2ORF47; C8H1ORF27; CAMLG; CARS; CBLN2; CCDC167; CCT2; CCT4; CDKN3; CEBPG; CHCHD4; CNIH1; COMMD1; COPS4; CTSL2; DAD1; DGUOK; DPY30; DRG1; DSTN; DUT; EBAG9; EDF1; EIF2S1; EIF3F; EIF4E; ELAVL4; ERGIC1; ERP44; ETF1; FAM13C; FBXO3; GPN3; GPX4; HAT1; HBS1L; ITM2B; KARS; LDHA; LOC101751823; LRRC59; MESDC2; MMADHC; NDUFB5; NDUFV2; OCIAD1; PAK1IP1; PPP1CB; PRDX3; PSMB1; PSMC3; PSMD6; PTRH2; RAN; RCN1; RP11-156P1.2; RP11-292K15.2; RPF2; RPN1; SCFD1; SEC23B; SELT; SEP15; SFXN1; SLC35E3; SLC7A5; SSPO; TALDO1; TBCA; TCP1; THAP5; THOC7; TMEM167A; TMEM50A; TMSB10; TXNDC11; TXNDC17; TXNL1; UBE2A; UBE2N; UCHL5; UFL1; UFM1; USMG5; UTP23; VDAC1; VDAC2; VPS50; WDR77; WRB"
