"","bird","sex","tissue","treatment","group"
"blk.s061.pu.y_female_hypothalamus_inc.d9",1,1,2,6,15
"blk.s061.pu.y_female_pituitary_inc.d9",1,1,3,6,24
"blk11.x_female_gonad_bldg",2,1,1,1,1
"blk11.x_female_hypothalamus_bldg",2,1,2,1,10
"blk11.x_female_pituitary_bldg",2,1,3,1,19
"blk12.x_male_gonad_n5",3,2,1,8,35
"blk12.x_male_hypothalamus_n5.NYNO",3,2,2,8,44
"blk12.x_male_pituitary_n5",3,2,3,8,53
"blk17.x_male_gonad_inc.d17",4,2,1,4,31
"blk17.x_male_hypothalamus_inc.d17",4,2,2,4,40
"blk17.x_male_pituitary_inc.d17",4,2,3,4,49
"blk21.x_female_gonad_hatch",5,1,1,3,3
"blk21.x_female_hypothalamus_hatch",5,1,2,3,12
"blk21.x_female_pituitary_hatch",5,1,3,3,21
"blk4.x_female_gonad_n9",6,1,1,9,9
"blk4.x_female_hypothalamus_n9",6,1,2,9,18
"blk4.x_female_pituitary_n9",6,1,3,9,27
"blu.o.x.ATLAS_female_gonad_control",7,1,1,2,2
"blu.o.x.ATLAS_female_hypothalamus_control",7,1,2,2,11
"blu.o.x.ATLAS_female_pituitary_control",7,1,3,2,20
"blu103.x_female_gonad_hatch.NYNO",8,1,1,3,3
"blu103.x_female_hypothalamus_hatch",8,1,2,3,12
"blu103.x_female_pituitary_hatch.NYNO",8,1,3,3,21
"blu104.w120.x_male_gonad_hatch",9,2,1,3,30
"blu104.w120.x_male_hypothalamus_hatch",9,2,2,3,39
"blu104.w120.x_male_pituitary_hatch.NYNO",9,2,3,3,48
"blu108.w40.o158_male_gonad_inc.d9",10,2,1,6,33
"blu108.w40.o158_male_hypothalamus_inc.d9",10,2,2,6,42
"blu108.w40.o158_male_pituitary_inc.d9",10,2,3,6,51
"blu111.w113.x_male_gonad_inc.d3",11,2,1,5,32
"blu111.w113.x_male_hypothalamus_inc.d3",11,2,2,5,41
"blu111.w113.x_male_pituitary_inc.d3",11,2,3,5,50
"blu113.w124.x_male_gonad_inc.d17",12,2,1,4,31
"blu113.w124.x_male_hypothalamus_inc.d17",12,2,2,4,40
"blu113.w124.x_male_pituitary_inc.d17.NYNO",12,2,3,4,49
"blu114.r38.w198_male_gonad_bldg",13,2,1,1,28
"blu114.r38.w198_male_hypothalamus_bldg",13,2,2,1,37
"blu114.r38.w198_male_pituitary_bldg",13,2,3,1,46
"blu121.w91.x_male_gonad_inc.d17",14,2,1,4,31
"blu121.w91.x_male_hypothalamus_inc.d17",14,2,2,4,40
"blu121.w91.x_male_pituitary_inc.d17",14,2,3,4,49
"blu124.w180.x_female_hypothalamus_hatch",15,1,2,3,12
"blu124.w180.x_female_pituitary_hatch",15,1,3,3,21
"blu33.y88.x_male_gonad_bldg",16,2,1,1,28
"blu33.y88.x_male_hypothalamus_bldg",16,2,2,1,37
"blu33.y88.x_male_pituitary_bldg",16,2,3,1,46
"blu36.w16_female_gonad_n9",17,1,1,9,9
"blu36.w16_female_hypothalamus_n9",17,1,2,9,18
"blu36.w16_female_pituitary_n9",17,1,3,9,27
"blu37.r65.x_male_gonad_n5",18,2,1,8,35
"blu37.r65.x_male_hypothalamus_n5",18,2,2,8,44
"blu37.r65.x_male_pituitary_n5",18,2,3,8,53
"blu38.g135.x_female_gonad_bldg",19,1,1,1,1
"blu38.g135.x_female_hypothalamus_bldg",19,1,2,1,10
"blu39.o26.x_female_gonad_inc.d3",20,1,1,5,5
"blu39.o26.x_female_hypothalamus_inc.d3.NYNO",20,1,2,5,14
"blu39.o26.x_female_pituitary_inc.d3.NYNO",20,1,3,5,23
"blu41.y100.x_male_gonad_n5",21,2,1,8,35
"blu41.y100.x_male_hypothalamus_n5.NYNO",21,2,2,8,44
"blu41.y100.x_male_pituitary_n5",21,2,3,8,53
"blu47.y96.x_female_gonad_inc.d9",22,1,1,6,6
"blu47.y96.x_female_hypothalamus_inc.d9",22,1,2,6,15
"blu47.y96.x_female_pituitary_inc.d9",22,1,3,6,24
"blu55.g51_female_gonad_n5",23,1,1,8,8
"blu55.g51_female_hypothalamus_n5",23,1,2,8,17
"blu55.g51_female_pituitary_n5",23,1,3,8,26
"blu81.r88_male_gonad_n9",24,2,1,9,36
"blu81.r88_male_pituitary_n9",24,2,3,9,54
"d.s008.y.blk_male_gonad_n5",25,2,1,8,35
"d.s008.y.blk_male_hypothalamus_n5",25,2,2,8,44
"d.s008.y.blk_male_pituitary_n5",25,2,3,8,53
"d.s047.blk.o_male_gonad_n5",26,2,1,8,35
"d.s047.blk.o_male_hypothalamus_n5",26,2,2,8,44
"d.s047.blk.o_male_pituitary_n5",26,2,3,8,53
"g.blk.s004.pk_female_gonad_lay",27,1,1,7,7
"g.blk.s004.pk_female_hypothalamus_lay",27,1,2,7,16
"g.blk.s004.pk_female_pituitary_lay",27,1,3,7,25
"g.s.blk.d_male_gonad_n9",28,2,1,9,36
"g.s.blk.d_male_hypothalamus_n9",28,2,2,9,45
"g.s.blk.d_male_pituitary_n9",28,2,3,9,54
"g.s.blk.y_male_gonad_lay",29,2,1,7,34
"g.s.blk.y_male_pituitary_lay",29,2,3,7,52
"g.s043.pu.blk_male_gonad_lay",30,2,1,7,34
"g.s043.pu.blk_male_hypothalamus_lay",30,2,2,7,43
"g.s043.pu.blk_male_pituitary_lay",30,2,3,7,52
"g.s078.blk.o_female_hypothalamus_lay",31,1,2,7,16
"g.s078.blk.o_female_pituitary_lay",31,1,3,7,25
"g.x.ATLAS_female_gonad_control",32,1,1,2,2
"g104.w82.x_male_gonad_bldg",33,2,1,1,28
"g104.w82.x_male_hypothalamus_bldg",33,2,2,1,37
"g104.w82.x_male_pituitary_bldg",33,2,3,1,46
"g114.w83.x_male_gonad_hatch.NYNO",34,2,1,3,30
"g114.w83.x_male_hypothalamus_hatch",34,2,2,3,39
"g114.w83.x_male_pituitary_hatch.NYNO",34,2,3,3,48
"g130.y81.x_male_gonad_inc.d17",35,2,1,4,31
"g130.y81.x_male_hypothalamus_inc.d17",35,2,2,4,40
"g130.y81.x_male_pituitary_inc.d17",35,2,3,4,49
"g141.blu27.x_female_gonad_bldg",36,1,1,1,1
"g141.blu27.x_female_hypothalamus_bldg",36,1,2,1,10
"g141.blu27.x_female_pituitary_bldg",36,1,3,1,19
"g142.r40.x_female_gonad_inc.d17",37,1,1,4,4
"g142.r40.x_female_hypothalamus_inc.d17",37,1,2,4,13
"g142.r40.x_female_pituitary_inc.d17",37,1,3,4,22
"g143.blu32.x_male_gonad_inc.d17",38,2,1,4,31
"g143.blu32.x_male_hypothalamus_inc.d17",38,2,2,4,40
"g143.blu32.x_male_pituitary_inc.d17",38,2,3,4,49
"g146.blu51_male_gonad_inc.d3",39,2,1,5,32
"g146.blu51_male_hypothalamus_inc.d3.NYNO",39,2,2,5,41
"g146.blu51_male_pituitary_inc.d3",39,2,3,5,50
"g20.w106.x_male_gonad_inc.d3",40,2,1,5,32
"g20.w106.x_male_hypothalamus_inc.d3",40,2,2,5,41
"g20.w106.x_male_pituitary_inc.d3",40,2,3,5,50
"g52.blu58_male_gonad_bldg",41,2,1,1,28
"g52.blu58_male_hypothalamus_bldg",41,2,2,1,37
"g52.blu58_male_pituitary_bldg",41,2,3,1,46
"g53.y84_male_gonad_hatch",42,2,1,3,30
"g53.y84_male_hypothalamus_hatch",42,2,2,3,39
"g53.y84_male_pituitary_hatch",42,2,3,3,48
"g6.w197.x_female_gonad_inc.d3",43,1,1,5,5
"g6.w197.x_female_hypothalamus_inc.d3",43,1,2,5,14
"g6.w197.x_female_pituitary_inc.d3",43,1,3,5,23
"g75.x_female_gonad_inc.d9",44,1,1,6,6
"g75.x_female_hypothalamus_inc.d9",44,1,2,6,15
"g75.x_female_pituitary_inc.d9",44,1,3,6,24
"l.s120.y.blk_female_gonad_bldg",50,1,1,1,1
"l.s120.y.blk_female_hypothalamus_bldg",50,1,2,1,10
"l.s120.y.blk_female_pituitary_bldg",50,1,3,1,19
"o.s.w.r_male_gonad_lay",54,2,1,7,34
"o.s.w.r_male_hypothalamus_lay",54,2,2,7,43
"o.s.w.r_male_pituitary_lay",54,2,3,7,52
"o152.o120.w42_male_gonad_n5",55,2,1,8,35
"o152.o120.w42_male_hypothalamus_n5",55,2,2,8,44
"o152.o120.w42_male_pituitary_n5",55,2,3,8,53
"o156.w80.x_female_gonad_inc.d3",56,1,1,5,5
"o156.w80.x_female_hypothalamus_inc.d3",56,1,2,5,14
"o156.w80.x_female_pituitary_inc.d3",56,1,3,5,23
"o165.w122.x_female_gonad_inc.d3.NYNO",57,1,1,5,5
"o165.w122.x_female_hypothalamus_inc.d3",57,1,2,5,14
"o165.w122.x_female_pituitary_inc.d3.NYNO",57,1,3,5,23
"o172.w115.x_female_gonad_hatch",58,1,1,3,3
"o172.w115.x_female_hypothalamus_hatch",58,1,2,3,12
"o172.w115.x_female_pituitary_hatch.NYNO",58,1,3,3,21
"o173.w179.x_female_gonad_inc.d3",59,1,1,5,5
"o173.w179.x_female_hypothalamus_inc.d3",59,1,2,5,14
"o173.w179.x_female_pituitary_inc.d3",59,1,3,5,23
"o35.r51.x_female_hypothalamus_inc.d17",60,1,2,4,13
"o35.r51.x_female_pituitary_inc.d17",60,1,3,4,22
"o38.blu29.x_female_gonad_bldg",61,1,1,1,1
"o38.blu29.x_female_hypothalamus_bldg",61,1,2,1,10
"o38.blu29.x_female_pituitary_bldg",61,1,3,1,19
"o39.y77.x_male_gonad_hatch",62,2,1,3,30
"o39.y77.x_male_hypothalamus_hatch",62,2,2,3,39
"o39.y77.x_male_pituitary_hatch",62,2,3,3,48
"o44.blu26.x_male_gonad_hatch",63,2,1,3,30
"o44.blu26.x_male_hypothalamus_hatch",63,2,2,3,39
"o44.blu26.x_male_pituitary_hatch",63,2,3,3,48
"o48.r197.x_male_gonad_inc.d3",64,2,1,5,32
"o48.r197.x_male_hypothalamus_inc.d3",64,2,2,5,41
"o48.r197.x_male_pituitary_inc.d3",64,2,3,5,50
"o49.x_male_gonad_inc.d9",65,2,1,6,33
"o49.x_male_hypothalamus_inc.d9",65,2,2,6,42
"o49.x_male_pituitary_inc.d9",65,2,3,6,51
"o52.blu53_female_gonad_inc.d17",66,1,1,4,4
"o52.blu53_female_hypothalamus_inc.d17",66,1,2,4,13
"o52.blu53_female_pituitary_inc.d17",66,1,3,4,22
"o57.g59_male_gonad_inc.d9",67,2,1,6,33
"o57.g59_male_hypothalamus_inc.d9",67,2,2,6,42
"o57.g59_male_pituitary_inc.d9",67,2,3,6,51
"o73.x_female_gonad_inc.d9",68,1,1,6,6
"o73.x_female_hypothalamus_inc.d9",68,1,2,6,15
"o73.x_female_pituitary_inc.d9",68,1,3,6,24
"pk.s238.blk.w_male_gonad_lay",69,2,1,7,34
"pk.s238.blk.w_male_hypothalamus_lay",69,2,2,7,43
"pk.s238.blk.w_male_pituitary_lay",69,2,3,7,52
"pk.w.s141.o_male_gonad_lay",70,2,1,7,34
"pk.w.s141.o_male_hypothalamus_lay",70,2,2,7,43
"pk.w.s141.o_male_pituitary_lay",70,2,3,7,52
"r.r.x.ATLAS.R2XR_female_gonad_control",73,1,1,2,2
"r.r.x.ATLAS.R2XR_female_hypothalamus_control",73,1,2,2,11
"r.r.x.ATLAS.R2XR_female_pituitary_control",73,1,3,2,20
"r.r.x.ATLAS_female_gonad_control",72,1,1,2,2
"r.r.x.ATLAS_female_hypothalamus_control",72,1,2,2,11
"r.r.x.ATLAS_female_pituitary_control",72,1,3,2,20
"r.s005.pk.blk_male_gonad_lay",76,2,1,7,34
"r.s005.pk.blk_male_hypothalamus_lay",76,2,2,7,43
"r.s005.pk.blk_male_pituitary_lay",76,2,3,7,52
"r.s056.g.o_female_gonad_bldg",77,1,1,1,1
"r.s056.g.o_female_hypothalamus_bldg",77,1,2,1,10
"r.s056.g.o_female_pituitary_bldg",77,1,3,1,19
"r.s059.d.o_male_gonad_bldg",78,2,1,1,28
"r.s059.d.o_male_hypothalamus_bldg",78,2,2,1,37
"r.s059.d.o_male_pituitary_bldg",78,2,3,1,46
"r.s116.blk.pu_male_gonad_lay",79,2,1,7,34
"r.s116.blk.pu_male_hypothalamus_lay",79,2,2,7,43
"r.s116.blk.pu_male_pituitary_lay",79,2,3,7,52
"r.s171.l.w_female_gonad_n9",80,1,1,9,9
"r.s171.l.w_female_hypothalamus_n9",80,1,2,9,18
"r.s171.l.w_female_pituitary_n9",80,1,3,9,27
"r.y.s007.blk_male_gonad_n9",82,2,1,9,36
"r.y.s007.blk_male_hypothalamus_n9",82,2,2,9,45
"r.y.s007.blk_male_pituitary_n9",82,2,3,9,54
"r176.blu54_male_gonad_inc.d17",84,2,1,4,31
"r176.blu54_male_hypothalamus_inc.d17",84,2,2,4,40
"r176.blu54_male_pituitary_inc.d17",84,2,3,4,49
"r183.o22_female_gonad_hatch",85,1,1,3,3
"r183.o22_female_hypothalamus_hatch",85,1,2,3,12
"r183.o22_female_pituitary_hatch",85,1,3,3,21
"r190.o43.x_male_gonad_lay",86,2,1,7,34
"r190.o43.x_male_hypothalamus_lay",86,2,2,7,43
"r190.o43.x_male_pituitary_lay",86,2,3,7,52
"r195.x_male_gonad_n9",87,2,1,9,36
"r195.x_male_hypothalamus_n9",87,2,2,9,45
"r195.x_male_pituitary_n9",87,2,3,9,54
"r27.w111.blu125_female_gonad_inc.d3",88,1,1,5,5
"r27.w111.blu125_female_hypothalamus_inc.d3",88,1,2,5,14
"r27.w111.blu125_female_pituitary_inc.d3",88,1,3,5,23
"r30.w112.r46_female_gonad_inc.d9",89,1,1,6,6
"r30.w112.r46_female_hypothalamus_inc.d9",89,1,2,6,15
"r30.w112.r46_female_pituitary_inc.d9",89,1,3,6,24
"r36.w184.x_female_gonad_inc.d9",90,1,1,6,6
"r36.w184.x_female_hypothalamus_inc.d9",90,1,2,6,15
"r36.w184.x_female_pituitary_inc.d9",90,1,3,6,24
"r37.w100.x_male_gonad_n9",91,2,1,9,36
"r37.w100.x_male_hypothalamus_n9",91,2,2,9,45
"r37.w100.x_male_pituitary_n9",91,2,3,9,54
"r41.w99.x_male_gonad_hatch",92,2,1,3,30
"r41.w99.x_male_hypothalamus_hatch",92,2,2,3,39
"r41.w99.x_male_pituitary_hatch",92,2,3,3,48
"r45.X_male_gonad_inc.d9",94,2,1,6,33
"r45.X_male_pituitary_inc.d9",94,2,3,6,51
"r45.x_male_hypothalamus_inc.d9",93,2,2,6,42
"r49.w189.x_female_gonad_inc.d17",95,1,1,4,4
"r49.w189.x_female_hypothalamus_inc.d17",95,1,2,4,13
"r49.w189.x_female_pituitary_inc.d17",95,1,3,4,22
"r6.x_female_gonad_control.NYNO",96,1,1,2,2
"r6.x_female_hypothalamus_control.NYNO",96,1,2,2,11
"r6.x_female_pituitary_control",96,1,3,2,20
"r72.y83.x_male_gonad_hatch",97,2,1,3,30
"r72.y83.x_male_hypothalamus_hatch",97,2,2,3,39
"r72.y83.x_male_pituitary_hatch",97,2,3,3,48
"r73.g127.x_female_hypothalamus_inc.d3",98,1,2,5,14
"r73.g127.x_female_pituitary_inc.d3",98,1,3,5,23
"r83.g45_female_gonad_bldg",99,1,1,1,1
"r83.g45_female_hypothalamus_bldg",99,1,2,1,10
"r83.g45_female_pituitary_bldg",99,1,3,1,19
"r95.blu99_female_gonad_n9",100,1,1,9,9
"r95.blu99_female_hypothalamus_n9",100,1,2,9,18
"r95.blu99_female_pituitary_n9",100,1,3,9,27
"s.o.pk_female_gonad_lay",101,1,1,7,7
"s.o.pk_female_hypothalamus_lay",101,1,2,7,16
"s.o.pk_female_pituitary_lay",101,1,3,7,25
"s.pu148.blk.r_male_gonad_bldg",102,2,1,1,28
"s.pu148.blk.r_male_hypothalamus_bldg",102,2,2,1,37
"s.pu148.blk.r_male_pituitary_bldg",102,2,3,1,46
"s.x.ATLAS_female_gonad_control",103,1,1,2,2
"s.x.ATLAS_female_hypothalamus_control",103,1,2,2,11
"s.x.ATLAS_female_pituitary_control",103,1,3,2,20
"s063.d.blk.l_female_gonad_bldg",104,1,1,1,1
"s063.d.blk.l_female_hypothalamus_bldg",104,1,2,1,10
"s063.d.blk.l_female_pituitary_bldg",104,1,3,1,19
"s065.l.d.o_male_gonad_bldg",105,2,1,1,28
"s065.l.d.o_male_hypothalamus_bldg",105,2,2,1,37
"s065.l.d.o_male_pituitary_bldg",105,2,3,1,46
"s066.l.d.r_male_gonad_bldg",106,2,1,1,28
"s066.l.d.r_male_hypothalamus_bldg",106,2,2,1,37
"s066.l.d.r_male_pituitary_bldg",106,2,3,1,46
"s092.blk.r.o_female_gonad_bldg",107,1,1,1,1
"s092.blk.r.o_female_hypothalamus_bldg",107,1,2,1,10
"s092.blk.r.o_female_pituitary_bldg",107,1,3,1,19
"s095.g.blk.o_female_gonad_lay",108,1,1,7,7
"s095.g.blk.o_female_hypothalamus_lay",108,1,2,7,16
"s095.g.blk.o_female_pituitary_lay",108,1,3,7,25
"s136.d.w.o_female_gonad_lay",109,1,1,7,7
"s136.d.w.o_female_hypothalamus_lay",109,1,2,7,16
"s136.d.w.o_female_pituitary_lay",109,1,3,7,25
"s142.o.pk.pu_female_gonad_lay",110,1,1,7,7
"s142.o.pk.pu_female_hypothalamus_lay",110,1,2,7,16
"s142.o.pk.pu_female_pituitary_lay",110,1,3,7,25
"s150.w.g.blk_male_gonad_lay",111,2,1,7,34
"s150.w.g.blk_male_hypothalamus_lay",111,2,2,7,43
"s150.w.g.blk_male_pituitary_lay",111,2,3,7,52
"s176.blk.pu.r_female_gonad_lay",112,1,1,7,7
"s176.blk.pu.r_female_hypothalamus_lay",112,1,2,7,16
"s176.blk.pu.r_female_pituitary_lay",112,1,3,7,25
"s187.l.o.r_male_gonad_n9",113,2,1,9,36
"s187.l.o.r_male_hypothalamus_n9",113,2,2,9,45
"s187.l.o.r_male_pituitary_n9",113,2,3,9,54
"s243.blk.pk.r_male_gonad_lay",114,2,1,7,34
"s243.blk.pk.r_male_hypothalamus_lay",114,2,2,7,43
"s243.blk.pk.r_male_pituitary_lay",114,2,3,7,52
"w191.r1_female_gonad_control",115,1,1,2,2
"w191.r1_female_hypothalamus_control",115,1,2,2,11
"w191.r1_female_pituitary_control",115,1,3,2,20
"w34.x_male_gonad_inc.d9",116,2,1,6,33
"w34.x_male_hypothalamus_inc.d9",116,2,2,6,42
"w34.x_male_pituitary_inc.d9",116,2,3,6,51
"x.blk.blk.ATLAS_male_gonad_control",117,2,1,2,29
"x.blk.blk.ATLAS_male_hypothalamus_control",117,2,2,2,38
"x.blk.blk.ATLAS_male_pituitary_control",117,2,3,2,47
"x.blk16_male_gonad_n9.NYNO",118,2,1,9,36
"x.blk16_male_hypothalamus_n9.NYNO",118,2,2,9,45
"x.blk16_male_pituitary_n9",118,2,3,9,54
"x.blu.o.ATLAS_male_pituitary_control",119,2,3,2,47
"x.blu101.w43_female_gonad_inc.d9",120,1,1,6,6
"x.blu101.w43_female_hypothalamus_inc.d9",120,1,2,6,15
"x.blu101.w43_female_pituitary_inc.d9",120,1,3,6,24
"x.blu102.w105_female_gonad_inc.d3",121,1,1,5,5
"x.blu102.w105_female_hypothalamus_inc.d3",121,1,2,5,14
"x.blu102.w105_female_pituitary_inc.d3",121,1,3,5,23
"x.blu106.o153_male_gonad_inc.d9.NYNO",122,2,1,6,33
"x.blu106.o153_male_pituitary_inc.d9.NYNO",122,2,3,6,51
"x.blu109.w121_female_gonad_n5",123,1,1,8,8
"x.blu109.w121_female_pituitary_n5",123,1,3,8,26
"x.blu116.w107_female_gonad_inc.d17",124,1,1,4,4
"x.blu116.w107_female_hypothalamus_inc.d17",124,1,2,4,13
"x.blu116.w107_female_pituitary_inc.d17.NYNO",124,1,3,4,22
"x.blu117.w89_male_gonad_inc.d17",125,2,1,4,31
"x.blu117.w89_male_hypothalamus_inc.d17",125,2,2,4,40
"x.blu117.w89_male_pituitary_inc.d17",125,2,3,4,49
"x.blu122.r66_female_hypothalamus_inc.d9",126,1,2,6,15
"x.blu122.r66_female_pituitary_inc.d9",126,1,3,6,24
"x.blu23.w14_male_gonad_n9",127,2,1,9,36
"x.blu23.w14_male_hypothalamus_n9",127,2,2,9,45
"x.blu23.w14_male_pituitary_n9",127,2,3,9,54
"x.blu30_male_gonad_n5",128,2,1,8,35
"x.blu30_male_hypothalamus_n5",128,2,2,8,44
"x.blu30_male_pituitary_n5",128,2,3,8,53
"x.blu42.o28_male_gonad_inc.d3",129,2,1,5,32
"x.blu42.o28_male_hypothalamus_inc.d3.NYNO",129,2,2,5,41
"x.blu42.o28_male_pituitary_inc.d3",129,2,3,5,50
"x.blu43.g132_female_gonad_n9",130,1,1,9,9
"x.blu43.g132_female_hypothalamus_n9",130,1,2,9,18
"x.blu43.g132_female_pituitary_n9",130,1,3,9,27
"x.blu6.y80_female_gonad_lay",131,1,1,7,7
"x.blu6.y80_female_hypothalamus_lay",131,1,2,7,16
"x.blu6.y80_female_pituitary_lay",131,1,3,7,25
"x.g.ATLAS_male_gonad_control",132,2,1,2,29
"x.g.ATLAS_male_hypothalamus_control",132,2,2,2,38
"x.g.ATLAS_male_pituitary_control",132,2,3,2,47
"x.g.g.ATLAS_female_gonad_control",133,1,1,2,2
"x.g.g.ATLAS_male_gonad_control",133,2,1,2,29
"x.g.g.ATLAS_male_hypothalamus_control",133,2,2,2,38
"x.g.g.ATLAS_male_pituitary_control",133,2,3,2,47
"x.g.g.g.ATLAS_male_gonad_control",134,2,1,2,29
"x.g.g.g.ATLAS_male_pituitary_control",134,2,3,2,47
"x.g13.w109_male_gonad_inc.d9",135,2,1,6,33
"x.g13.w109_male_hypothalamus_inc.d9",135,2,2,6,42
"x.g13.w109_male_pituitary_inc.d9",135,2,3,6,51
"x.g14.w199_male_gonad_inc.d17",136,2,1,4,31
"x.g14.w199_male_hypothalamus_inc.d17",136,2,2,4,40
"x.g14.w199_male_pituitary_inc.d17",136,2,3,4,49
"x.g147.blu28_male_gonad_inc.d3",137,2,1,5,32
"x.g147.blu28_male_hypothalamus_inc.d3",137,2,2,5,41
"x.g147.blu28_male_pituitary_inc.d3",137,2,3,5,50
"x.g37_female_gonad_n5",138,1,1,8,8
"x.g37_female_pituitary_n5",138,1,3,8,26
"x.g4.w50_female_gonad_n9",139,1,1,9,9
"x.g4.w50_female_hypothalamus_n9",139,1,2,9,18
"x.g4.w50_female_pituitary_n9",139,1,3,9,27
"x.g43_female_gonad_n5",140,1,1,8,8
"x.g43_female_hypothalamus_n5",140,1,2,8,17
"x.g43_female_pituitary_n5",140,1,3,8,26
"x.g49_female_gonad_n5",141,1,1,8,8
"x.g49_female_hypothalamus_n5",141,1,2,8,17
"x.g49_female_pituitary_n5.NYNO",141,1,3,8,26
"x.g70_male_gonad_hatch",142,2,1,3,30
"x.g70_male_hypothalamus_hatch",142,2,2,3,39
"x.g70_male_pituitary_hatch",142,2,3,3,48
"x.g9.o166_female_gonad_inc.d9.NYNO",143,1,1,6,6
"x.g9.o166_female_pituitary_inc.d9.NYNO",143,1,3,6,24
"x.o159.w90_female_gonad_inc.d17",144,1,1,4,4
"x.o159.w90_female_hypothalamus_inc.d17",144,1,2,4,13
"x.o159.w90_female_pituitary_inc.d17",144,1,3,4,22
"x.o160.w102_male_gonad_hatch",145,2,1,3,30
"x.o160.w102_male_hypothalamus_hatch",145,2,2,3,39
"x.o160.w102_male_pituitary_hatch",145,2,3,3,48
"x.o163.w101_male_gonad_inc.d3",146,2,1,5,32
"x.o163.w101_male_hypothalamus_inc.d3",146,2,2,5,41
"x.o163.w101_male_pituitary_inc.d3.NYNO",146,2,3,5,50
"x.o164.w123_male_gonad_n5",147,2,1,8,35
"x.o164.w123_male_hypothalamus_n5",147,2,2,8,44
"x.o164.w123_male_pituitary_n5.NYNO",147,2,3,8,53
"x.o175.g21_female_gonad_n5",148,1,1,8,8
"x.o175.g21_female_hypothalamus_n5",148,1,2,8,17
"x.o175.g21_female_pituitary_n5",148,1,3,8,26
"x.o2_male_gonad_n9",149,2,1,9,36
"x.o2_male_hypothalamus_n9",149,2,2,9,45
"x.o2_male_pituitary_n9",149,2,3,9,54
"x.o30.g134_male_gonad_bldg",150,2,1,1,28
"x.o30.g134_male_hypothalamus_bldg",150,2,2,1,37
"x.o30.g134_male_pituitary_bldg",150,2,3,1,46
"x.o37.blu50_female_gonad_hatch",151,1,1,3,3
"x.o37.blu50_female_hypothalamus_hatch.NYNO",151,1,2,3,12
"x.o37.blu50_female_pituitary_hatch",151,1,3,3,21
"x.o47.y82_male_gonad_inc.d9",152,2,1,6,33
"x.o47.y82_male_hypothalamus_inc.d9",152,2,2,6,42
"x.o47.y82_male_pituitary_inc.d9",152,2,3,6,51
"x.o68_male_gonad_n5",153,2,1,8,35
"x.o68_male_hypothalamus_n5",153,2,2,8,44
"x.o68_male_pituitary_n5",153,2,3,8,53
"x.o70_female_gonad_n5",154,1,1,8,8
"x.o70_female_hypothalamus_n5.NYNO",154,1,2,8,17
"x.o70_female_pituitary_n5",154,1,3,8,26
"x.r178_male_gonad_hatch",155,2,1,3,30
"x.r178_male_hypothalamus_hatch",155,2,2,3,39
"x.r178_male_pituitary_hatch",155,2,3,3,48
"x.r181_male_gonad_n5",156,2,1,8,35
"x.r181_male_hypothalamus_n5",156,2,2,8,44
"x.r181_male_pituitary_n5",156,2,3,8,53
"x.r29.w96_male_gonad_inc.d17",157,2,1,4,31
"x.r29.w96_male_hypothalamus_inc.d17",157,2,2,4,40
"x.r29.w96_male_pituitary_inc.d17",157,2,3,4,49
