"net$colors","gene"
"turquoise","LOC107051435"
"turquoise","LOC107051440"
"turquoise","LOC107051449"
"turquoise","LOC107051453"
"turquoise","LOC107051454"
"green","LOC107051455"
"turquoise","LOC107051473"
"turquoise","LOC107051489"
"turquoise","LOC107051491"
"turquoise","LOC107051499"
"turquoise","LOC107051501"
"turquoise","LOC107051504"
"turquoise","LOC107051507"
"turquoise","LOC107051508"
"turquoise","LOC107051524"
"turquoise","LOC107051533"
"turquoise","LOC107051544"
"turquoise","LOC107051561"
"turquoise","LOC107051565"
"turquoise","LOC107051567"
"turquoise","LOC107051599"
"turquoise","LOC107051647"
"turquoise","LOC107051797"
"turquoise","LOC107051813"
"turquoise","LOC107051857"
"grey","LOC107051909"
"turquoise","LOC107051991"
"turquoise","LOC107052033"
"grey","LOC107052104"
"turquoise","LOC107052128"
"grey","LOC107052135"
"turquoise","LOC107052169"
"turquoise","LOC107052324"
"turquoise","LOC107052389"
"turquoise","LOC107052405"
"turquoise","LOC107052432"
"turquoise","LOC107052453"
"turquoise","LOC107052456"
"turquoise","LOC107052490"
"turquoise","LOC107052520"
"grey","LOC107052588"
"turquoise","LOC107052636"
"grey","LOC107052644"
"grey","LOC107052690"
"grey","LOC107052691"
"turquoise","LOC107052717"
"turquoise","LOC107052718"
"grey","LOC107052722"
"green","LOC107052725"
"grey","LOC107052726"
"grey","LOC107052729"
"grey","LOC107052731"
"grey","LOC107052752"
"turquoise","LOC107052767"
"turquoise","LOC107052770"
"grey","LOC107052772"
"grey","LOC107052775"
"turquoise","LOC107052832"
"magenta","LOC107052834"
"turquoise","LOC107052850"
"turquoise","LOC107052863"
"turquoise","LOC107052987"
"turquoise","LOC107053040"
"turquoise","LOC107053055"
"grey","LOC107053056"
"turquoise","LOC107053186"
"grey","LOC107053189"
"turquoise","LOC107053190"
"grey","LOC107053196"
"turquoise","LOC107053211"
"turquoise","LOC107053246"
"turquoise","LOC107053353"
"tan","LOC107053388"
"turquoise","LOC107053409"
"grey","LOC107053414"
"turquoise","LOC107053416"
"turquoise","LOC107053447"
"turquoise","LOC107053497"
"turquoise","LOC107053690"
"grey","LOC107053714"
"grey","LOC107053803"
"turquoise","LOC107053826"
"grey","LOC107053832"
"turquoise","LOC107053848"
"yellow","LOC107053893"
"turquoise","LOC107054001"
"turquoise","LOC107054051"
"purple","LOC107054074"
"turquoise","LOC107054077"
"grey","LOC107054158"
"turquoise","LOC107054175"
"turquoise","LOC107054221"
"turquoise","LOC107054223"
"turquoise","LOC107054248"
"tan","LOC107054267"
"turquoise","LOC107054305"
"turquoise","LOC107054321"
"turquoise","LOC107054332"
"turquoise","LOC107054363"
"grey","LOC107054425"
"turquoise","LOC107054440"
"turquoise","LOC107054460"
"turquoise","LOC107054537"
"turquoise","LOC107054635"
"lightcyan","LOC107054665"
"turquoise","LOC107054707"
"turquoise","LOC107054731"
"turquoise","LOC107054765"
"grey","LOC107054772"
"turquoise","LOC107054798"
"turquoise","LOC107054816"
"grey","LOC107054855"
"turquoise","LOC107054875"
"turquoise","LOC107054961"
"grey","LOC107054972"
"turquoise","LOC107055016"
"turquoise","LOC107055022"
"turquoise","LOC107055024"
"grey","LOC107055038"
"turquoise","LOC107055086"
"grey","LOC107055094"
"turquoise","LOC107055115"
"turquoise","LOC107055116"
"grey","LOC107055128"
"grey","LOC107055134"
"turquoise","LOC107055157"
"turquoise","LOC107055160"
"turquoise","LOC107055215"
"grey","LOC107055256"
"grey","LOC107055266"
"turquoise","LOC107055293"
"turquoise","LOC107055304"
"turquoise","LOC107055358"
"turquoise","LOC107055388"
"turquoise","LOC107055405"
"turquoise","LOC107055431"
"grey","LOC107055436"
"turquoise","LOC107055438"
"magenta","LOC107055538"
"lightcyan","LOC107055539"
"grey","LOC107055569"
"grey","LOC107055618"
"turquoise","LOC107055637"
"magenta","LOC107055646"
"turquoise","LOC107055647"
"turquoise","LOC107055650"
"turquoise","LOC107055658"
"turquoise","LOC107055704"
"turquoise","LOC107055714"
"turquoise","LOC107055715"
"turquoise","LOC107055731"
"turquoise","LOC107055761"
"turquoise","LOC107055769"
"turquoise","LOC107055786"
"yellow","LOC107055918"
"turquoise","LOC107055930"
"grey","LOC107055941"
"turquoise","LOC107055991"
"turquoise","LOC107056011"
"grey","LOC107056030"
"grey","LOC107056065"
"grey","LOC107056071"
"grey","LOC107056083"
"turquoise","LOC107056094"
"turquoise","LOC107056124"
"grey","LOC107056134"
"turquoise","LOC107056144"
"lightcyan","LOC107056149"
"turquoise","LOC107056154"
"yellow","LOC107056159"
"grey","LOC107056226"
"turquoise","LOC107056232"
"turquoise","LOC107056239"
"turquoise","LOC107056260"
"turquoise","LOC107056269"
"turquoise","LOC107056270"
"tan","LOC107056274"
"turquoise","LOC107056275"
"turquoise","LOC107056278"
"turquoise","LOC107056305"
"turquoise","LOC107056310"
"magenta","LOC107056348"
"turquoise","LOC107056375"
"turquoise","LOC107056376"
"turquoise","LOC107056386"
"green","LOC107056388"
"turquoise","LOC107056389"
"turquoise","LOC107056399"
"black","LOC107056412"
"turquoise","LOC107056413"
"green","LOC107056420"
"turquoise","LOC107056430"
"turquoise","LOC107056441"
"turquoise","LOC107056450"
"grey","LOC107056462"
"turquoise","LOC107056482"
"turquoise","LOC107056486"
"turquoise","LOC107056552"
"turquoise","LOC107056579"
"turquoise","LOC107056584"
"grey","LOC107056587"
"turquoise","LOC107056589"
"turquoise","LOC107056595"
"turquoise","LOC107056620"
"turquoise","LOC107056634"
"turquoise","LOC107056661"
"turquoise","LOC107056696"
"turquoise","LOC107056797"
"yellow","LOC107056811"
"grey","LOC107056848"
"grey","LOC107056855"
"grey","LOC107056859"
"turquoise","LOC107056903"
"turquoise","LOC107056940"
"turquoise","LOC107056966"
"turquoise","LOC107056972"
"magenta","LOC107057034"
"turquoise","LOC107057057"
"turquoise","LOC107057085"
"turquoise","LOC107057135"
"grey","LOC107057139"
"turquoise","LOC107057149"
"turquoise","LOC107057152"
"turquoise","LOC107057156"
"turquoise","LOC107057162"
"grey","LOC107057165"
"red","LOC107057175"
"blue","LOC107057238"
"grey","LOC107057241"
"turquoise","LOC107057324"
"turquoise","LOC107057340"
"turquoise","LOC107057361"
"grey","LOC107057480"
"turquoise","LOC107057502"
"turquoise","LOC107057512"
"turquoise","LOC107057516"
"turquoise","LOC107057564"
"turquoise","LOC107057566"
"turquoise","LOC107057567"
"turquoise","LOC107057574"
"blue","LOC107057578"
"grey","LOC107057584"
"blue","LOC107057586"
"turquoise","LOC107057609"
"turquoise","LOC107057613"
"turquoise","LOC107057625"
"turquoise","LOC107057630"
"turquoise","LOC378902"
"turquoise","LOC395100"
"grey","LOC395159"
"purple","LOC395381"
"turquoise","LOC395647"
"turquoise","LOC395933"
"grey","LOC395944"
"turquoise","LOC395991"
"blue","LOC396098"
"turquoise","LOC396224"
"turquoise","LOC396380"
"turquoise","LOC396520"
"turquoise","LOC407092"
"grey","LOC408038"
"brown","LOC408180"
"turquoise","LOC414835"
"turquoise","LOC415324"
"turquoise","LOC415336"
"blue","LOC415616"
"turquoise","LOC415641"
"turquoise","LOC415664"
"grey","LOC415713"
"turquoise","LOC415758"
"turquoise","LOC415780"
"turquoise","LOC415787"
"turquoise","LOC415852"
"turquoise","LOC415939"
"grey","LOC416086"
"grey","LOC416090"
"turquoise","LOC416106"
"cyan","LOC416146"
"tan","LOC416147"
"blue","LOC416197"
"turquoise","LOC416212"
"turquoise","LOC416263"
"grey","LOC416309"
"turquoise","LOC416354"
"turquoise","LOC416500"
"turquoise","LOC416530"
"blue","LOC416633"
"turquoise","LOC416655"
"grey","LOC416696"
"turquoise","LOC416755"
"turquoise","LOC416916"
"turquoise","LOC416924"
"pink","LOC416927"
"turquoise","LOC416959"
"turquoise","LOC417013"
"turquoise","LOC417113"
"turquoise","LOC417131"
"turquoise","LOC417253"
"grey","LOC417263"
"turquoise","LOC417293"
"cyan","LOC417345"
"turquoise","LOC417372"
"turquoise","LOC417414"
"grey","LOC417459"
"turquoise","LOC417507"
"grey","LOC417691"
"grey","LOC417741"
"greenyellow","LOC417800"
"turquoise","LOC417848"
"turquoise","LOC417937"
"pink","LOC417962"
"midnightblue","LOC418109"
"brown","LOC418114"
"turquoise","LOC418170"
"turquoise","LOC418189"
"turquoise","LOC418298"
"turquoise","LOC418339"
"turquoise","LOC418355"
"grey","LOC418356"
"turquoise","LOC418414"
"turquoise","LOC418421"
"blue","LOC418423"
"grey","LOC418424"
"turquoise","LOC418465"
"yellow","LOC418544"
"turquoise","LOC418554"
"blue","LOC418667"
"turquoise","LOC418668"
"cyan","LOC418700"
"turquoise","LOC418811"
"grey","LOC418836"
"turquoise","LOC418892"
"turquoise","LOC418927"
"turquoise","LOC419035"
"turquoise","LOC419074"
"grey","LOC419080"
"turquoise","LOC419112"
"turquoise","LOC419144"
"turquoise","LOC419250"
"grey","LOC419276"
"blue","LOC419333"
"turquoise","LOC419404"
"turquoise","LOC419409"
"turquoise","LOC419429"
"turquoise","LOC419511"
"turquoise","LOC419584"
"grey","LOC419602"
"turquoise","LOC419662"
"black","LOC419677"
"turquoise","LOC419726"
"purple","LOC419741"
"turquoise","LOC419755"
"grey","LOC419851"
"turquoise","LOC419888"
"turquoise","LOC420030"
"grey","LOC420039"
"grey","LOC420160"
"turquoise","LOC420209"
"turquoise","LOC420294"
"cyan","LOC420300"
"turquoise","LOC420362"
"turquoise","LOC420374"
"turquoise","LOC420419"
"green","LOC420491"
"turquoise","LOC420516"
"grey","LOC420716"
"turquoise","LOC420721"
"turquoise","LOC420748"
"grey","LOC420770"
"turquoise","LOC420789"
"turquoise","LOC420807"
"turquoise","LOC420849"
"turquoise","LOC420860"
"turquoise","LOC420992"
"turquoise","LOC421054"
"purple","LOC421081"
"turquoise","LOC421099"
"turquoise","LOC421106"
"grey","LOC421125"
"turquoise","LOC421195"
"turquoise","LOC421255"
"turquoise","LOC421285"
"black","LOC421298"
"turquoise","LOC421419"
"turquoise","LOC421441"
"purple","LOC421502"
"yellow","LOC421506"
"midnightblue","LOC421584"
"turquoise","LOC421690"
"turquoise","LOC421740"
"turquoise","LOC421792"
"turquoise","LOC421856"
"turquoise","LOC421892"
"turquoise","LOC421935"
"grey","LOC421965"
"turquoise","LOC421975"
"turquoise","LOC422051"
"turquoise","LOC422082"
"turquoise","LOC422106"
"turquoise","LOC422147"
"turquoise","LOC422150"
"turquoise","LOC422151"
"grey","LOC422154"
"turquoise","LOC422171"
"green","LOC422179"
"turquoise","LOC422214"
"turquoise","LOC422224"
"turquoise","LOC422249"
"green","LOC422264"
"blue","LOC422293"
"turquoise","LOC422301"
"turquoise","LOC422304"
"midnightblue","LOC422305"
"grey","LOC422308"
"turquoise","LOC422316"
"turquoise","LOC422319"
"turquoise","LOC422320"
"brown","LOC422321"
"turquoise","LOC422323"
"turquoise","LOC422353"
"turquoise","LOC422372"
"turquoise","LOC422426"
"turquoise","LOC422442"
"turquoise","LOC422448"
"grey","LOC422511"
"cyan","LOC422513"
"turquoise","LOC422528"
"turquoise","LOC422609"
"turquoise","LOC422654"
"turquoise","LOC422895"
"turquoise","LOC422901"
"grey","LOC422926"
"grey","LOC422928"
"grey","LOC422929"
"grey","LOC422942"
"turquoise","LOC422993"
"turquoise","LOC423110"
"grey","LOC423119"
"turquoise","LOC423134"
"turquoise","LOC423226"
"turquoise","LOC423229"
"turquoise","LOC423240"
"turquoise","LOC423247"
"tan","LOC423277"
"turquoise","LOC423347"
"grey","LOC423462"
"tan","LOC423478"
"turquoise","LOC423499"
"turquoise","LOC423605"
"turquoise","LOC423629"
"turquoise","LOC423653"
"turquoise","LOC423693"
"turquoise","LOC423752"
"grey","LOC423786"
"red","LOC423793"
"turquoise","LOC423919"
"turquoise","LOC423967"
"turquoise","LOC424028"
"turquoise","LOC424033"
"turquoise","LOC424109"
"turquoise","LOC424155"
"magenta","LOC424167"
"turquoise","LOC424201"
"turquoise","LOC424214"
"turquoise","LOC424300"
"turquoise","LOC424401"
"turquoise","LOC424473"
"turquoise","LOC424588"
"turquoise","LOC424740"
"turquoise","LOC424748"
"turquoise","LOC424892"
"turquoise","LOC424917"
"turquoise","LOC424919"
"turquoise","LOC424998"
"brown","LOC425001"
"turquoise","LOC425011"
"grey","LOC425299"
"turquoise","LOC425347"
"grey","LOC425362"
"turquoise","LOC425431"
"blue","LOC425462"
"grey","LOC425470"
"turquoise","LOC425531"
"grey","LOC425540"
"turquoise","LOC425792"
"turquoise","LOC425795"
"grey","LOC425825"
"turquoise","LOC426023"
"turquoise","LOC426093"
"blue","LOC426106"
"grey","LOC426220"
"turquoise","LOC426355"
"red","LOC426385"
"blue","LOC426456"
"turquoise","LOC426514"
"turquoise","LOC426626"
"turquoise","LOC426699"
"turquoise","LOC426743"
"turquoise","LOC426821"
"turquoise","LOC427001"
"magenta","LOC427010"
"turquoise","LOC427201"
"turquoise","LOC427400"
"turquoise","LOC427439"
"yellow","LOC427470"
"turquoise","LOC427491"
"grey","LOC427533"
"turquoise","LOC427547"
"grey","LOC427595"
"turquoise","LOC427652"
"yellow","LOC427654"
"grey","LOC427656"
"turquoise","LOC427665"
"grey","LOC427775"
"turquoise","LOC427778"
"turquoise","LOC427799"
"grey","LOC427816"
"turquoise","LOC427826"
"turquoise","LOC427933"
"grey","LOC427977"
"grey","LOC428073"
"grey","LOC428086"
"grey","LOC428111"
"yellow","LOC428186"
"turquoise","LOC428250"
"grey","LOC428272"
"turquoise","LOC428277"
"turquoise","LOC428278"
"grey","LOC428319"
"turquoise","LOC428322"
"turquoise","LOC428335"
"cyan","LOC428404"
"purple","LOC428451"
"red","LOC428479"
"grey","LOC428499"
"brown","LOC428510"
"turquoise","LOC428541"
"turquoise","LOC428586"
"grey","LOC428593"
"grey","LOC428693"
"turquoise","LOC428714"
"turquoise","LOC428754"
"grey","LOC428778"
"turquoise","LOC428812"
"grey","LOC428824"
"turquoise","LOC428867"
"grey","LOC428870"
"turquoise","LOC428967"
"turquoise","LOC428971"
"grey","LOC429032"
"turquoise","LOC429098"
"green","LOC429167"
"turquoise","LOC429518"
"turquoise","LOC429723"
"grey","LOC429798"
"turquoise","LOC429809"
"grey","LOC429936"
"turquoise","LOC429955"
"turquoise","LOC430067"
"turquoise","LOC430303"
"turquoise","LOC430422"
"grey","LOC430443"
"grey","LOC430475"
"turquoise","LOC430700"
"grey","LOC430853"
"turquoise","LOC431092"
"grey","LOC431235"
"turquoise","LOC431243"
"grey","LOC431250"
"grey","LOC431313"
"grey","LOC431323"
"turquoise","LOC431656"
"grey","LOC693258"
"turquoise","LOC693265"
"turquoise","LOC768374"
"turquoise","LOC768579"
"turquoise","LOC768580"
"grey","LOC768589"
"turquoise","LOC768665"
"turquoise","LOC768671"
"turquoise","LOC768709"
"grey","LOC768881"
"turquoise","LOC768978"
"turquoise","LOC769000"
"turquoise","LOC769039"
"magenta","LOC769052"
"red","LOC769174"
"turquoise","LOC769176"
"grey","LOC769242"
"grey","LOC769267"
"turquoise","LOC769329"
"turquoise","LOC769421"
"turquoise","LOC769510"
"turquoise","LOC769512"
"grey","LOC769607"
"turquoise","LOC769676"
"turquoise","LOC769704"
"pink","LOC769726"
"turquoise","LOC769755"
"turquoise","LOC769866"
"grey","LOC770026"
"turquoise","LOC770126"
"turquoise","LOC770248"
"turquoise","LOC770260"
"turquoise","LOC770277"
"turquoise","LOC770318"
"turquoise","LOC770345"
"turquoise","LOC770392"
"grey","LOC770429"
"grey","LOC770450"
"turquoise","LOC770492"
"cyan","LOC770612"
"turquoise","LOC770617"
"brown","LOC770718"
"turquoise","LOC770794"
"grey","LOC770870"
"grey","LOC770883"
"turquoise","LOC770936"
"grey","LOC770996"
"turquoise","LOC771069"
"turquoise","LOC771085"
"turquoise","LOC771089"
"turquoise","LOC771090"
"turquoise","LOC771190"
"grey","LOC771308"
"grey","LOC771362"
"turquoise","LOC771422"
"pink","LOC771456"
"turquoise","LOC771494"
"turquoise","LOC771537"
"blue","LOC771545"
"grey","LOC771552"
"salmon","LOC771560"
"grey","LOC771574"
"turquoise","LOC771612"
"turquoise","LOC771638"
"blue","LOC771657"
"turquoise","LOC771734"
"turquoise","LOC771735"
"turquoise","LOC771758"
"turquoise","LOC771811"
"turquoise","LOC771917"
"turquoise","LOC771947"
"grey","LOC771995"
"grey","LOC772005"
"turquoise","LOC772017"
"turquoise","LOC772071"
"turquoise","LOC772075"
"turquoise","LOC772080"
"turquoise","LOC772096"
"yellow","LOC772158"
"turquoise","LOC772218"
"turquoise","LOC772243"
"turquoise","LOC772269"
"turquoise","LOC776271"
"turquoise","LOC776273"
"turquoise","LOC776275"
"grey","LOC776504"
"turquoise","LOC776594"
"turquoise","LOC776992"
"turquoise","LOC777386"
"turquoise","LONP1"
"turquoise","LONP2"
"turquoise","LONRF1"
"magenta","LONRF3"
"turquoise","LOXHD1"
"turquoise","LOXL1"
"turquoise","LOXL2"
"turquoise","LOXL3"
"turquoise","LOXL4"
"turquoise","LPAR1"
"turquoise","LPAR2"
"turquoise","LPAR3"
"turquoise","LPAR4"
"blue","LPAR5"
"turquoise","LPAR6"
"turquoise","LPCAT1"
"turquoise","LPCAT2"
"turquoise","LPCAT3"
"turquoise","LPGAT1"
"turquoise","LPHN2"
"turquoise","LPHN3"
"turquoise","LPIN1"
"turquoise","LPIN2"
"turquoise","LPL"
"turquoise","LPO"
"turquoise","LPP"
"turquoise","LPPR1"
"turquoise","LPPR3"
"turquoise","LPPR4"
"turquoise","LPPR5"
"turquoise","LPXN"
"turquoise","LRAT"
"grey","LRBA"
"turquoise","LRCH1"
"turquoise","LRCH2"
"turquoise","LRCH3"
"black","LRFN2"
"turquoise","LRFN3"
"turquoise","LRFN5"
"turquoise","LRG1"
"turquoise","LRGUK"
"turquoise","LRIF1"
"turquoise","LRIG1"
"turquoise","LRIG2"
"yellow","LRIG3"
"grey","LRIT1"
"grey","LRIT3"
"turquoise","LRP1"
"turquoise","LRP11"
"turquoise","LRP12"
"turquoise","LRP1B"
"turquoise","LRP2"
"turquoise","LRP2BP"
"turquoise","LRP3"
"turquoise","LRP4"
"turquoise","LRP5"
"lightcyan","LRP6"
"turquoise","LRP8"
"turquoise","LRPAP1"
"turquoise","LRPPRC"
"turquoise","LRR1"
"turquoise","LRRC1"
"grey","LRRC10"
"turquoise","LRRC10B"
"yellow","LRRC14B"
"turquoise","LRRC15"
"turquoise","LRRC16A"
"turquoise","LRRC17"
"purple","LRRC18"
"yellow","LRRC19"
"yellow","LRRC2"
"yellow","LRRC20"
"turquoise","LRRC23"
"turquoise","LRRC28"
"turquoise","LRRC31"
"turquoise","LRRC32"
"turquoise","LRRC34"
"turquoise","LRRC38"
"turquoise","LRRC39"
"turquoise","LRRC3B"
"turquoise","LRRC3C"
"turquoise","LRRC40"
"turquoise","LRRC41"
"turquoise","LRRC42"
"turquoise","LRRC45"
"turquoise","LRRC46"
"turquoise","LRRC47"
"turquoise","LRRC48"
"turquoise","LRRC49"
"turquoise","LRRC4C"
"grey","LRRC52"
"turquoise","LRRC55"
"turquoise","LRRC56"
"turquoise","LRRC57"
"turquoise","LRRC58"
"turquoise","LRRC59"
"turquoise","LRRC61"
"turquoise","LRRC66"
"turquoise","LRRC7"
"turquoise","LRRC70"
"grey","LRRC71"
"turquoise","LRRC72"
"turquoise","LRRC75A"
"turquoise","LRRC75B"
"turquoise","LRRC8A"
"turquoise","LRRC8B"
"turquoise","LRRC8C"
"turquoise","LRRC8D"
"turquoise","LRRCC1"
"turquoise","LRRFIP1"
"turquoise","LRRFIP2"
"turquoise","LRRIQ1"
"turquoise","LRRK1"
"turquoise","LRRK2"
"turquoise","LRRN1"
"turquoise","LRRN2"
"turquoise","LRRN3"
"brown","LRRN4"
"brown","LRRTM1"
"turquoise","LRRTM2"
"turquoise","LRRTM3"
"turquoise","LRRTM4"
"turquoise","LRSAM1"
"cyan","LRTM2"
"turquoise","LRWD1"
"turquoise","LSAMP"
"turquoise","LSG1"
"turquoise","LSM1"
"turquoise","LSM10"
"turquoise","LSM12"
"turquoise","LSM14A"
"turquoise","LSM14B"
"turquoise","LSM3"
"turquoise","LSM4"
"turquoise","LSM5"
"green","LSM6"
"turquoise","LSM7"
"turquoise","LSM8"
"yellow","LSMEM1"
"blue","LSP1"
"turquoise","LSS"
"turquoise","LTA4H"
"turquoise","LTBP1"
"turquoise","LTBP2"
"grey","LTC4S"
"turquoise","LTN1"
"turquoise","LUC7L"
"turquoise","LUC7L2"
"turquoise","LUC7L3"
"turquoise","LUM"
"turquoise","LURAP1"
"turquoise","LUZP1"
"turquoise","LUZP2"
"grey","LVRN"
"turquoise","LXN"
"turquoise","LY6E"
"brown","LY75"
"blue","LY86"
"blue","LY96"
"turquoise","LYAR"
"grey","LYG2"
"turquoise","LYN"
"turquoise","LYPD1"
"grey","LYPD2"
"brown","LYPD6"
"turquoise","LYPD6B"
"turquoise","LYPLA1"
"turquoise","LYPLA2"
"turquoise","LYPLAL1"
"turquoise","LYRM1"
"turquoise","LYRM2"
"turquoise","LYRM4"
"turquoise","LYRM5"
"turquoise","LYRM7"
"turquoise","LYRM9"
"turquoise","LYSMD2"
"turquoise","LYSMD3"
"turquoise","LYSMD4"
"turquoise","LYST"
"turquoise","LYVE1"
"turquoise","LZIC"
"turquoise","LZTFL1"
"turquoise","LZTR1"
"turquoise","LZTS2"
"turquoise","LZTS3"
"turquoise","M1AP"
"turquoise","M6PR"
"turquoise","MAATS1"
"turquoise","MAB21L2"
"turquoise","MAB21L3"
"turquoise","MACC1"
"turquoise","MACF1"
"turquoise","MACROD2"
"turquoise","MAD1L1"
"red","MAD2L1"
"turquoise","MAD2L1BP"
"turquoise","MAD2L2"
"turquoise","MADD"
"turquoise","MAEA"
"turquoise","MAEL"
"turquoise","MAF"
"turquoise","MAF1"
"turquoise","MAFA"
"blue","MAFB"
"turquoise","MAFF"
"turquoise","MAFG"
"turquoise","MAFK"
"turquoise","MAGI1"
"turquoise","MAGI2"
"turquoise","MAGI3"
"turquoise","MAGOH2"
"turquoise","MAGT1"
"turquoise","MAK"
"turquoise","MAK16"
"turquoise","MAL"
"turquoise","MAL2"
"turquoise","MALSU1"
"turquoise","MAMDC2"
"turquoise","MAMDC4"
"turquoise","MAML1"
"turquoise","MAML2"
"turquoise","MAML3"
"turquoise","MAMLD1"
"turquoise","MAN1A1"
"turquoise","MAN1A2"
"turquoise","MAN1B1"
"turquoise","MAN1C1"
"turquoise","MAN2A1"
"lightcyan","MAN2B1"
"turquoise","MAN2B2"
"turquoise","MAN2C1"
"turquoise","MANBA"
"turquoise","MANEA"
"turquoise","MANF"
"turquoise","MANSC1"
"turquoise","MANSC4"
"turquoise","MAOA"
"turquoise","MAOB"
"turquoise","MAP10"
"turquoise","MAP1A"
"turquoise","MAP1B"
"turquoise","MAP1LC3A"
"turquoise","MAP1LC3B"
"turquoise","MAP1LC3C"
"turquoise","MAP1S"
"turquoise","MAP2"
"turquoise","MAP2K1"
"turquoise","MAP2K2"
"turquoise","MAP2K3"
"turquoise","MAP2K4"
"turquoise","MAP2K5"
"turquoise","MAP2K6"
"turquoise","MAP3K1"
"turquoise","MAP3K13"
"turquoise","MAP3K14"
"turquoise","MAP3K15"
"turquoise","MAP3K19"
"turquoise","MAP3K2"
"turquoise","MAP3K3"
"turquoise","MAP3K4"
"turquoise","MAP3K5"
"turquoise","MAP3K6"
"turquoise","MAP3K7"
"grey","MAP3K7CL"
"turquoise","MAP3K8"
"turquoise","MAP4"
"turquoise","MAP4K3"
"turquoise","MAP4K4"
"turquoise","MAP4K5"
"turquoise","MAP6"
"brown","MAP6D1"
"turquoise","MAP7"
"turquoise","MAP7D1"
"turquoise","MAP7D2"
"turquoise","MAP7D3"
"turquoise","MAP9"
"turquoise","MAPK1"
"turquoise","MAPK10"
"turquoise","MAPK11"
"turquoise","MAPK12"
"turquoise","MAPK13"
"turquoise","MAPK14"
"turquoise","MAPK15"
"turquoise","MAPK1IP1L"
"turquoise","MAPK6"
"magenta","MAPK8"
"turquoise","MAPK8IP1"
"turquoise","MAPK8IP3"
"turquoise","MAPK9"
"turquoise","MAPKAP1"
"turquoise","MAPKAPK2"
"turquoise","MAPKAPK3"
"turquoise","MAPKAPK5"
"turquoise","MAPKBP1"
"turquoise","MAPRE1"
"green","MAPRE2"
"turquoise","MAPT"
"turquoise","MARC2"
"turquoise","MARCH1"
"turquoise","MARCH11"
"turquoise","MARCH2"
"turquoise","MARCH3"
"turquoise","MARCH4"
"turquoise","MARCH5"
"turquoise","MARCH6"
"turquoise","MARCH7"
"turquoise","MARCH8"
"turquoise","MARCKS"
"turquoise","MARCKSL1"
"blue","MARCO"
"turquoise","MARK1"
"turquoise","MARK2"
"turquoise","MARK3"
"turquoise","MARS"
"turquoise","MARS2"
"turquoise","MARVELD1"
"turquoise","MARVELD2"
"turquoise","MARVELD3"
"grey","MAS1"
"turquoise","MASP1"
"grey","MASP2"
"turquoise","MAST3"
"turquoise","MAST4"
"turquoise","MASTL"
"turquoise","MAT1A"
"turquoise","MAT2B"
"blue","MATK"
"turquoise","MATN1"
"turquoise","MATN2"
"turquoise","MATN3"
"turquoise","MATN4"
"turquoise","MATR3"
"turquoise","MAU2"
"turquoise","MAVS"
"turquoise","MAX"
"yellow","MB"
"turquoise","MB21D1"
"turquoise","MB21D2"
"turquoise","MBD2"
"turquoise","MBD3"
"turquoise","MBD4"
"turquoise","MBD5"
"turquoise","MBIP"
"turquoise","MBL2"
"turquoise","MBLAC2"
"turquoise","MBNL1"
"turquoise","MBNL2"
"turquoise","MBNL3"
"turquoise","MBOAT1"
"turquoise","MBOAT2"
"grey","MBOAT4"
"turquoise","MBOAT7"
"pink","MBP"
"turquoise","MBTD1"
"turquoise","MBTPS1"
"turquoise","MBTPS2"
"grey","MC3R"
"salmon","MC4R"
"turquoise","MC5R"
"turquoise","MCAM"
"turquoise","MCAT"
"turquoise","MCC"
"turquoise","MCCC1"
"turquoise","MCCC2"
"turquoise","MCEE"
"turquoise","MCF2"
"turquoise","MCF2L"
"green","MCF2L2"
"turquoise","MCFD2"
"turquoise","MCHR1"
"black","MCHR2"
"turquoise","MCL1"
"red","MCM10"
"red","MCM2"
"turquoise","MCM3"
"turquoise","MCM3AP"
"turquoise","MCM5"
"turquoise","MCM6"
"turquoise","MCM8"
"turquoise","MCM9"
"turquoise","MCMBP"
"turquoise","MCMDC2"
"turquoise","MCOLN1"
"turquoise","MCOLN2"
"turquoise","MCOLN3"
"turquoise","MCPH1"
"turquoise","MCRS1"
"turquoise","MCTP1"
"turquoise","MCTP2"
"turquoise","MCTS1"
"turquoise","MCU"
"turquoise","MCUR1"
"turquoise","MDC1"
"turquoise","MDFI"
"turquoise","MDFIC"
"turquoise","MDGA1"
"turquoise","MDGA2"
"turquoise","MDH1"
"turquoise","MDH2"
"turquoise","MDK"
"turquoise","MDM1"
"turquoise","MDM2"
"turquoise","MDM4"
"turquoise","MDN1"
"turquoise","ME1"
"turquoise","MEAF6"
"turquoise","MECOM"
"turquoise","MECR"
"turquoise","MED1"
"turquoise","MED10"
"turquoise","MED12"
"turquoise","MED13"
"turquoise","MED13L"
"turquoise","MED14"
"turquoise","MED15"
"turquoise","MED16"
"turquoise","MED17"
"turquoise","MED18"
"turquoise","MED19"
"turquoise","MED20"
"turquoise","MED21"
"turquoise","MED22"
"turquoise","MED27"
"turquoise","MED28"
"turquoise","MED29"
"turquoise","MED30"
"turquoise","MED31"
"turquoise","MED4"
"turquoise","MED6"
"turquoise","MED7"
"turquoise","MED8"
"turquoise","MED9"
"turquoise","MEF2A"
"turquoise","MEF2BNB"
"turquoise","MEF2C"
"turquoise","MEF2D"
"turquoise","MEGF10"
"turquoise","MEGF11"
"turquoise","MEGF6"
"turquoise","MEI4"
